"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"7","9","2","8","1","6","5","4","skipped","9.0","1.0"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","4","9","1","3","skipped","skipped","skipped","nan","nan"
"5","8","3","9","6","7","4","1","2","nan","nan"
"2","9","3","7","1","skipped","skipped","skipped","skipped","nan","nan"
"8","5","2","4","3","1","skipped","skipped","skipped","nan","nan"
"7","9","6","8","5","4","3","2","1","nan","nan"
"2","7","8","9","1","skipped","skipped","skipped","skipped","nan","nan"
"5","9","1","8","3","6","7","2","4","nan","nan"
"1","9","2","4","6","3","5","skipped","skipped","nan","nan"
"9","5","3","2","4","1","skipped","skipped","skipped","nan","nan"
"6","1","2","4","8","7","5","9","3","nan","nan"
"7","9","2","3","5","6","4","1","skipped","nan","nan"
"2","6","5","9","1","4","3","skipped","skipped","nan","nan"
"6","9","3","7","4","5","1","2","skipped","nan","nan"
"5","9","8","4","2","1","skipped","skipped","skipped","nan","nan"
"9","7","3","1","6","5","4","2","skipped","nan","nan"
"1","9","7","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","8","5","1","6","4","3","2","nan","nan"
"7","9","1","8","4","6","5","3","2","nan","nan"
"1","9","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","4","8","1","5","7","2","3","nan","nan"
"5","9","7","8","2","4","6","1","3","nan","nan"
"3","9","4","7","1","5","6","2","skipped","nan","nan"
"1","9","8","3","4","skipped","skipped","skipped","skipped","nan","nan"
"4","8","1","5","3","skipped","skipped","skipped","skipped","nan","nan"
"5","9","1","8","4","6","7","3","2","nan","nan"
"2","9","4","3","1","skipped","skipped","skipped","skipped","nan","nan"
"9","8","1","2","7","3","4","skipped","skipped","nan","nan"
"5","9","2","8","3","6","7","4","1","nan","nan"
"3","9","2","4","1","skipped","skipped","skipped","skipped","nan","nan"
"6","9","5","8","1","7","3","2","4","nan","nan"
"2","9","7","8","4","5","6","1","3","nan","nan"
"2","9","8","6","4","1","3","5","7","nan","nan"
"5","9","8","6","4","1","7","2","3","nan","nan"
"6","9","2","7","3","4","8","5","1","nan","nan"
"8","9","5","3","4","6","7","2","1","nan","nan"
"2","9","3","7","1","6","8","5","4","nan","nan"
"5","9","4","6","8","3","7","1","2","nan","nan"
"5","9","2","1","4","3","skipped","skipped","skipped","nan","nan"
"9","3","4","2","1","skipped","skipped","skipped","skipped","nan","nan"
"4","9","2","5","1","7","8","6","3","nan","nan"
"2","9","3","8","1","6","7","5","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","1","7","3","6","5","4","2","nan","nan"
"5","8","4","9","1","skipped","skipped","skipped","skipped","nan","nan"
"5","9","1","8","4","6","7","3","2","nan","nan"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","7","2","4","1","skipped","skipped","skipped","nan","nan"
"2","9","6","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","5","8","1","7","6","4","3","nan","nan"
"7","9","2","8","5","4","3","6","1","nan","nan"
"8","9","4","7","3","5","6","1","2","nan","nan"
"6","9","5","7","1","3","skipped","skipped","skipped","nan","nan"
"7","9","1","8","4","3","6","5","2","nan","nan"
"6","9","8","5","4","2","7","1","3","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
