"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"6","7","1","5","8","4","3","2","10","9","10.0","1.0"
"7","5","1","4","6","8","10","skipped","skipped","skipped","nan","nan"
"4","6","1","3","2","5","skipped","skipped","skipped","skipped","nan","nan"
"6","4","8","2","9","1","5","3","7","10","nan","nan"
"5","6","10","1","7","3","9","2","4","8","nan","nan"
"4","2","1","5","8","3","9","6","7","10","nan","nan"
"7","6","1","3","4","2","5","8","10","9","nan","nan"
"3","5","10","9","6","4","8","1","2","skipped","nan","nan"
"2","10","6","5","3","4","1","skipped","skipped","skipped","nan","nan"
"3","4","1","9","10","8","2","7","5","6","nan","nan"
"8","7","1","4","10","2","3","6","5","skipped","nan","nan"
"4","7","8","2","6","3","10","1","5","9","nan","nan"
"5","3","2","7","1","6","4","8","10","9","nan","nan"
"6","7","1","4","8","2","9","3","10","5","nan","nan"
"4","10","3","7","1","5","6","2","8","skipped","nan","nan"
"10","2","1","4","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","3","9","5","8","6","1","2","10","nan","nan"
"10","2","4","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","10","2","8","4","9","1","5","6","nan","nan"
"10","1","4","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","1","10","5","2","4","7","3","8","nan","nan"
"5","6","1","2","7","3","9","4","10","8","nan","nan"
"9","6","5","1","7","2","4","3","10","8","nan","nan"
"5","9","1","3","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","7","3","9","5","6","1","4","10","nan","nan"
"4","6","1","7","9","2","5","3","8","10","nan","nan"
"3","10","5","4","2","1","6","skipped","skipped","skipped","nan","nan"
"9","6","1","2","8","7","4","10","3","5","nan","nan"
"6","3","1","8","7","10","9","5","2","4","nan","nan"
"6","7","1","3","5","9","4","2","8","10","nan","nan"
"4","10","8","3","7","2","6","1","9","5","nan","nan"
"3","9","4","7","10","1","6","2","8","5","nan","nan"
"8","9","1","4","7","3","2","6","5","10","nan","nan"
"5","7","1","2","4","6","3","8","10","9","nan","nan"
"7","8","2","1","6","3","5","4","9","10","nan","nan"
"8","7","1","6","9","5","4","2","3","10","nan","nan"
"6","8","9","1","5","2","3","7","10","4","nan","nan"
"7","8","1","3","2","4","5","6","9","10","nan","nan"
"2","8","1","7","3","6","5","4","10","9","nan","nan"
"4","9","2","6","1","3","skipped","skipped","skipped","skipped","nan","nan"
"2","10","7","5","3","6","1","4","skipped","skipped","nan","nan"
"10","4","2","5","6","3","1","skipped","skipped","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","9","8","7","4","3","10","1","5","nan","nan"
"6","7","1","4","3","9","8","2","5","10","nan","nan"
"8","2","5","1","4","3","7","9","6","10","nan","nan"
"7","4","9","1","8","2","6","3","5","10","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","1","4","6","3","10","2","skipped","skipped","nan","nan"
"8","6","1","2","7","3","4","5","10","9","nan","nan"
"8","5","1","4","10","7","2","3","6","skipped","nan","nan"
"3","2","1","10","4","5","skipped","skipped","skipped","skipped","nan","nan"
"10","5","3","1","2","4","skipped","skipped","skipped","skipped","nan","nan"
