"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"7","10","11","5","6","1","9","2","3","8","4","12","12.0","1.0"
"9","4","6","10","7","3","5","2","8","12","1","11","nan","nan"
"12","7","2","9","6","10","5","1","3","4","8","skipped","nan","nan"
"4","10","3","5","6","12","7","8","2","11","1","skipped","nan","nan"
"6","12","1","3","11","4","10","2","8","9","5","7","nan","nan"
"9","3","10","5","6","8","11","7","1","12","2","4","nan","nan"
"12","11","6","5","1","8","7","3","4","10","2","9","nan","nan"
"7","8","3","10","9","5","4","2","6","12","1","11","nan","nan"
"5","12","4","7","2","6","3","1","8","skipped","skipped","skipped","nan","nan"
"10","4","2","8","5","3","11","9","7","1","12","6","nan","nan"
"5","6","8","7","3","11","10","4","2","12","1","9","nan","nan"
"9","10","3","11","4","5","2","7","6","12","1","skipped","nan","nan"
"1","6","5","4","3","7","9","2","8","skipped","skipped","skipped","nan","nan"
"8","10","3","9","1","7","5","2","6","11","4","12","nan","nan"
"4","12","1","2","6","3","5","7","8","skipped","skipped","skipped","nan","nan"
"8","12","11","1","3","7","5","4","2","10","6","9","nan","nan"
"2","12","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","12","11","4","2","9","1","6","5","10","3","8","nan","nan"
"10","7","2","4","1","11","6","3","5","12","9","8","nan","nan"
"7","8","3","1","6","12","10","9","2","11","4","5","nan","nan"
"1","12","2","6","3","10","11","5","4","8","7","9","nan","nan"
"5","11","6","4","3","2","10","1","7","12","9","8","nan","nan"
"2","12","3","9","1","6","4","5","8","7","10","skipped","nan","nan"
"9","11","6","4","5","8","1","3","7","10","2","12","nan","nan"
"8","11","2","7","1","9","6","3","5","12","10","4","nan","nan"
"6","12","2","9","5","11","10","8","1","7","3","4","nan","nan"
"1","11","3","4","6","10","7","5","8","12","2","9","nan","nan"
"2","4","5","12","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","12","4","1","5","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","12","3","9","1","5","11","2","4","10","8","7","nan","nan"
"1","9","2","7","6","12","8","5","3","4","skipped","skipped","nan","nan"
"12","2","5","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","6","2","10","1","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","7","6","2","11","9","1","5","12","4","8","nan","nan"
"5","11","4","1","9","12","8","6","2","10","7","skipped","nan","nan"
"10","11","1","4","3","9","7","2","5","12","6","8","nan","nan"
"9","6","3","10","2","7","11","5","1","12","8","4","nan","nan"
"12","3","1","2","5","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","3","6","10","12","8","4","5","7","skipped","skipped","nan","nan"
"12","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","7","3","4","8","9","1","6","11","2","10","nan","nan"
"8","10","5","6","9","11","2","1","4","12","3","7","nan","nan"
"8","12","4","7","5","9","10","3","2","11","1","6","nan","nan"
"12","4","2","3","1","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","7","3","1","6","9","4","2","11","5","8","nan","nan"
"7","10","6","9","5","8","3","2","1","11","4","12","nan","nan"
"3","10","4","8","9","11","12","1","5","7","2","6","nan","nan"
"9","10","6","7","5","3","2","1","8","12","4","11","nan","nan"
"1","8","7","2","3","9","11","5","4","12","6","10","nan","nan"
"5","10","7","2","1","12","9","6","3","11","4","8","nan","nan"
"7","9","3","5","4","11","10","8","1","2","skipped","skipped","nan","nan"
"6","2","7","8","1","5","11","9","3","12","4","10","nan","nan"
"1","4","10","8","5","9","3","6","7","12","2","11","nan","nan"
"6","12","1","4","5","3","2","7","skipped","skipped","skipped","skipped","nan","nan"
"3","11","2","7","1","12","10","4","8","6","5","9","nan","nan"
"2","11","1","7","6","12","8","5","3","9","10","4","nan","nan"
"4","9","2","5","8","7","1","3","12","6","11","skipped","nan","nan"
"6","10","8","1","3","11","12","4","5","9","7","2","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","11","4","6","2","12","9","10","5","8","1","3","nan","nan"
"3","12","10","1","5","4","9","2","7","6","8","11","nan","nan"
"1","10","3","5","6","7","9","11","4","12","8","2","nan","nan"
"1","12","4","7","3","5","2","6","skipped","skipped","skipped","skipped","nan","nan"
"6","12","4","7","1","9","10","3","8","5","11","2","nan","nan"
"1","11","4","5","10","9","6","3","12","8","7","skipped","nan","nan"
"2","11","5","8","1","9","6","4","3","12","7","10","nan","nan"
"1","10","7","6","3","12","9","2","5","11","4","8","nan","nan"
"1","12","6","4","2","10","8","3","7","11","5","9","nan","nan"
"11","7","3","2","1","9","10","5","8","12","6","4","nan","nan"
"10","9","7","6","8","11","5","1","4","12","2","3","nan","nan"
"7","9","3","11","6","10","1","2","5","12","4","8","nan","nan"
"5","4","3","6","1","8","10","9","7","12","2","11","nan","nan"
"6","11","2","4","7","12","9","1","3","8","5","10","nan","nan"
"3","8","6","9","5","10","7","4","1","11","2","12","nan","nan"
"2","1","9","4","6","10","5","8","3","11","7","12","nan","nan"
"6","9","1","2","4","11","3","7","5","8","12","10","nan","nan"
"6","12","4","5","1","3","10","11","2","8","9","7","nan","nan"
"7","12","1","3","8","9","6","4","11","10","5","skipped","nan","nan"
"1","12","3","2","8","10","7","4","5","11","9","6","nan","nan"
"4","6","7","1","8","10","9","12","2","11","3","5","nan","nan"
"2","11","9","8","7","10","4","1","5","12","3","6","nan","nan"
"8","11","5","1","2","12","6","9","4","10","3","7","nan","nan"
"6","11","7","4","1","12","10","3","9","5","8","skipped","nan","nan"
"11","12","5","2","3","10","6","1","4","9","8","7","nan","nan"
"6","11","2","9","1","12","7","4","10","8","3","5","nan","nan"
"8","12","4","5","2","10","6","1","3","9","7","11","nan","nan"
"4","11","9","2","5","6","7","1","3","10","8","12","nan","nan"
"2","11","5","8","3","9","6","1","12","4","10","skipped","nan","nan"
"4","11","10","7","5","12","9","3","1","8","2","6","nan","nan"
"1","12","10","8","3","9","6","2","7","11","5","4","nan","nan"
"11","5","3","7","4","6","9","12","8","1","10","2","nan","nan"
"2","10","5","7","3","11","8","1","4","12","6","9","nan","nan"
"4","11","3","8","6","9","7","5","2","10","1","12","nan","nan"
"8","11","1","6","4","5","10","9","2","12","3","7","nan","nan"
"12","6","5","3","2","7","1","4","skipped","skipped","skipped","skipped","nan","nan"
"4","7","10","8","2","9","6","3","1","12","5","11","nan","nan"
"7","11","2","4","3","10","6","5","1","12","9","8","nan","nan"
"12","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","12","5","4","7","3","1","2","skipped","skipped","skipped","skipped","nan","nan"
"12","4","3","5","6","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","8","5","3","11","6","2","1","12","7","9","nan","nan"
"10","11","1","4","6","9","8","2","3","5","7","12","nan","nan"
"12","1","7","2","5","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","2","7","11","9","3","5","4","10","8","6","nan","nan"
"4","9","6","5","2","12","10","8","3","11","1","7","nan","nan"
"1","2","4","5","3","12","10","6","8","11","7","9","nan","nan"
"2","10","5","7","3","11","8","1","4","12","6","9","nan","nan"
"7","5","11","9","1","10","3","4","6","12","2","8","nan","nan"
"1","10","4","2","7","9","6","11","5","12","3","8","nan","nan"
"7","10","5","6","1","11","8","2","3","12","4","9","nan","nan"
"4","12","3","5","7","2","9","8","skipped","skipped","skipped","skipped","nan","nan"
"8","10","5","4","3","7","11","6","1","12","9","2","nan","nan"
"5","8","2","11","3","9","10","6","7","12","1","4","nan","nan"
"7","10","1","6","12","8","2","5","skipped","skipped","skipped","skipped","nan","nan"
"4","7","2","9","5","10","12","3","1","11","6","8","nan","nan"
"10","12","6","9","4","2","5","1","7","11","3","8","nan","nan"
"1","5","12","6","4","9","8","3","2","7","skipped","skipped","nan","nan"
"9","11","1","4","3","8","12","5","7","6","10","2","nan","nan"
