"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"6","3","8","2","9","5","7","1","10","4","10.0","1.0"
"7","2","4","3","1","5","9","8","10","6","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","7","6","8","2","3","9","10","1","nan","nan"
"9","5","8","2","7","6","3","1","10","4","nan","nan"
"3","5","9","6","2","4","1","8","10","skipped","nan","nan"
"10","3","1","4","2","5","skipped","skipped","skipped","skipped","nan","nan"
"5","6","2","4","9","3","8","7","10","1","nan","nan"
"4","2","1","3","6","7","9","8","10","5","nan","nan"
"9","6","4","3","5","1","2","8","7","10","nan","nan"
"6","7","9","4","1","2","5","8","10","3","nan","nan"
"1","5","3","7","2","4","9","8","10","6","nan","nan"
"7","3","1","5","10","6","4","9","2","8","nan","nan"
"1","8","4","10","5","2","6","9","7","3","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","5","9","8","7","6","10","2","nan","nan"
"5","7","1","4","8","10","9","3","2","skipped","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","10","4","8","1","6","2","9","5","nan","nan"
"4","2","5","1","3","10","skipped","skipped","skipped","skipped","nan","nan"
"10","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","1","4","10","5","skipped","skipped","skipped","nan","nan"
"9","10","2","5","6","1","4","8","7","3","nan","nan"
"3","1","5","2","7","6","4","10","8","skipped","nan","nan"
"1","8","3","9","5","7","2","6","10","4","nan","nan"
"7","1","5","2","9","3","8","4","10","6","nan","nan"
"5","7","9","6","8","3","4","1","10","2","nan","nan"
"5","2","7","1","6","3","8","9","10","4","nan","nan"
"4","1","9","2","5","7","8","3","10","6","nan","nan"
"4","10","2","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","1","4","9","10","2","7","6","3","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","2","6","3","4","8","7","10","1","nan","nan"
"5","2","9","8","7","3","1","6","10","4","nan","nan"
"2","8","1","6","9","4","5","7","10","3","nan","nan"
"4","6","3","5","1","2","skipped","skipped","skipped","skipped","nan","nan"
"6","5","4","8","9","3","1","10","2","skipped","nan","nan"
"7","10","2","9","1","5","3","4","8","6","nan","nan"
"1","6","3","9","5","7","8","10","2","4","nan","nan"
"1","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","8","2","5","3","4","6","9","1","nan","nan"
"9","5","6","4","3","1","10","2","skipped","skipped","nan","nan"
"3","1","2","8","7","9","10","6","4","5","nan","nan"
"4","8","9","5","7","2","1","6","10","3","nan","nan"
"1","9","2","8","5","10","4","6","3","7","nan","nan"
"5","1","2","3","10","9","4","7","6","8","nan","nan"
"10","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","1","3","5","6","2","8","9","4","nan","nan"
"2","7","6","3","1","4","8","9","10","5","nan","nan"
"4","8","6","7","3","2","1","9","10","5","nan","nan"
"2","10","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","7","10","5","8","2","4","9","1","nan","nan"
"7","1","8","2","9","3","6","4","10","5","nan","nan"
"4","9","5","6","7","2","1","8","10","3","nan","nan"
"2","6","5","7","4","9","10","3","8","1","nan","nan"
"9","7","2","6","1","8","4","5","10","3","nan","nan"
"3","2","4","6","5","9","8","7","1","10","nan","nan"
"2","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","3","8","5","6","9","4","10","2","nan","nan"
