"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","Num Cands","Num Seats"
"1","9","8","6","4","14","2","3","7","5","skipped","skipped","skipped","skipped","14.0","1.0"
"2","14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","13","6","8","1","12","4","2","11","7","10","3","14","9","nan","nan"
"14","10","12","1","9","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","8","7","2","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","10","14","4","2","5","1","3","9","6","7","8","12","11","nan","nan"
"2","14","11","9","3","7","6","5","12","8","4","1","10","13","nan","nan"
"2","4","6","14","1","7","5","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","14","5","3","4","1","7","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","14","9","10","1","12","3","5","6","11","4","7","13","8","nan","nan"
"1","4","9","7","14","8","10","13","12","5","6","2","11","3","nan","nan"
"14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","13","12","10","4","3","1","8","11","2","6","14","7","skipped","nan","nan"
"2","10","5","13","6","11","4","7","12","1","8","9","14","3","nan","nan"
"3","13","8","9","4","7","10","1","12","2","11","5","14","6","nan","nan"
"2","13","8","11","10","5","4","1","3","9","7","6","14","12","nan","nan"
"1","10","6","8","4","2","11","12","9","13","3","5","14","7","nan","nan"
"3","10","14","1","7","9","4","5","6","8","13","2","11","12","nan","nan"
"1","2","10","9","8","3","7","4","6","5","skipped","skipped","skipped","skipped","nan","nan"
"14","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","14","10","1","3","4","2","7","13","6","skipped","skipped","skipped","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","14","3","7","4","8","6","5","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
