"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"1","7","9","3","5","2","11","4","10","skipped","skipped","11.0","1.0"
"9","2","1","5","3","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","4","1","6","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","11","2","4","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","3","1","7","2","4","skipped","skipped","skipped","skipped","nan","nan"
"2","5","7","1","3","6","9","4","8","skipped","skipped","nan","nan"
"7","2","5","6","4","11","8","3","10","9","1","nan","nan"
"4","11","1","5","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","9","5","6","1","4","2","3","skipped","skipped","nan","nan"
"11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","3","2","9","1","5","11","6","8","10","nan","nan"
"5","4","6","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","11","3","1","2","4","skipped","skipped","skipped","skipped","nan","nan"
"7","3","2","1","6","4","5","skipped","skipped","skipped","skipped","nan","nan"
"1","9","11","4","5","3","7","10","2","6","8","nan","nan"
"5","3","4","7","2","1","10","9","8","6","11","nan","nan"
"5","11","2","1","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","8","7","6","1","2","9","4","5","11","nan","nan"
"4","6","8","2","1","3","5","7","skipped","skipped","skipped","nan","nan"
"11","2","1","5","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","3","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","6","5","1","11","2","skipped","skipped","skipped","skipped","nan","nan"
"11","4","3","1","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","7","11","6","1","4","skipped","skipped","skipped","skipped","nan","nan"
"1","7","8","2","4","3","9","6","5","skipped","skipped","nan","nan"
"3","9","6","8","5","2","1","skipped","skipped","skipped","skipped","nan","nan"
"5","8","9","4","7","3","1","11","2","6","10","nan","nan"
"3","11","5","2","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","5","4","3","1","2","11","6","7","10","nan","nan"
"11","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","4","10","7","1","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
