"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"4","3","13","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","13.0","1.0"
"4","1","9","12","8","11","2","6","3","5","13","10","7","nan","nan"
"1","2","8","12","13","6","3","7","5","4","11","10","9","nan","nan"
"1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","6","5","4","7","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","5","10","7","11","2","6","4","8","13","12","9","nan","nan"
"2","1","13","6","4","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","7","13","11","8","4","6","3","5","12","1","10","nan","nan"
"1","3","11","5","13","12","4","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","11","12","2","8","6","5","13","7","skipped","skipped","skipped","nan","nan"
"1","4","11","10","3","9","2","7","13","8","skipped","skipped","skipped","nan","nan"
"2","1","5","3","6","4","13","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","11","2","7","4","5","6","8","13","12","skipped","skipped","nan","nan"
"5","2","4","12","11","6","3","8","1","9","13","10","7","nan","nan"
"6","2","10","7","5","12","1","4","3","13","9","8","11","nan","nan"
"7","4","8","10","13","12","3","2","5","1","11","6","9","nan","nan"
"1","3","13","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","11","5","13","10","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","5","2","7","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","13","7","6","2","4","8","5","skipped","skipped","skipped","skipped","nan","nan"
"1","2","7","8","5","13","4","9","6","10","3","skipped","skipped","nan","nan"
"3","2","8","5","1","7","4","10","11","13","6","12","9","nan","nan"
"3","1","4","5","8","2","7","13","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","13","8","4","3","12","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","13","8","6","2","9","1","5","7","skipped","skipped","skipped","nan","nan"
"1","11","12","13","9","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","2","13","3","4","10","12","6","skipped","skipped","skipped","skipped","nan","nan"
"3","2","6","1","4","7","8","13","5","12","skipped","skipped","skipped","nan","nan"
"1","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","7","4","1","13","3","6","2","skipped","skipped","skipped","skipped","nan","nan"
"1","2","3","4","13","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","7","9","12","11","2","5","3","6","10","8","13","nan","nan"
"1","9","13","5","12","4","10","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","13","8","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","7","10","13","9","8","4","5","12","11","skipped","skipped","nan","nan"
"4","2","7","10","11","9","3","5","1","6","13","8","12","nan","nan"
"6","2","4","9","11","12","3","5","1","8","13","7","10","nan","nan"
"5","3","11","6","1","12","4","13","2","7","9","8","10","nan","nan"
"2","3","13","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","7","13","11","4","5","1","6","10","8","9","skipped","nan","nan"
"5","3","13","2","1","6","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","13","5","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","12","10","9","3","5","1","7","13","8","6","skipped","nan","nan"
"3","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","13","2","1","4","5","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","10","7","1","13","2","11","6","5","8","12","9","nan","nan"
"2","9","10","1","8","4","3","13","5","6","7","11","12","nan","nan"
"4","8","3","1","6","5","9","7","10","2","11","13","12","nan","nan"
"4","3","6","1","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","7","10","13","6","8","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","11","2","9","5","6","12","7","13","skipped","skipped","skipped","nan","nan"
"5","3","13","8","7","1","9","4","6","2","skipped","skipped","skipped","nan","nan"
"2","1","6","12","13","11","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","8","10","13","6","2","9","3","12","4","11","skipped","nan","nan"
"13","3","6","1","5","4","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","4","13","12","11","5","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","6","5","7","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","13","10","8","4","6","9","7","11","5","skipped","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","10","7","5","13","9","4","2","8","11","6","12","nan","nan"
"2","1","5","13","12","6","3","4","7","8","skipped","skipped","skipped","nan","nan"
"3","1","7","13","8","12","2","4","6","9","11","5","10","nan","nan"
"3","1","9","12","11","7","2","5","10","6","13","4","8","nan","nan"
"2","1","13","4","7","3","6","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","4","13","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","13","5","4","2","3","1","12","skipped","skipped","skipped","skipped","nan","nan"
"2","13","5","1","6","7","10","12","3","4","skipped","skipped","skipped","nan","nan"
"11","1","6","4","9","5","3","7","2","10","12","13","skipped","nan","nan"
"1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","9","6","4","13","3","8","2","7","10","skipped","skipped","nan","nan"
"2","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","5","6","13","2","3","7","skipped","skipped","skipped","skipped","nan","nan"
"5","2","7","3","8","12","1","6","4","10","11","9","13","nan","nan"
"1","3","9","11","8","13","2","7","4","6","12","5","10","nan","nan"
"5","1","3","13","7","4","2","11","6","8","10","9","12","nan","nan"
"2","1","8","13","12","7","4","5","3","6","9","10","11","nan","nan"
"3","2","6","11","7","12","1","4","5","9","13","8","10","nan","nan"
"7","1","12","3","9","8","4","5","2","6","10","11","13","nan","nan"
"2","1","6","5","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","6","11","7","5","8","9","2","4","13","10","skipped","nan","nan"
"6","7","10","4","8","13","1","9","2","3","5","skipped","skipped","nan","nan"
"2","3","13","1","4","10","5","9","8","skipped","skipped","skipped","skipped","nan","nan"
"3","1","7","8","10","6","2","5","4","12","13","9","11","nan","nan"
"13","12","3","6","2","5","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","3","13","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","12","6","13","4","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","4","5","2","7","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","11","8","7","1","9","2","10","4","skipped","skipped","skipped","nan","nan"
"13","2","6","4","1","5","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","9","8","11","12","1","5","3","7","13","4","skipped","nan","nan"
