"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"2","7","6","5","8","1","4","9","3","9.0","1.0"
"5","9","1","3","8","2","4","skipped","skipped","nan","nan"
"4","3","5","1","2","9","7","6","8","nan","nan"
"8","2","7","1","6","9","3","5","4","nan","nan"
"3","2","5","9","8","7","1","4","6","nan","nan"
"5","7","3","1","2","9","4","6","skipped","nan","nan"
"6","7","3","1","2","9","5","8","4","nan","nan"
"4","3","9","5","1","2","6","8","7","nan","nan"
"8","1","2","3","5","9","6","7","4","nan","nan"
"2","9","5","8","6","7","4","3","1","nan","nan"
"6","5","9","4","2","3","8","7","1","nan","nan"
"7","8","3","1","5","9","2","6","4","nan","nan"
"8","7","5","3","2","9","6","1","4","nan","nan"
"7","6","3","1","2","9","8","4","5","nan","nan"
"2","4","6","1","7","8","3","9","5","nan","nan"
"4","2","3","5","6","9","8","1","skipped","nan","nan"
"7","4","1","5","3","9","6","2","skipped","nan","nan"
"1","7","5","6","8","4","9","2","3","nan","nan"
"3","1","2","6","7","9","4","8","5","nan","nan"
"6","3","2","4","5","9","7","8","1","nan","nan"
"8","2","3","1","5","9","6","4","skipped","nan","nan"
"1","8","6","2","3","9","4","7","5","nan","nan"
"1","4","2","6","5","9","7","8","3","nan","nan"
"2","9","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","7","4","9","8","1","2","6","nan","nan"
"1","4","5","8","2","9","6","7","3","nan","nan"
"8","6","1","7","5","3","4","2","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","4","7","6","3","5","9","skipped","nan","nan"
"8","7","6","1","2","9","4","3","5","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","7","3","8","9","6","5","2","nan","nan"
"2","8","3","5","6","9","1","7","4","nan","nan"
"4","3","7","6","5","9","1","8","2","nan","nan"
"4","2","1","7","8","9","6","3","5","nan","nan"
"1","2","9","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","4","1","6","5","9","8","7","nan","nan"
"3","9","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","7","4","3","8","6","2","1","nan","nan"
"3","4","9","1","2","5","7","8","6","nan","nan"
"2","9","7","5","4","1","3","8","6","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","5","6","9","8","2","4","1","nan","nan"
"9","3","1","4","6","7","5","2","skipped","nan","nan"
"6","3","1","8","5","9","4","7","2","nan","nan"
"5","3","1","8","9","2","4","skipped","skipped","nan","nan"
"2","3","5","7","1","9","8","4","6","nan","nan"
"6","5","7","2","8","4","3","1","9","nan","nan"
"2","6","4","7","8","9","1","5","3","nan","nan"
"1","3","9","7","8","2","5","4","6","nan","nan"
"2","6","1","8","9","5","3","7","4","nan","nan"
"8","1","3","7","6","9","5","4","2","nan","nan"
"8","5","2","3","4","9","6","7","1","nan","nan"
"3","2","1","9","5","8","4","6","7","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","3","5","4","9","2","7","1","nan","nan"
"6","3","5","2","7","8","9","4","1","nan","nan"
