"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"7","5","9","1","3","6","2","4","8","9.0","1.0"
"7","2","9","4","1","8","5","6","3","nan","nan"
"2","9","8","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","2","6","8","4","7","9","5","nan","nan"
"8","6","2","3","7","4","1","5","9","nan","nan"
"9","1","6","4","5","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","3","5","2","4","skipped","skipped","skipped","nan","nan"
"1","9","8","5","3","6","2","4","skipped","nan","nan"
"1","3","2","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","7","3","4","9","5","8","6","nan","nan"
"9","1","2","4","3","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","4","3","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","8","5","4","9","3","6","skipped","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","7","8","1","5","2","4","3","6","nan","nan"
"3","1","9","4","2","skipped","skipped","skipped","skipped","nan","nan"
"3","9","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","7","5","3","6","2","skipped","skipped","nan","nan"
"2","1","9","3","5","4","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","9","2","1","skipped","skipped","skipped","skipped","nan","nan"
"4","5","9","1","3","2","skipped","skipped","skipped","nan","nan"
"1","2","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","5","3","7","8","1","skipped","skipped","nan","nan"
"1","4","9","2","3","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","5","4","6","3","skipped","skipped","nan","nan"
"1","2","4","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","8","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","3","1","9","2","skipped","skipped","skipped","nan","nan"
"7","1","8","3","2","5","4","6","skipped","nan","nan"
"4","9","1","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","2","4","5","6","skipped","skipped","skipped","nan","nan"
"9","1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","5","1","8","6","7","9","4","nan","nan"
"3","9","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","9","1","2","3","skipped","skipped","skipped","nan","nan"
"2","3","9","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","9","3","7","4","1","6","5","nan","nan"
"5","6","8","1","4","9","3","2","skipped","nan","nan"
"2","9","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","6","5","1","8","9","4","skipped","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","9","2","7","3","6","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","5","1","6","4","2","skipped","skipped","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","5","7","1","6","8","4","nan","nan"
"1","9","4","3","2","skipped","skipped","skipped","skipped","nan","nan"
"9","8","1","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","5","1","4","2","skipped","skipped","skipped","nan","nan"
"4","9","8","1","2","3","skipped","skipped","skipped","nan","nan"
"9","1","4","8","5","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","3","9","2","7","8","6","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","2","4","1","skipped","skipped","skipped","skipped","nan","nan"
"2","1","9","5","6","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","4","6","5","3","skipped","skipped","nan","nan"
"3","2","9","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","7","5","3","6","1","skipped","skipped","nan","nan"
"7","2","1","9","4","3","6","skipped","skipped","nan","nan"
"5","7","8","3","1","6","9","4","2","nan","nan"
"9","3","2","4","1","5","skipped","skipped","skipped","nan","nan"
"7","3","9","4","6","8","5","2","1","nan","nan"
"6","5","1","4","3","2","skipped","skipped","skipped","nan","nan"
"2","9","4","1","3","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","7","1","2","3","6","8","5","nan","nan"
"1","7","9","2","3","6","4","8","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","2","7","4","6","8","5","nan","nan"
"9","2","4","5","3","1","skipped","skipped","skipped","nan","nan"
