"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"6","7","10","5","4","3","2","8","1","9","skipped","skipped","12.0","1.0"
"12","8","11","3","2","4","9","10","7","1","6","5","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","6","12","5","3","1","10","2","7","4","8","11","nan","nan"
"9","11","12","1","7","6","10","8","2","3","4","5","nan","nan"
"9","7","12","3","1","5","11","6","4","8","10","skipped","nan","nan"
"10","7","12","3","4","1","5","6","2","8","9","skipped","nan","nan"
"6","12","3","2","5","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","3","7","1","6","2","5","skipped","skipped","skipped","skipped","nan","nan"
"3","4","10","12","1","5","11","6","8","2","7","9","nan","nan"
"6","12","1","2","11","3","4","7","5","skipped","skipped","skipped","nan","nan"
"10","4","12","5","2","8","7","6","1","3","11","9","nan","nan"
"12","6","2","4","1","3","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","12","2","4","8","5","6","1","10","9","skipped","nan","nan"
"6","4","12","1","5","11","10","3","2","8","9","7","nan","nan"
"9","7","12","2","3","1","10","4","6","5","8","11","nan","nan"
"8","6","11","7","3","1","12","4","5","2","9","10","nan","nan"
"8","6","12","11","9","2","1","5","3","10","7","4","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","11","7","2","3","10","9","6","1","12","4","nan","nan"
"9","3","12","2","8","11","6","7","5","1","10","4","nan","nan"
"12","2","3","5","4","11","1","10","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","9","12","2","5","6","3","4","1","10","skipped","nan","nan"
"8","6","12","1","4","9","10","7","2","3","11","5","nan","nan"
"11","7","5","2","10","9","12","8","4","3","1","6","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","12","5","3","1","11","4","6","2","10","8","nan","nan"
"10","7","11","3","5","2","4","1","6","9","8","12","nan","nan"
"8","7","11","5","4","6","12","1","3","2","9","10","nan","nan"
"7","4","1","9","5","11","2","8","10","6","12","3","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","10","1","2","8","11","3","5","4","9","12","nan","nan"
"8","7","10","5","3","1","12","4","6","2","9","skipped","nan","nan"
"12","5","6","4","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","11","12","4","6","8","5","2","3","9","10","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","3","4","5","6","2","1","skipped","skipped","skipped","skipped","nan","nan"
"6","12","4","3","5","2","8","1","skipped","skipped","skipped","skipped","nan","nan"
"7","4","12","8","3","5","11","2","1","6","10","9","nan","nan"
"12","2","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","11","2","9","8","12","3","1","6","4","7","nan","nan"
"6","5","11","4","3","8","12","1","7","2","10","9","nan","nan"
"11","7","12","2","5","3","1","4","6","8","skipped","skipped","nan","nan"
"5","3","12","2","4","6","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","4","5","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","9","12","1","6","10","8","7","2","5","11","nan","nan"
"7","3","11","6","8","2","12","1","5","9","4","10","nan","nan"
"2","3","8","6","7","5","4","1","skipped","skipped","skipped","skipped","nan","nan"
"11","8","12","3","9","6","4","7","2","10","5","1","nan","nan"
"12","9","3","7","1","5","6","2","4","8","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","10","4","2","3","12","5","6","1","7","9","nan","nan"
"3","12","7","6","5","4","1","2","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","12","1","6","4","3","5","2","9","10","skipped","skipped","nan","nan"
