"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"11","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","11.0","1.0"
"8","4","1","11","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","9","3","1","5","8","11","7","4","2","nan","nan"
"9","3","5","6","10","2","1","11","7","4","skipped","nan","nan"
"11","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","11","3","1","10","2","4","skipped","skipped","skipped","nan","nan"
"11","4","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","3","4","6","2","5","skipped","skipped","skipped","skipped","nan","nan"
"1","11","5","7","8","6","2","skipped","skipped","skipped","skipped","nan","nan"
"11","1","3","10","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","5","11","2","6","10","3","7","8","4","nan","nan"
"11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","10","1","11","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","6","10","2","3","1","4","7","5","skipped","skipped","nan","nan"
"6","7","1","11","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","3","2","11","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","3","6","5","7","10","8","11","2","1","nan","nan"
"11","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","4","5","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","3","1","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","11","1","4","8","7","3","6","skipped","skipped","nan","nan"
"4","7","1","6","2","3","5","skipped","skipped","skipped","skipped","nan","nan"
"10","8","11","9","5","4","6","3","2","1","7","nan","nan"
"1","11","6","2","5","3","4","skipped","skipped","skipped","skipped","nan","nan"
"2","11","1","10","5","3","4","skipped","skipped","skipped","skipped","nan","nan"
"11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","11","9","5","2","3","8","6","10","1","7","nan","nan"
"4","2","8","3","6","7","10","9","11","1","5","nan","nan"
"4","10","8","2","11","9","3","1","skipped","skipped","skipped","nan","nan"
"6","11","4","5","2","7","3","1","skipped","skipped","skipped","nan","nan"
"5","4","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","8","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","2","4","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","2","3","1","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","11","4","3","2","7","6","10","1","5","nan","nan"
"10","7","9","6","1","11","2","8","4","3","5","nan","nan"
"11","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","3","2","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","11","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","11","6","8","3","9","5","2","1","7","nan","nan"
