rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,numSeats,numCands
12,9,13,8,14,7,6,2,22,21,10,11,20,17,16,19,3,15,5,4,1,18,1.0,22.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
11,22,4,22,2,22,9,1,22,22,22,9,22,8,22,22,6,2,3,7,5,22,,
22,22,22,22,22,22,22,3,22,22,22,22,2,22,22,22,22,22,22,22,1,22,,
22,2,22,4,22,22,7,1,22,22,22,22,22,22,22,22,22,22,22,22,22,5,,
22,6,22,22,22,22,22,1,22,8,22,22,5,7,22,4,3,22,22,22,2,22,,
5,22,8,10,9,11,4,1,22,Skipped,Skipped,10,22,22,9,Skipped,7,3,6,22,2,2,,
14,11,15,8,12,13,5,2,22,18,20,9,17,6,18,16,3,21,9,7,1,4,,
14,8,22,6,12,2,13,1,10,22,7,11,7,5,22,7,5,22,9,3,6,4,,
22,2,22,22,22,22,22,22,22,1,2,22,2,3,22,2,22,22,22,4,22,22,,
21,1,22,2,21,21,20,1,5,22,22,21,3,6,22,22,9,22,21,8,22,4,,
22,12,19,17,18,5,22,1,22,22,10,8,22,8,20,12,6,21,8,9,2,2,,
22,6,Skipped,22,22,22,9,2,22,22,7,22,22,4,22,5,1,8,22,10,3,22,,
9,7,19,10,22,14,13,3,16,21,6,4,11,18,17,15,1,20,12,5,2,8,,
4,22,22,8,22,2,3,9,22,22,22,5,22,22,1,22,10,1,5,22,6,7,,
11,8,20,7,16,8,9,2,15,18,4,11,17,5,19,12,3,22,10,21,1,6,,
1,8,5,1,5,2,1,4,21,22,7,3,11,12,22,11,21,10,3,6,9,4,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,8,22,5,1,22,22,4,6,10,9,22,22,2,22,7,22,3,22,,
22,7,22,6,4,22,22,1,22,22,9,5,22,22,22,22,22,22,3,8,10,2,,
8,16,10,9,19,2,4,1,20,21,11,13,15,7,18,17,6,22,12,5,3,14,,
22,22,22,22,22,22,22,2,22,22,3,22,22,22,22,22,4,22,22,22,1,22,,
22,22,22,22,22,4,22,1,22,22,22,5,22,22,22,22,22,22,22,22,1,2,,
5,22,22,22,22,22,22,1,22,22,2,22,22,4,3,22,22,22,22,22,22,22,,
22,1,22,22,22,22,22,7,1,1,1,22,1,1,22,1,22,22,22,9,8,22,,
22,22,1,22,1,1,1,1,22,22,22,22,22,22,22,22,22,1,1,1,22,1,,
7,11,16,8,22,15,10,2,22,18,5,4,14,13,17,22,3,22,9,6,1,12,,
12,22,20,7,20,6,10,2,22,21,9,5,8,4,13,4,3,21,22,11,1,22,,
16,13,21,5,20,14,4,5,18,17,8,12,7,3,15,11,10,19,9,1,2,6,,
22,11,18,16,22,8,17,2,22,13,10,9,22,7,13,12,3,15,6,4,1,5,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
14,4,21,16,20,10,3,7,18,17,6,19,12,15,6,13,8,22,11,1,9,2,,
22,4,22,22,22,22,22,1,22,22,3,22,3,22,22,22,1,22,22,22,1,5,,
22,9,Skipped,22,Skipped,4,8,2,22,22,Skipped,5,22,7,22,22,3,22,6,22,1,22,,
14,16,17,7,9,6,13,1,21,22,19,8,18,12,11,20,10,15,4,3,5,2,,
3,15,9,4,6,12,6,2,21,22,21,5,20,13,14,22,11,10,9,20,1,20,,
6,15,13,10,11,10,7,1,22,22,8,8,17,5,12,18,4,14,9,20,2,3,,
22,8,22,22,22,22,22,9,5,9,3,22,10,7,22,22,22,22,6,5,2,22,,
22,22,22,22,22,4,22,3,22,22,22,5,22,2,22,22,22,22,22,22,1,22,,
8,22,15,12,16,10,7,9,6,21,18,5,17,13,20,19,14,4,2,3,1,11,,
22,7,16,22,22,13,3,1,22,22,8,10,14,2,15,12,9,22,4,11,5,8,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
16,11,17,5,9,10,8,1,18,22,13,7,20,19,12,21,15,4,6,3,14,2,,
22,1,22,22,22,22,22,8,7,22,5,22,3,6,22,4,22,22,22,22,9,2,,
4,22,13,8,14,9,2,1,18,20,17,12,21,16,6,19,11,7,10,15,5,3,,
18,2,22,15,20,10,16,1,8,14,Skipped,19,7,11,21,5,4,Skipped,17,3,9,6,,
22,22,22,10,22,9,4,1,22,22,7,2,22,22,22,22,22,22,3,6,8,5,,
20,5,22,18,22,15,10,1,22,7,16,22,12,13,20,13,3,22,15,17,2,15,,
9,11,14,13,10,8,7,1,20,22,3,6,12,19,4,18,15,21,5,17,2,16,,
22,22,22,22,22,22,22,2,22,22,7,22,22,4,22,22,1,22,22,5,3,6,,
14,7,22,15,22,16,12,1,10,22,2,13,6,5,22,8,22,22,11,3,4,9,,
20,1,17,17,12,9,22,10,22,22,14,7,22,13,22,3,17,22,14,2,3,7,,
22,4,8,3,22,22,8,1,22,22,4,22,10,7,22,10,2,9,5,11,6,3,,
6,10,22,12,15,5,1,2,16,22,22,14,22,7,22,22,3,11,13,9,4,8,,
3,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,6,1,5,22,4,,
22,22,22,22,22,22,22,1,22,22,2,22,6,5,22,22,3,22,22,22,4,22,,
5,22,22,4,22,22,5,22,22,22,22,5,5,22,22,5,2,22,5,3,1,22,,
13,22,21,20,12,5,8,1,11,16,19,7,14,15,9,17,3,10,4,18,2,6,,
8,9,22,3,22,22,7,1,22,22,22,6,22,10,22,22,4,22,5,22,2,22,,
