"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"7","9","5","12","2","15","11","4","6","3","1","10","13","8","16","14","16.0","1.0"
"16","3","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","5","3","7","6","13","16","10","4","9","8","15","12","11","14","nan","nan"
"13","3","1","7","2","11","14","12","9","4","8","5","6","15","16","10","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","6","2","4","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","13","2","5","15","4","16","8","14","6","10","3","12","1","7","11","nan","nan"
"11","14","7","9","10","12","6","13","5","2","15","16","1","3","8","4","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","4","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","9","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","4","5","12","16","14","11","9","2","3","7","1","13","15","8","nan","nan"
"16","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","13","14","10","8","16","7","15","1","6","4","5","9","2","3","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","16","3","1","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","2","3","7","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","14","8","2","6","4","1","7","3","5","15","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","2","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","7","12","11","10","9","1","15","16","14","13","5","6","3","4","nan","nan"
"16","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","16","15","14","12","3","13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","11","8","7","13","3","10","2","1","16","4","6","9","14","15","nan","nan"
"16","1","2","6","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","6","7","3","2","5","8","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","5","9","3","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","2","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","8","12","3","16","14","7","13","11","15","10","1","5","9","4","nan","nan"
"15","2","13","12","3","6","14","8","11","5","10","9","1","16","4","7","nan","nan"
"7","8","3","2","11","16","9","13","4","1","6","5","14","10","15","12","nan","nan"
"1","16","8","6","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","15","1","5","10","11","9","12","4","2","7","6","16","8","13","14","nan","nan"
"6","16","14","12","11","15","2","7","10","1","5","13","4","3","8","9","nan","nan"
"7","9","3","2","14","16","13","15","4","1","6","5","10","12","11","8","nan","nan"
"5","13","10","2","12","9","8","7","4","1","16","3","14","6","15","11","nan","nan"
"6","1","8","11","3","4","10","7","15","13","12","16","2","9","skipped","skipped","nan","nan"
"6","16","15","7","1","14","8","10","2","3","5","11","9","12","13","skipped","nan","nan"
