"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"8","1","9","skipped","skipped","skipped","skipped","skipped","skipped","9.0","1.0"
"7","4","3","5","9","2","1","8","6","nan","nan"
"4","8","3","9","1","5","2","skipped","skipped","nan","nan"
"7","4","2","6","9","5","1","8","3","nan","nan"
"4","5","6","7","9","2","3","8","1","nan","nan"
"2","4","9","1","3","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","9","3","1","4","skipped","skipped","skipped","nan","nan"
"7","3","4","5","9","2","6","8","1","nan","nan"
"6","2","5","4","3","1","7","8","skipped","nan","nan"
"2","6","3","8","9","4","7","1","5","nan","nan"
"6","1","3","8","9","4","5","7","2","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","3","9","2","5","skipped","skipped","skipped","nan","nan"
"2","7","1","5","9","4","3","8","6","nan","nan"
"4","7","6","5","9","2","1","8","3","nan","nan"
"4","2","9","3","1","5","skipped","skipped","skipped","nan","nan"
"1","9","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","9","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","5","9","6","2","skipped","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","4","7","9","3","1","8","2","nan","nan"
"1","6","4","5","9","7","3","8","2","nan","nan"
"4","3","5","2","1","skipped","skipped","skipped","skipped","nan","nan"
"6","2","5","4","9","1","3","7","skipped","nan","nan"
"5","4","3","6","9","2","1","7","8","nan","nan"
"2","6","4","5","9","8","3","1","7","nan","nan"
"6","5","3","1","9","4","2","skipped","skipped","nan","nan"
"2","6","4","5","8","7","3","9","1","nan","nan"
"8","4","2","6","9","7","3","1","5","nan","nan"
"6","2","3","5","9","7","4","8","1","nan","nan"
"4","2","5","9","1","3","skipped","skipped","skipped","nan","nan"
"2","4","5","6","9","3","8","7","1","nan","nan"
"4","5","3","1","2","6","skipped","skipped","skipped","nan","nan"
"5","3","2","1","9","6","7","4","8","nan","nan"
"4","1","3","8","5","7","9","2","skipped","nan","nan"
"2","3","9","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","5","6","1","7","4","skipped","nan","nan"
"2","6","5","4","7","3","1","skipped","skipped","nan","nan"
"5","2","6","8","9","4","1","3","7","nan","nan"
"8","9","1","4","7","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","2","9","1","skipped","skipped","skipped","nan","nan"
"8","2","9","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","3","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","4","7","9","2","1","5","skipped","nan","nan"
"4","2","1","6","9","3","7","5","skipped","nan","nan"
"5","2","4","7","9","6","1","8","3","nan","nan"
"3","1","5","9","4","2","6","7","skipped","nan","nan"
"6","5","1","2","3","4","skipped","skipped","skipped","nan","nan"
"2","4","6","5","7","1","9","3","skipped","nan","nan"
"1","3","4","9","2","5","skipped","skipped","skipped","nan","nan"
