"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"4","7","6","8","1","3","2","5","8.0","1.0"
"3","5","1","2","8","6","7","4","nan","nan"
"8","4","1","3","5","2","6","7","nan","nan"
"7","6","5","1","8","skipped","skipped","skipped","nan","nan"
"8","6","3","2","7","1","4","5","nan","nan"
"8","5","6","4","3","2","1","7","nan","nan"
"5","4","3","1","8","2","7","6","nan","nan"
"8","6","4","3","2","1","5","7","nan","nan"
"8","7","3","1","4","2","5","6","nan","nan"
"8","2","5","1","skipped","skipped","skipped","skipped","nan","nan"
"3","4","8","7","5","skipped","skipped","skipped","nan","nan"
"8","5","4","2","3","1","6","7","nan","nan"
"8","6","2","1","7","3","5","4","nan","nan"
"8","6","3","1","7","2","5","4","nan","nan"
"7","6","2","1","8","3","4","skipped","nan","nan"
"7","6","4","1","5","2","3","8","nan","nan"
"8","1","4","2","7","3","5","6","nan","nan"
"6","5","2","3","1","4","7","skipped","nan","nan"
"4","5","6","3","skipped","skipped","skipped","skipped","nan","nan"
"7","8","5","2","4","1","3","6","nan","nan"
"8","7","1","5","3","2","4","skipped","nan","nan"
"8","1","4","2","3","skipped","skipped","skipped","nan","nan"
"8","6","2","1","4","3","5","7","nan","nan"
"8","7","2","1","6","3","5","4","nan","nan"
"8","3","6","2","1","skipped","skipped","skipped","nan","nan"
"5","7","3","2","4","6","1","8","nan","nan"
"8","4","5","1","3","2","7","6","nan","nan"
"7","8","2","1","6","3","5","4","nan","nan"
"8","2","1","3","5","4","skipped","skipped","nan","nan"
"8","6","2","1","5","3","4","7","nan","nan"
"7","8","1","2","6","4","5","3","nan","nan"
"8","5","1","3","7","2","4","6","nan","nan"
"8","4","2","1","3","5","7","skipped","nan","nan"
"7","8","5","2","4","1","6","3","nan","nan"
"8","3","4","2","7","1","5","6","nan","nan"
"8","4","1","2","3","skipped","skipped","skipped","nan","nan"
"1","8","2","4","5","3","7","6","nan","nan"
"6","5","3","1","7","8","4","2","nan","nan"
"8","3","1","2","7","5","4","6","nan","nan"
"8","5","1","2","6","4","3","7","nan","nan"
"8","5","1","2","4","3","skipped","skipped","nan","nan"
