"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","16.0","1.0"
"7","10","8","11","4","15","14","6","3","2","1","13","5","9","12","16","nan","nan"
"2","8","5","7","1","4","10","3","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","16","4","1","6","5","10","3","8","9","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","7","6","2","3","14","10","11","12","4","15","5","9","8","13","nan","nan"
"16","1","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","3","2","6","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","16","4","5","1","8","2","6","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","16","11","6","2","4","14","5","7","15","1","8","10","9","12","skipped","nan","nan"
"4","16","5","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","16","7","3","1","6","5","4","8","9","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","16","10","8","6","4","7","1","12","5","3","11","9","skipped","skipped","skipped","nan","nan"
"1","16","2","3","8","9","7","12","6","15","5","4","14","11","13","10","nan","nan"
"2","16","5","6","1","4","11","7","9","3","8","10","skipped","skipped","skipped","skipped","nan","nan"
"1","5","7","15","2","4","13","8","9","10","3","14","16","11","12","6","nan","nan"
"1","16","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","16","2","3","6","7","15","8","13","10","5","12","1","9","11","14","nan","nan"
"4","16","6","2","5","1","8","15","11","13","3","14","9","7","10","12","nan","nan"
"4","13","6","5","3","9","16","14","2","12","1","10","skipped","skipped","skipped","skipped","nan","nan"
"2","16","5","7","1","4","13","10","14","15","3","6","8","12","9","skipped","nan","nan"
"15","16","6","4","1","2","14","7","13","12","5","11","3","skipped","skipped","skipped","nan","nan"
"16","4","2","3","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","10","9","11","5","2","3","7","4","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
