rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
Skipped,Skipped,Skipped,1,2,4,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,3,1.0,15.0
1,4,Skipped,3,2,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,,
3,5,1,Skipped,2,Skipped,Skipped,7,6,Skipped,Skipped,Skipped,Skipped,4,Skipped,,
4,3,Skipped,1,6,10,Skipped,Skipped,8,7,9,5,2,Skipped,11,,
1,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
1,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,8,3,4,Skipped,Skipped,6,Skipped,9,2,7,1,Skipped,5,,
4,Skipped,3,Skipped,5,2,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,1,,
2,15,5,6,4,14,9,13,12,3,8,7,1,11,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,3,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,,
2,Skipped,Skipped,1,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,7,6,,
3,Skipped,1,8,2,12,Skipped,9,Skipped,5,11,6,10,7,4,,
2,5,Skipped,6,3,10,Skipped,9,Skipped,4,7,Skipped,1,Skipped,8,,
1,Skipped,3,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,9,4,6,12,10,8,14,3,7,5,Skipped,2,13,11,,
5,9,2,6,4,Skipped,Skipped,8,Skipped,3,7,Skipped,1,10,11,,
7,8,6,9,1,11,Skipped,10,Skipped,2,4,5,3,Skipped,Skipped,,
2,Skipped,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,Skipped,8,6,Skipped,Skipped,7,4,Skipped,2,Skipped,1,9,5,,
Skipped,Skipped,1,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,4,3,8,Skipped,6,Skipped,Skipped,2,Skipped,Skipped,7,5,,
5,Skipped,Skipped,4,Skipped,3,Skipped,6,Skipped,Skipped,2,Skipped,1,7,8,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,2,Skipped,5,3,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,6,8,4,,
1,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
Skipped,Skipped,Skipped,1,Skipped,4,3,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,2,,
3,Skipped,Skipped,4,2,Skipped,Skipped,6,5,Skipped,1,Skipped,7,9,8,,
5,10,2,3,8,7,9,4,Skipped,Skipped,11,Skipped,1,12,6,,
3,4,Skipped,2,1,8,Skipped,5,Skipped,9,2,Skipped,4,7,6,,
2,Skipped,Skipped,5,7,6,9,10,4,Skipped,11,3,1,Skipped,8,,
4,Skipped,1,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,6,5,,
2,Skipped,3,1,3,5,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
7,5,9,3,4,Skipped,Skipped,11,1,Skipped,6,Skipped,2,10,8,,
7,Skipped,Skipped,1,Skipped,Skipped,8,3,2,Skipped,Skipped,Skipped,6,4,5,,
3,7,2,5,13,4,1,13,13,8,5,14,15,13,13,,
1,4,Skipped,5,8,Skipped,9,Skipped,2,6,Skipped,7,3,Skipped,Skipped,,
5,4,7,9,2,Skipped,Skipped,8,Skipped,10,6,3,1,Skipped,Skipped,,
4,12,3,6,2,15,11,14,5,10,7,9,1,13,8,,
2,Skipped,3,5,6,Skipped,7,Skipped,Skipped,Skipped,9,Skipped,1,8,4,,
2,Skipped,Skipped,3,Skipped,Skipped,10,5,Skipped,11,4,Skipped,1,6,7,,
4,11,3,10,2,Skipped,6,8,1,Skipped,12,Skipped,5,7,9,,
4,Skipped,Skipped,3,Skipped,Skipped,5,6,Skipped,Skipped,2,Skipped,Skipped,7,1,,
7,3,Skipped,5,Skipped,9,6,Skipped,Skipped,Skipped,4,2,1,10,8,,
6,9,7,8,1,15,12,13,11,2,5,4,3,14,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,,
2,4,6,4,5,9,8,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,7,,
4,1,Skipped,6,5,Skipped,Skipped,7,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,,
?,?,?,1,?,?,?,?,?,?,?,?,?,2,?,,
