"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"4","2","1","3","8","6","5","9","7","9.0","1.0"
"7","6","1","2","5","9","4","3","8","nan","nan"
"3","9","5","2","1","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","9","5","2","3","7","6","nan","nan"
"4","7","9","8","3","1","2","5","6","nan","nan"
"9","4","3","1","7","6","5","2","8","nan","nan"
"9","5","3","1","8","6","4","2","7","nan","nan"
"1","3","9","2","5","7","skipped","skipped","skipped","nan","nan"
"2","8","9","3","4","7","1","skipped","skipped","nan","nan"
"9","8","2","4","1","5","6","7","3","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","5","4","1","skipped","skipped","skipped","skipped","nan","nan"
"9","5","2","3","6","7","4","1","8","nan","nan"
"3","7","6","8","1","4","5","9","2","nan","nan"
"9","2","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","7","9","2","4","6","8","3","nan","nan"
"6","3","9","8","2","1","5","7","4","nan","nan"
"7","5","6","3","2","4","9","1","8","nan","nan"
"3","6","1","8","4","7","2","9","5","nan","nan"
"9","3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","1","2","5","6","4","3","7","nan","nan"
"1","4","8","9","2","7","3","skipped","skipped","nan","nan"
"4","3","9","8","5","1","2","7","6","nan","nan"
"1","5","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","2","6","7","5","4","8","nan","nan"
"5","2","1","8","7","3","4","9","6","nan","nan"
"7","5","1","3","9","6","4","2","8","nan","nan"
"8","9","1","2","7","5","4","3","6","nan","nan"
"8","5","2","1","9","skipped","skipped","skipped","skipped","nan","nan"
"1","6","7","8","2","3","9","5","4","nan","nan"
"3","4","8","9","2","5","7","6","1","nan","nan"
"2","5","8","9","1","4","6","7","3","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","9","7","2","4","5","skipped","skipped","nan","nan"
"3","6","2","4","8","7","9","5","1","nan","nan"
"8","2","4","9","1","skipped","skipped","skipped","skipped","nan","nan"
"1","5","6","7","2","4","9","8","3","nan","nan"
"4","6","7","9","2","5","3","8","1","nan","nan"
"9","5","2","1","4","3","skipped","skipped","skipped","nan","nan"
"7","1","4","8","6","5","2","9","3","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","9","2","6","7","1","skipped","skipped","nan","nan"
"5","3","7","9","4","2","6","8","1","nan","nan"
"3","8","6","9","1","5","7","2","skipped","nan","nan"
"1","5","8","7","4","3","6","9","2","nan","nan"
"5","3","7","4","6","2","9","8","1","nan","nan"
"8","3","2","1","9","7","5","6","skipped","nan","nan"
"9","2","3","1","5","4","6","8","7","nan","nan"
"2","7","9","3","6","4","5","8","1","nan","nan"
"8","5","7","3","1","9","2","4","6","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","9","8","3","6","5","7","1","nan","nan"
"9","8","2","1","3","skipped","skipped","skipped","skipped","nan","nan"
"7","3","2","4","1","6","5","9","8","nan","nan"
"7","4","2","1","9","5","3","6","skipped","nan","nan"
"7","4","2","1","6","5","3","skipped","skipped","nan","nan"
"8","2","7","3","1","9","6","4","5","nan","nan"
"5","4","9","2","7","3","8","1","skipped","nan","nan"
"9","6","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","4","7","2","6","9","8","3","nan","nan"
"2","5","8","9","4","3","6","7","1","nan","nan"
"5","8","2","1","6","7","4","3","9","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","4","9","2","1","7","8","3","nan","nan"
"2","5","8","9","3","4","1","skipped","skipped","nan","nan"
"9","4","2","1","7","6","5","3","8","nan","nan"
