"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","Num Cands","Num Seats"
"9","1","5","17","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","26.0","1.0"
"10","2","13","5","14","15","21","3","18","6","8","9","17","22","23","12","20","4","7","1","16","19","11","skipped","skipped","skipped","nan","nan"
"14","1","13","11","12","15","7","6","4","3","10","8","5","2","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","15","7","6","14","8","13","3","12","10","9","4","1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","7","2","6","25","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","7","24","8","14","17","18","11","15","13","1","3","6","23","9","20","22","10","16","12","25","21","skipped","skipped","skipped","nan","nan"
"12","2","21","9","17","20","26","18","8","3","15","4","5","7","6","1","23","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","10","12","6","7","3","5","9","4","2","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","10","5","11","15","13","22","4","9","7","12","18","17","14","6","21","2","16","3","19","23","8","skipped","skipped","skipped","nan","nan"
"7","1","11","15","17","5","6","8","13","20","12","10","9","2","18","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","10","18","9","25","26","21","5","23","19","2","8","14","24","15","7","22","6","16","3","12","20","13","4","skipped","nan","nan"
"4","10","6","8","2","11","7","5","1","3","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","22","11","25","14","23","24","18","5","16","8","3","12","17","15","19","10","26","9","6","2","7","20","4","skipped","nan","nan"
"6","8","5","4","3","1","7","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","1","17","6","15","21","13","4","20","11","7","9","10","2","19","3","8","12","16","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","3","5","7","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"22","23","10","20","7","26","21","24","3","11","4","12","2","5","8","25","13","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","1","14","16","12","8","26","25","20","5","11","10","4","6","18","22","19","7","21","3","9","2","17","24","23","13","nan","nan"
"12","1","15","10","14","17","16","11","6","3","5","9","13","4","2","7","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
