"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","Num Cands","Num Seats"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","20.0","1.0"
"3","2","4","5","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","17","8","19","18","6","20","10","5","3","7","4","2","1","16","11","skipped","skipped","skipped","skipped","nan","nan"
"20","7","1","8","4","3","6","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","14","2","16","20","5","13","3","7","15","10","6","11","12","4","17","9","19","1","skipped","nan","nan"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","6","4","17","13","18","15","11","2","19","9","1","7","14","5","12","8","16","20","nan","nan"
"15","1","5","19","20","3","4","7","14","16","11","8","6","9","10","2","17","13","18","12","nan","nan"
"10","5","14","8","12","2","20","15","16","9","4","1","7","3","13","11","6","skipped","skipped","skipped","nan","nan"
"11","8","19","13","16","1","5","20","10","6","3","12","7","4","9","2","17","15","18","14","nan","nan"
"20","5","8","2","7","4","1","9","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","8","1","17","18","9","14","5","2","15","13","4","11","7","19","6","20","12","10","skipped","nan","nan"
"20","1","7","4","3","6","8","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","14","5","17","15","13","8","16","6","18","11","2","12","4","3","1","10","9","20","skipped","nan","nan"
"8","5","4","9","11","10","3","1","2","6","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","10","8","14","18","15","19","5","20","13","2","4","3","6","7","16","11","9","17","1","nan","nan"
