"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"8","7","4","3","6","2","1","5","8.0","1.0"
"8","1","3","4","2","7","6","5","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","3","5","1","2","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","5","7","3","6","8","1","nan","nan"
"8","1","4","5","3","6","7","2","nan","nan"
"8","7","3","1","6","4","2","5","nan","nan"
"7","3","4","2","6","5","1","8","nan","nan"
"4","1","3","2","skipped","skipped","skipped","skipped","nan","nan"
"6","3","1","4","5","8","7","2","nan","nan"
"5","7","1","2","3","8","6","4","nan","nan"
"8","4","1","5","2","7","6","3","nan","nan"
"8","7","5","3","4","2","1","6","nan","nan"
"6","3","2","5","4","8","7","1","nan","nan"
"8","3","1","2","6","7","4","skipped","nan","nan"
"8","1","3","7","skipped","skipped","skipped","skipped","nan","nan"
"8","5","4","3","6","1","2","7","nan","nan"
"5","3","2","6","8","7","1","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","4","3","8","7","1","skipped","nan","nan"
"8","7","4","1","5","3","2","6","nan","nan"
"8","5","2","1","4","6","7","3","nan","nan"
"3","4","2","8","1","skipped","skipped","skipped","nan","nan"
"8","3","2","6","4","7","5","1","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"5","1","4","6","3","8","7","2","nan","nan"
"8","4","6","1","5","2","3","7","nan","nan"
"8","5","6","1","3","4","2","7","nan","nan"
"5","3","4","6","2","8","7","1","nan","nan"
"8","2","5","3","1","7","6","4","nan","nan"
"6","2","3","4","5","8","7","1","nan","nan"
"8","2","1","3","skipped","skipped","skipped","skipped","nan","nan"
"8","6","4","3","5","1","2","7","nan","nan"
"3","1","2","6","4","8","7","5","nan","nan"
"8","5","6","4","7","1","2","3","nan","nan"
"8","3","7","2","5","4","1","6","nan","nan"
"8","7","4","3","5","1","2","6","nan","nan"
"8","7","4","3","5","2","1","6","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","2","3","1","6","7","5","nan","nan"
"8","4","2","3","5","7","1","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","4","3","1","7","6","5","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","1","3","7","4","5","2","nan","nan"
"8","3","1","4","6","7","2","skipped","nan","nan"
"8","7","4","1","5","3","2","6","nan","nan"
"5","3","2","6","4","8","7","1","nan","nan"
"5","4","1","3","8","2","skipped","skipped","nan","nan"
"8","7","4","3","6","1","2","5","nan","nan"
"8","2","3","1","7","5","4","skipped","nan","nan"
"8","7","4","3","5","1","2","6","nan","nan"
