"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","10.0","1.0"
"3","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","9","5","6","3","7","8","2","skipped","nan","nan"
"9","1","3","8","7","4","6","10","5","2","nan","nan"
"3","2","7","1","5","4","8","6","skipped","skipped","nan","nan"
"4","5","10","9","2","1","6","8","7","3","nan","nan"
"1","3","2","7","6","5","4","8","skipped","skipped","nan","nan"
"2","6","10","5","7","3","4","9","1","8","nan","nan"
"8","6","3","4","10","2","5","7","9","1","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","6","7","1","3","5","skipped","skipped","skipped","nan","nan"
"8","1","10","2","6","3","9","5","4","skipped","nan","nan"
"3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","10","1","9","5","7","3","2","4","nan","nan"
"1","3","5","2","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","7","5","3","6","10","4","8","9","nan","nan"
"2","4","1","5","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","8","4","10","6","7","9","5","nan","nan"
"1","4","10","9","2","3","5","8","skipped","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","6","5","2","3","skipped","skipped","skipped","skipped","nan","nan"
"2","1","6","3","5","4","8","9","7","10","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","10","6","4","3","9","7","1","2","nan","nan"
"2","1","5","6","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","7","2","3","6","5","skipped","skipped","skipped","nan","nan"
"7","5","1","6","4","3","2","skipped","skipped","skipped","nan","nan"
"4","3","5","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","7","9","8","5","4","6","10","3","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","2","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","7","6","8","10","4","3","2","9","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","5","10","6","9","3","7","1","2","nan","nan"
"4","1","8","7","6","9","5","10","2","3","nan","nan"
"2","1","6","9","5","3","7","4","10","8","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","6","5","10","3","4","7","skipped","skipped","nan","nan"
"10","2","4","9","3","6","5","7","1","8","nan","nan"
"5","2","4","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","10","6","5","4","7","9","3","1","nan","nan"
"3","1","6","4","2","5","skipped","skipped","skipped","skipped","nan","nan"
"10","1","6","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","3","7","5","4","2","skipped","skipped","skipped","nan","nan"
"1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","7","3","5","8","4","10","6","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","8","3","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","2","5","7","4","3","8","10","6","1","nan","nan"
"4","3","5","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","3","10","4","9","7","8","5","skipped","nan","nan"
"1","6","10","5","2","3","7","9","8","4","nan","nan"
"10","7","9","6","1","4","2","5","3","skipped","nan","nan"
"8","7","3","1","2","4","6","5","skipped","skipped","nan","nan"
"4","1","6","5","2","9","8","7","10","3","nan","nan"
"1","2","6","10","5","4","9","3","skipped","skipped","nan","nan"
"5","3","2","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","8","5","4","2","10","9","7","6","nan","nan"
"1","4","3","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","10","9","2","8","4","3","7","6","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","3","6","2","skipped","skipped","skipped","skipped","nan","nan"
"1","4","6","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","5","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","5","2","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","10","1","3","4","6","7","skipped","skipped","nan","nan"
"1","6","4","3","2","5","skipped","skipped","skipped","skipped","nan","nan"
"3","2","5","8","4","7","6","1","9","10","nan","nan"
