"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","Num Cands","Num Seats"
"9","12","8","6","4","10","11","3","1","5","7","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","19.0","1.0"
"13","11","3","10","5","6","19","9","14","8","18","7","1","12","17","16","4","2","15","nan","nan"
"7","13","1","5","10","3","11","4","8","9","6","12","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","19","6","5","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","10","18","2","6","19","16","13","11","14","3","1","17","15","12","9","8","7","nan","nan"
"9","19","2","10","6","7","1","4","3","8","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","4","3","2","10","6","7","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","6","1","4","8","7","11","3","2","13","12","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","19","2","13","17","3","5","7","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","3","18","19","2","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","6","18","3","9","11","2","4","8","1","7","16","17","5","19","skipped","skipped","skipped","nan","nan"
"18","4","17","12","6","11","2","13","14","3","1","7","8","10","15","5","skipped","skipped","skipped","nan","nan"
"9","19","3","10","1","6","5","8","4","7","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","8","17","3","2","13","12","18","10","16","6","5","15","4","7","14","1","19","nan","nan"
"5","3","2","6","19","1","4","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","7","1","6","3","8","5","4","9","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","9","2","3","7","10","8","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","7","2","15","1","6","13","10","18","11","9","8","4","14","16","17","3","5","19","nan","nan"
"11","12","5","13","9","1","10","6","8","7","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","3","9","16","4","11","7","17","12","2","1","8","13","10","19","5","15","skipped","skipped","nan","nan"
"16","15","3","17","1","4","18","9","19","14","6","2","5","12","8","13","7","skipped","skipped","nan","nan"
"12","14","5","3","8","11","7","13","4","1","15","6","10","9","2","skipped","skipped","skipped","skipped","nan","nan"
"19","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","13","4","14","1","9","18","16","12","5","17","6","3","7","11","10","8","2","19","nan","nan"
"13","18","4","5","2","3","14","9","11","16","17","7","1","10","15","8","12","6","19","nan","nan"
"19","2","5","4","7","3","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","5","2","3","10","7","4","8","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","19","5","2","7","3","9","6","1","12","8","10","4","13","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","14","3","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","7","2","15","19","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","1","16","8","4","6","18","17","12","5","10","19","14","2","3","13","15","skipped","nan","nan"
"6","2","7","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","11","2","10","1","8","12","14","9","4","5","3","7","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","19","7","3","6","5","10","4","1","11","14","8","12","2","13","skipped","skipped","skipped","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","12","1","10","3","6","8","13","2","11","15","9","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","11","9","4","5","6","3","10","2","7","8","12","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","7","1","6","2","4","5","8","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","2","16","14","5","17","10","18","12","6","7","4","11","3","19","13","1","15","nan","nan"
"8","10","3","5","11","7","9","2","6","4","1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","17","8","14","1","4","6","11","16","7","13","2","5","18","10","12","9","3","19","nan","nan"
"1","13","9","12","14","3","17","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","8","19","1","14","5","7","2","4","13","10","9","6","3","skipped","skipped","skipped","skipped","nan","nan"
"8","9","7","10","2","4","3","1","6","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","13","6","16","1","10","7","17","19","2","15","4","5","12","9","18","11","3","skipped","nan","nan"
"3","2","4","5","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","3","10","5","9","2","4","11","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","5","4","7","3","6","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","4","3","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","17","2","12","9","5","14","15","6","10","4","11","13","18","16","3","1","19","skipped","nan","nan"
"19","7","1","8","4","5","3","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","9","10","1","13","7","3","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","6","3","4","1","7","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","4","3","8","1","2","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","3","15","9","6","18","5","1","7","19","8","2","16","13","skipped","skipped","skipped","skipped","nan","nan"
"19","7","6","1","5","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","19","7","4","8","10","9","5","2","6","11","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","2","8","5","3","15","13","7","14","4","1","10","9","6","19","skipped","skipped","skipped","nan","nan"
"19","3","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","5","7","16","9","11","3","14","17","2","4","10","1","15","18","8","12","6","19","nan","nan"
"5","1","6","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","12","3","7","6","10","2","5","8","9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","8","4","6","2","1","10","9","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","15","2","3","5","10","6","9","13","4","7","8","11","14","1","skipped","skipped","skipped","skipped","nan","nan"
"19","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","10","12","7","15","9","18","19","3","1","4","16","2","8","6","17","skipped","skipped","nan","nan"
"8","19","2","6","4","7","1","9","13","12","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","18","6","10","5","2","8","12","11","1","4","7","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","15","2","9","12","3","18","6","10","19","4","1","13","14","7","5","skipped","skipped","skipped","nan","nan"
"13","8","4","11","2","1","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","5","7","6","8","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","7","6","3","2","4","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","5","4","2","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","1","4","2","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","4","1","3","13","14","2","5","9","8","10","7","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","19","5","8","1","6","14","4","2","16","9","13","3","15","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","3","19","1","6","2","9","11","4","7","12","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","10","7","14","5","9","2","11","4","1","15","8","6","12","3","skipped","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","11","5","14","3","7","4","15","13","2","1","16","9","10","12","6","skipped","skipped","skipped","nan","nan"
"10","13","5","4","7","11","3","2","19","6","12","8","9","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","14","5","13","6","4","16","10","12","7","15","9","2","3","19","8","18","1","17","nan","nan"
"13","16","7","14","5","4","17","9","10","15","19","3","2","11","12","6","8","1","18","nan","nan"
"3","6","2","4","7","5","10","8","11","9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","10","2","4","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","17","2","16","5","3","19","14","6","10","18","7","1","13","11","9","4","8","12","nan","nan"
"10","3","1","5","4","18","14","13","9","6","8","7","16","12","11","17","19","2","15","nan","nan"
"1","2","4","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","2","3","1","6","8","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","6","2","15","4","13","19","11","17","16","18","5","3","1","12","10","8","9","7","nan","nan"
"17","18","2","15","19","3","16","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","5","15","14","3","13","16","19","8","6","7","2","18","4","17","1","skipped","skipped","skipped","nan","nan"
"8","4","5","3","12","14","7","10","2","19","9","1","11","6","17","15","18","13","skipped","nan","nan"
"16","7","13","17","8","9","18","14","15","2","3","5","6","4","12","10","11","1","19","nan","nan"
"10","12","3","15","4","7","14","2","19","11","13","5","1","8","9","6","skipped","skipped","skipped","nan","nan"
"7","2","11","4","5","9","10","14","6","1","8","12","13","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","19","3","10","13","7","15","12","18","1","16","8","4","9","17","6","5","2","14","nan","nan"
"19","7","2","5","4","11","8","1","9","10","6","12","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","15","10","6","2","9","8","11","3","1","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","6","14","5","11","19","13","17","8","18","9","1","12","7","2","16","4","15","nan","nan"
"15","7","5","18","6","8","17","14","13","2","16","3","4","19","12","10","9","1","11","nan","nan"
"5","18","19","9","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","3","2","1","10","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","19","2","7","6","9","4","5","3","12","8","10","13","1","11","skipped","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","5","19","1","6","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","5","7","8","4","1","10","9","11","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","8","6","2","4","5","3","7","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","13","15","1","12","6","18","17","4","7","2","9","8","11","14","16","3","19","nan","nan"
"7","11","18","12","1","15","16","8","13","5","9","4","3","14","10","19","6","2","17","nan","nan"
