"rank1","rank2","rank3","Num Cands","Num Seats"
"2","3","skipped","3.0","1.0"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"2","3","1","nan","nan"
"1","3","2","nan","nan"
"2","3","1","nan","nan"
"2","3","1","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"2","3","1","nan","nan"
"2","3","1","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","skipped","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"2","3","1","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
"1","3","2","nan","nan"
