"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"6","4","2","5","1","3","skipped","skipped","skipped","9.0","1.0"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","8","3","9","5","2","4","6","nan","nan"
"8","9","7","4","6","2","3","5","1","nan","nan"
"3","8","7","9","5","2","4","1","skipped","nan","nan"
"7","5","9","1","8","6","2","3","4","nan","nan"
"9","2","1","3","8","4","5","7","6","nan","nan"
"4","5","2","9","1","3","skipped","skipped","skipped","nan","nan"
"6","4","8","1","3","2","7","9","skipped","nan","nan"
"3","2","1","7","9","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","3","1","5","7","4","skipped","skipped","nan","nan"
"1","2","6","9","4","5","8","7","3","nan","nan"
"8","9","7","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","2","4","3","1","skipped","skipped","skipped","nan","nan"
"3","1","2","6","7","4","9","5","skipped","nan","nan"
"6","3","5","7","2","1","9","4","skipped","nan","nan"
"8","5","7","9","4","2","6","1","3","nan","nan"
"7","9","5","6","1","2","8","3","4","nan","nan"
"9","3","6","8","7","1","5","4","2","nan","nan"
"8","5","2","7","9","6","1","3","4","nan","nan"
"6","4","3","9","8","1","7","5","2","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","9","4","1","5","skipped","skipped","skipped","nan","nan"
"9","3","4","5","8","1","7","6","2","nan","nan"
"7","8","6","5","4","1","3","9","2","nan","nan"
"9","2","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","2","4","1","5","9","8","6","nan","nan"
"6","1","2","9","4","7","3","8","5","nan","nan"
"8","3","1","9","7","2","6","4","5","nan","nan"
"9","2","1","5","3","4","skipped","skipped","skipped","nan","nan"
"2","3","7","1","8","4","9","5","6","nan","nan"
"4","5","8","2","3","7","1","9","6","nan","nan"
"3","1","8","2","9","skipped","skipped","skipped","skipped","nan","nan"
"7","1","9","6","4","3","5","8","2","nan","nan"
"5","3","1","4","9","8","6","2","7","nan","nan"
"8","9","7","2","5","3","1","6","4","nan","nan"
"2","9","3","6","4","7","1","5","skipped","nan","nan"
"9","8","2","1","7","skipped","skipped","skipped","skipped","nan","nan"
"6","2","9","4","5","3","1","skipped","skipped","nan","nan"
"7","1","9","3","2","6","4","5","8","nan","nan"
"6","5","4","2","8","9","3","1","skipped","nan","nan"
"8","1","4","2","3","9","5","skipped","skipped","nan","nan"
"6","2","8","9","5","7","1","3","4","nan","nan"
"9","1","3","2","4","skipped","skipped","skipped","skipped","nan","nan"
"7","4","3","6","2","1","5","skipped","skipped","nan","nan"
"5","9","4","2","3","7","1","6","8","nan","nan"
"8","1","3","7","9","2","5","6","4","nan","nan"
"3","9","1","7","2","5","6","8","4","nan","nan"
"9","1","5","4","2","8","3","skipped","skipped","nan","nan"
"4","3","9","8","7","1","2","5","6","nan","nan"
"4","9","6","3","2","7","1","8","5","nan","nan"
"9","1","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","5","8","3","6","4","2","9","nan","nan"
"9","3","1","2","4","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","6","4","7","5","1","9","3","nan","nan"
"8","6","5","4","9","2","3","7","1","nan","nan"
"9","3","8","6","5","1","4","7","2","nan","nan"
"8","5","1","3","6","2","9","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","9","5","8","1","3","6","2","nan","nan"
"6","8","2","3","4","7","5","1","9","nan","nan"
"6","8","5","3","4","1","7","2","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","5","6","9","2","7","1","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","1","3","2","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","5","2","6","4","1","skipped","skipped","nan","nan"
"9","2","3","5","1","4","skipped","skipped","skipped","nan","nan"
"7","1","6","4","5","8","2","3","9","nan","nan"
"4","9","3","8","2","1","7","6","5","nan","nan"
"9","3","4","2","1","5","skipped","skipped","skipped","nan","nan"
"4","3","2","9","5","8","1","6","7","nan","nan"
"9","6","7","5","8","1","4","3","2","nan","nan"
"3","1","8","5","4","6","7","2","9","nan","nan"
