"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"7","6","1","5","2","3","4","8","8.0","1.0"
"5","8","3","2","4","1","6","7","nan","nan"
"6","5","3","7","2","1","4","8","nan","nan"
"2","8","6","4","7","1","3","5","nan","nan"
"3","8","2","5","4","1","6","7","nan","nan"
"6","2","8","3","4","1","5","7","nan","nan"
"8","1","2","3","skipped","skipped","skipped","skipped","nan","nan"
"4","7","5","3","2","1","6","8","nan","nan"
"3","8","1","2","skipped","skipped","skipped","skipped","nan","nan"
"4","6","1","5","2","skipped","skipped","skipped","nan","nan"
"5","2","3","1","4","8","skipped","skipped","nan","nan"
"4","6","2","7","5","1","3","8","nan","nan"
"1","5","7","8","2","6","skipped","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","4","7","1","2","3","skipped","nan","nan"
"8","5","4","1","2","skipped","skipped","skipped","nan","nan"
"6","4","1","8","2","5","3","skipped","nan","nan"
"3","6","4","5","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","4","skipped","skipped","skipped","skipped","nan","nan"
"5","3","1","4","2","6","8","skipped","nan","nan"
"5","8","1","6","7","2","3","4","nan","nan"
"1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","1","2","skipped","skipped","skipped","skipped","nan","nan"
"4","8","2","3","6","1","7","5","nan","nan"
"5","4","2","1","3","6","skipped","skipped","nan","nan"
"8","4","2","5","3","1","skipped","skipped","nan","nan"
"3","2","1","8","skipped","skipped","skipped","skipped","nan","nan"
"5","1","6","3","4","2","8","7","nan","nan"
"6","3","4","8","7","1","5","2","nan","nan"
"3","4","1","6","7","2","8","5","nan","nan"
"8","5","4","1","6","skipped","skipped","skipped","nan","nan"
"5","1","2","3","7","8","skipped","skipped","nan","nan"
"5","4","2","6","7","1","3","8","nan","nan"
"4","1","6","5","2","3","skipped","skipped","nan","nan"
"6","4","3","2","1","8","7","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","4","7","1","6","5","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","8","3","7","5","2","4","nan","nan"
"6","4","8","7","5","2","3","1","nan","nan"
"6","8","1","3","5","2","4","7","nan","nan"
"5","6","3","2","1","4","8","skipped","nan","nan"
"6","4","7","5","8","skipped","skipped","skipped","nan","nan"
"6","1","3","2","4","8","skipped","skipped","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","7","4","3","1","2","8","nan","nan"
