"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","Num Cands","Num Seats"
"10","12","2","6","5","9","11","14","3","1","8","7","4","17","13","skipped","skipped","17.0","1.0"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","12","1","2","5","6","11","9","4","3","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","8","9","6","10","17","3","11","12","13","1","2","5","15","skipped","skipped","nan","nan"
"17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","17","2","4","7","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","4","3","5","17","7","6","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","17","12","3","13","7","2","6","15","11","1","14","4","5","9","16","nan","nan"
"4","17","3","2","6","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","17","2","3","7","5","4","8","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","3","17","13","8","5","9","7","6","12","10","1","15","4","2","16","11","nan","nan"
"17","3","5","2","15","7","9","11","1","6","10","12","8","4","skipped","skipped","skipped","nan","nan"
"4","17","15","9","6","11","14","8","16","1","3","2","12","7","10","13","5","nan","nan"
"10","5","17","13","7","4","3","12","9","11","1","2","8","14","skipped","skipped","skipped","nan","nan"
"4","1","5","2","9","7","8","3","6","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","5","4","10","3","14","17","12","2","9","16","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","17","2","9","5","8","10","6","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","4","2","8","1","10","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","13","8","3","1","7","4","14","10","12","6","11","5","17","16","15","nan","nan"
"17","1","7","4","6","8","5","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","6","2","3","9","13","14","10","5","8","7","12","11","skipped","skipped","skipped","nan","nan"
"7","1","12","8","4","2","10","11","14","6","17","3","13","5","15","skipped","skipped","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","17","4","7","5","3","8","10","2","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","17","2","1","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","7","6","4","5","17","2","9","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","13","8","17","11","3","5","6","10","4","12","9","skipped","skipped","skipped","skipped","nan","nan"
"6","11","13","8","5","9","4","2","10","7","16","1","12","3","17","15","14","nan","nan"
"17","5","7","6","15","4","8","1","2","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","4","7","1","3","2","5","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","6","17","3","2","4","7","5","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","17","2","3","1","4","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","12","15","6","2","4","3","14","17","13","16","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","3","15","11","2","6","9","10","17","16","4","8","5","14","12","13","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
