"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","Num Cands","Num Seats"
"9","7","10","4","6","2","3","11","1","8","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","24.0","1.0"
"3","10","15","12","11","8","7","13","5","1","9","4","14","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","15","18","12","16","7","4","14","5","13","2","8","17","11","10","3","6","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","24","7","2","3","9","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","18","21","5","16","6","7","24","20","13","8","1","12","15","9","4","17","22","23","10","11","2","skipped","skipped","nan","nan"
"1","6","24","7","5","3","4","2","10","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","23","14","7","2","12","6","9","5","13","1","20","15","11","22","16","17","24","21","10","18","19","3","nan","nan"
"10","12","22","19","20","5","8","21","23","14","9","2","6","7","24","15","13","17","18","16","4","11","1","skipped","nan","nan"
"24","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","15","14","6","10","19","9","13","1","22","24","2","8","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","24","5","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","7","6","5","3","8","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","10","15","24","6","4","8","2","3","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","23","20","18","14","16","7","24","9","5","10","4","15","12","17","13","11","19","6","8","2","1","skipped","skipped","nan","nan"
