rank1,rank2,rank3,rank4,rank5,numSeats,numCands
2,1,5,3,4,,
2,1,Skipped,Skipped,Skipped,,
1,1,5,2,2,,
3,1,5,2,4,,
3,2,5,1,4,,
3,1,4,2,5,,
1,2,3,4,5,,
1,5,3,2,4,,
3,2,5,1,5,,
2,1,3,4,5,,
2,1,5,3,4,,
4,2,5,1,3,,
2,1,5,5,5,,
3,2,1,5,5,,
2,1,5,5,5,,
3,1,5,2,4,,
1,2,5,3,4,,
1,2,3,4,5,,
2,1,3,Skipped,Skipped,,
2,1,4,3,Skipped,,
1,2,3,4,5,,
2,1,3,4,5,,
1,2,3,4,5,,
1,2,3,5,4,,
2,1,Skipped,Skipped,Skipped,,
3,1,4,5,5,,
1,2,3,5,4,,
2,1,3,4,4,,
1,2,3,4,5,,
3,2,5,1,5,,
1,2,5,4,3,,
1,2,4,3,5,,
2,1,3,4,5,,
3,1,5,2,4,,
1,2,5,5,5,,
2,1,5,3,4,,
2,1,5,3,4,,
3,2,5,1,4,,
2,1,5,3,4,,
1,2,5,5,5,,
2,1,3,5,4,,
1,2,3,5,4,,
2,1,5,3,4,,
2,1,5,5,5,,
3,1,5,2,4,,
1,2,5,4,3,,
1,2,3,5,5,,
1,2,4,5,3,,
2,1,5,4,3,,
2,1,3,3,3,,
1,2,3,5,5,,
5,1,2,4,3,,
2,3,1,5,4,,
2,1,3,5,4,,
1,2,4,3,5,,
2,3,5,1,4,,
2,1,4,3,5,,
1,1,3,2,3,,
5,1,4,3,2,,
2,1,5,5,5,,
2,1,3,4,5,,
2,1,4,5,3,,
2,1,5,3,4,,
2,1,4,3,5,,
1,2,5,3,4,,
1,1,5,4,5,,
4,3,1,2,5,,
1,2,5,5,5,,
2,1,5,5,5,,
3,1,5,2,4,,
2,1,Skipped,2,Skipped,,
1,2,3,4,5,,
1,2,4,3,5,,
1,4,5,5,5,,
4,2,5,3,1,,
1,2,4,3,5,,
2,1,2,5,5,,
1,2,4,5,5,,
2,2,5,1,Skipped,,
1,2,3,4,5,,
2,1,3,3,3,,
2,1,5,3,4,,
2,1,5,5,5,,
3,2,5,1,4,,
4,2,5,1,3,,
1,2,4,5,3,,
2,1,3,3,3,,
2,1,4,3,4,,
2,1,5,5,5,,
5,1,5,5,5,,
5,1,2,4,3,,
2,1,3,4,5,,
1,2,5,5,5,,
1,2,3,3,3,,
1,2,3,5,4,,
3,2,5,1,5,,
2,1,3,4,5,,
1,2,4,5,3,,
2,1,5,5,5,,
1,3,4,2,5,,
1,2,4,5,4,,
2,1,3,5,4,,
2,1,3,4,5,,
2,1,4,3,5,,
2,1,5,5,5,,
1,2,4,5,3,,
1,2,3,5,5,,
2,1,5,3,5,,
1,5,3,2,4,,
1,2,3,5,4,,
5,1,3,4,2,,
2,1,4,3,5,,
5,1,4,2,3,,
1,2,3,5,4,,
5,1,4,2,3,,
1,2,3,4,5,,
2,1,5,3,4,,
1,2,3,5,4,,
2,1,4,3,5,,
1,2,3,4,Skipped,,
2,1,5,3,4,,
1,2,3,5,4,,
2,1,4,3,4,,
2,5,1,5,5,,
2,1,4,3,5,,
2,1,5,5,5,,
2,1,4,3,5,,
2,1,4,3,5,,
4,3,5,2,1,,
2,1,5,5,5,,
1,2,3,5,5,,
1,2,3,4,5,,
5,1,3,2,4,,
2,1,5,5,5,,
3,1,5,2,4,,
1,2,5,4,4,,
2,1,5,5,5,,
2,2,2,5,4,,
2,1,4,3,5,,
5,1,5,5,5,,
2,1,5,3,4,,
1,2,3,5,4,,
1,2,3,4,5,,
2,1,3,3,3,,
1,2,3,4,5,,
1,Skipped,Skipped,Skipped,Skipped,,
1,3,2,5,4,,
2,1,3,5,5,,
1,3,2,4,Skipped,,
1,3,2,5,4,,
2,1,5,3,5,,
2,1,5,3,4,,
1,2,5,5,5,,
2,1,4,3,5,,
5,1,2,4,3,,
1,2,3,5,4,,
1,2,3,4,5,,
3,2,5,1,4,,
4,2,3,1,5,,
1,5,5,5,5,,
2,1,5,5,5,,
2,1,5,3,4,,
1,2,3,5,4,,
4,2,5,1,3,,
2,1,4,3,5,,
2,1,Skipped,Skipped,Skipped,,
2,5,1,4,3,,
1,2,3,5,4,,
2,1,4,5,3,,
4,1,5,2,3,,
2,1,5,5,5,,
1,2,3,3,3,,
1,2,3,4,5,,
2,1,4,3,5,,
2,1,3,5,4,,
1,2,3,5,5,,
1,2,4,4,5,,
1,2,5,3,4,,
1,2,5,4,3,,
1,2,3,4,5,,
2,1,5,4,3,,
5,1,4,2,3,,
1,2,5,5,5,,
2,1,Skipped,Skipped,3,,
2,1,4,3,5,,
1,2,4,3,5,,
2,1,3,4,5,,
3,2,5,1,4,,
2,1,5,5,5,,
2,1,4,3,5,,
1,4,5,5,5,,
5,1,4,2,3,,
1,4,2,5,3,,
1,2,5,3,4,,
2,1,3,5,4,,
3,2,5,1,4,,
3,1,4,2,5,,
1,2,3,5,4,,
1,2,5,5,5,,
2,1,3,5,4,,
2,1,3,5,4,,
1,2,3,5,4,,
2,1,3,4,5,,
3,2,5,1,4,,
2,1,5,5,5,,
1,2,5,5,5,,
5,1,2,3,4,,
1,2,5,3,4,,
1,2,3,Skipped,Skipped,,
2,1,5,3,4,,
2,1,4,3,5,,
1,2,4,3,Skipped,,
3,1,5,2,4,,
2,1,5,5,5,,
2,1,5,3,4,,
1,2,3,5,4,,
1,2,3,5,4,,
1,2,5,5,5,,
3,1,5,5,5,,
1,2,4,3,5,,
4,5,2,2,3,,
5,1,3,2,4,,
5,1,2,3,4,,
1,2,5,5,5,,
2,1,3,4,5,,
2,1,5,3,5,,
1,4,5,2,3,,
1,1,Skipped,Skipped,Skipped,,
1,2,3,4,5,,
1,2,5,3,4,,
2,1,4,2,5,,
1,2,3,5,4,,
4,1,3,2,5,,
2,1,5,5,5,,
1,2,Skipped,Skipped,Skipped,,
1,4,5,5,5,,
5,1,2,3,4,,
2,1,4,5,3,,
1,2,3,4,5,,
2,1,5,3,3,,
1,4,5,5,5,,
2,1,5,5,5,,
1,2,3,4,5,,
1,2,4,3,5,,
2,1,5,3,4,,
1,2,4,5,3,,
2,1,3,5,4,,
1,2,3,5,4,,
1,2,3,4,5,,
3,1,5,2,5,,
2,1,5,5,5,,
5,1,3,4,2,,
1,2,3,5,4,,
1,2,4,3,5,,
1,2,4,3,5,,
2,1,4,3,Skipped,,
1,2,3,5,4,,
1,2,5,5,5,,
1,2,4,5,3,,
1,2,3,4,5,,
1,2,3,4,5,,
3,2,5,1,4,,
3,2,5,1,4,,
1,2,3,5,4,,
2,1,3,5,4,,
1,2,3,5,4,,
1,2,5,5,5,,
1,3,2,5,4,,
1,3,4,5,5,,
2,3,1,5,4,,
2,1,5,3,4,,
1,2,5,4,3,,
1,5,3,4,2,,
2,1,3,4,5,,
1,2,5,3,4,,
1,2,4,5,3,,
1,2,5,5,5,,
3,1,4,2,5,,
1,2,3,5,4,,
1,2,3,4,5,,
2,1,5,3,4,,
1,2,3,4,5,,
1,2,3,5,4,,
1,1,5,3,4,,
3,1,5,1,4,,
3,1,4,2,5,,
5,1,2,4,3,,
1,5,3,4,2,,
1,2,3,5,5,,
2,3,5,1,4,,
5,1,2,3,4,,
2,1,4,3,5,,
1,2,3,5,4,,
1,2,3,5,4,,
2,1,5,3,4,,
3,1,3,2,5,,
1,5,5,5,5,,
3,1,4,4,5,,
5,4,1,2,3,,
5,1,3,4,2,,
2,1,5,4,3,,
1,2,4,5,3,,
1,2,3,5,4,,
3,1,5,4,2,,
2,4,1,3,5,,
1,1,5,3,4,,
1,2,3,4,5,,
1,2,5,5,5,,
5,1,4,2,3,,
2,1,4,3,5,,
4,2,5,1,3,,
1,3,2,5,4,,
3,1,5,2,5,,
2,1,3,4,3,,
1,2,3,4,5,,
2,1,4,3,5,,
1,2,3,4,5,,
2,1,5,3,5,,
1,2,5,5,3,,
1,2,4,3,5,,
2,1,4,3,5,,
2,1,5,3,4,,
1,2,3,5,4,,
3,1,5,2,4,,
1,2,3,5,4,,
1,2,4,3,5,,
1,2,5,5,5,,
1,2,3,Skipped,Skipped,,
2,1,5,5,5,,
1,4,5,5,5,,
2,1,4,3,5,,
2,1,5,5,5,,
4,5,1,2,3,,
2,1,3,4,5,,
2,1,3,4,5,,
2,1,3,4,5,,
3,1,5,4,5,,
2,1,Skipped,Skipped,Skipped,,
1,2,3,5,4,,
3,2,5,3,1,,
1,2,1,5,5,,
2,1,5,3,4,,
1,2,5,3,4,,
1,2,3,4,5,,
2,1,5,5,5,,
1,2,3,5,4,,
1,2,5,5,5,,
1,3,5,5,5,,
2,1,5,5,5,,
