"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"13","1","4","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","13.0","1.0"
"13","5","6","2","1","7","8","3","4","skipped","skipped","skipped","skipped","nan","nan"
"11","9","6","1","2","3","5","7","13","4","8","12","10","nan","nan"
"13","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","2","5","1","3","7","6","4","10","skipped","skipped","skipped","nan","nan"
"2","13","4","7","3","1","8","6","5","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","2","10","7","5","6","8","11","13","9","12","nan","nan"
"8","7","4","13","1","2","5","3","6","9","skipped","skipped","skipped","nan","nan"
"13","1","8","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","4","8","3","11","1","2","12","7","6","5","13","nan","nan"
"13","2","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","6","4","5","7","3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","10","1","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","4","10","2","6","1","7","11","5","9","8","13","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","13","5","2","3","1","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","5","10","8","11","1","9","4","7","6","2","13","nan","nan"
"8","10","9","6","1","7","3","4","12","5","2","11","13","nan","nan"
"3","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","7","5","4","3","11","2","1","9","10","13","skipped","nan","nan"
"13","3","7","2","6","5","8","1","4","skipped","skipped","skipped","skipped","nan","nan"
"13","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","13","2","5","3","6","1","4","7","skipped","skipped","skipped","skipped","nan","nan"
"13","4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","12","13","6","9","11","1","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","12","9","6","7","2","4","5","1","3","11","13","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","11","12","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","10","5","8","6","3","2","7","4","1","9","11","skipped","nan","nan"
"9","8","1","6","2","5","3","4","7","10","skipped","skipped","skipped","nan","nan"
"10","8","11","12","7","13","1","6","5","4","3","2","9","nan","nan"
"13","4","6","3","5","7","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","2","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","4","9","7","5","3","1","6","13","skipped","skipped","skipped","nan","nan"
"4","2","3","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","4","6","3","8","1","13","7","2","9","skipped","skipped","nan","nan"
"13","8","7","1","6","5","4","3","2","skipped","skipped","skipped","skipped","nan","nan"
"8","6","9","7","2","3","1","4","5","10","skipped","skipped","skipped","nan","nan"
"6","2","3","13","8","10","11","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","8","11","10","6","7","4","5","3","2","12","13","nan","nan"
"7","8","6","3","5","12","9","2","1","11","10","4","13","nan","nan"
"11","7","9","3","4","12","8","2","6","5","1","10","13","nan","nan"
"8","4","6","13","1","5","2","3","7","skipped","skipped","skipped","skipped","nan","nan"
"13","8","3","2","7","5","1","4","6","skipped","skipped","skipped","skipped","nan","nan"
"10","9","5","8","2","7","6","1","4","12","11","3","13","nan","nan"
"13","4","3","1","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","6","8","7","3","5","1","4","2","skipped","skipped","skipped","skipped","nan","nan"
"7","11","9","5","2","4","3","13","12","6","1","10","8","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","11","10","3","12","1","2","4","5","6","7","13","nan","nan"
"7","5","6","8","3","9","2","10","11","4","1","12","13","nan","nan"
"13","2","12","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","4","12","7","5","10","8","6","9","1","13","skipped","nan","nan"
