"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","Num Cands","Num Seats"
"7","1","3","17","6","9","14","2","16","8","13","12","10","4","11","15","5","17.0","1.0"
"9","1","3","17","4","8","14","2","15","6","11","13","10","5","12","16","7","nan","nan"
"9","1","5","14","4","6","15","2","17","7","10","16","11","3","12","13","8","nan","nan"
"7","1","4","17","5","10","14","3","16","6","9","13","11","2","12","15","8","nan","nan"
"11","1","4","17","5","8","14","2","15","7","9","13","10","3","12","16","6","nan","nan"
"9","1","4","17","5","8","14","2","16","7","10","13","12","3","11","15","6","nan","nan"
"8","1","3","17","6","5","14","2","16","7","11","13","12","4","10","15","9","nan","nan"
"7","1","4","17","5","9","14","2","15","6","11","10","13","3","12","16","8","nan","nan"
"7","1","4","17","5","6","14","2","16","9","10","13","12","3","11","15","8","nan","nan"
"6","1","4","16","5","8","13","2","14","9","10","12","11","3","17","15","7","nan","nan"
"8","1","4","17","6","5","14","2","16","7","12","13","10","3","11","15","9","nan","nan"
"14","17","13","4","9","2","11","15","12","7","6","3","1","16","10","8","5","nan","nan"
"9","1","3","17","5","7","14","2","15","6","10","13","12","4","11","16","8","nan","nan"
"8","1","4","17","5","6","14","3","16","7","11","13","12","2","10","15","9","nan","nan"
"7","1","2","17","5","6","14","4","16","9","11","13","12","3","10","15","8","nan","nan"
"7","1","4","17","5","9","14","2","15","6","11","13","12","3","10","16","8","nan","nan"
"9","1","5","17","4","7","14","3","16","8","13","10","11","2","12","15","6","nan","nan"
"7","1","4","17","5","6","14","2","15","9","10","13","12","3","11","16","8","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","4","17","5","9","14","2","16","8","7","13","12","3","11","10","skipped","nan","nan"
"9","1","4","17","5","8","14","2","16","7","11","13","12","3","10","15","6","nan","nan"
"9","1","4","17","5","8","14","2","15","6","10","13","12","3","11","16","7","nan","nan"
"6","1","4","17","5","8","14","2","16","9","11","12","13","3","10","15","7","nan","nan"
"7","1","3","17","5","6","14","2","16","8","11","13","10","4","12","15","9","nan","nan"
"6","1","4","17","5","7","14","2","16","9","10","13","11","3","12","15","8","nan","nan"
"7","1","3","16","5","6","15","2","17","8","10","13","12","4","14","11","9","nan","nan"
"9","1","4","17","5","6","14","3","16","8","12","13","11","2","10","15","7","nan","nan"
"6","1","4","17","5","7","14","2","16","9","10","13","12","3","11","15","8","nan","nan"
"8","1","4","17","5","6","14","2","15","9","10","13","11","3","12","16","7","nan","nan"
"6","1","4","17","5","7","14","2","16","9","11","13","10","3","12","15","8","nan","nan"
"6","1","4","17","5","10","14","2","16","8","12","13","9","3","11","15","7","nan","nan"
"5","1","4","16","7","6","14","2","17","8","11","13","10","3","12","15","9","nan","nan"
"6","1","2","17","5","7","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","17","3","8","13","5","16","6","11","14","12","4","10","15","7","nan","nan"
"3","17","1","2","6","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","3","16","5","9","13","17","8","10","14","11","4","12","15","7","skipped","nan","nan"
"12","2","3","15","4","7","14","5","16","8","11","13","9","1","10","17","6","nan","nan"
"9","1","4","17","5","6","14","2","16","7","11","12","13","3","10","15","8","nan","nan"
"8","4","2","17","5","7","14","1","15","12","9","11","10","3","13","16","6","nan","nan"
"8","1","2","16","5","6","13","3","17","9","12","11","4","10","7","skipped","skipped","nan","nan"
"9","1","4","17","5","7","14","3","15","6","10","13","11","2","12","16","8","nan","nan"
"10","1","4","17","5","8","13","2","16","7","9","12","15","3","11","14","6","nan","nan"
"8","2","3","17","5","7","14","4","15","11","9","13","10","1","12","16","6","nan","nan"
"7","1","3","17","5","9","14","2","16","6","10","13","12","4","11","15","8","nan","nan"
"11","2","6","12","1","3","7","4","5","14","13","16","15","17","10","8","9","nan","nan"
"7","1","4","17","5","8","14","2","16","6","10","13","12","3","11","15","9","nan","nan"
"7","2","4","17","5","6","14","3","16","8","10","13","12","1","11","15","9","nan","nan"
"9","1","4","17","5","8","14","2","16","6","10","13","11","3","12","15","7","nan","nan"
"7","1","4","17","5","6","14","3","16","8","11","13","12","2","10","15","9","nan","nan"
"7","1","4","17","5","8","14","3","16","9","10","13","12","2","11","15","6","nan","nan"
"11","1","4","17","5","6","16","2","14","7","9","13","12","3","10","15","8","nan","nan"
"10","1","4","17","5","6","14","3","15","7","11","13","12","2","9","16","8","nan","nan"
"9","1","5","17","8","6","11","3","14","7","12","15","10","2","13","16","4","nan","nan"
"9","1","4","17","5","7","13","2","16","6","10","12","11","3","14","15","8","nan","nan"
"7","1","3","17","5","4","9","10","2","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","4","17","5","6","14","2","15","8","11","13","10","1","12","16","9","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","17","4","7","13","2","15","9","10","14","11","5","12","16","6","nan","nan"
"7","1","4","17","5","8","14","2","15","6","10","13","12","3","11","16","9","nan","nan"
"7","1","4","17","5","8","13","3","15","11","9","14","10","2","16","12","6","nan","nan"
"3","2","1","17","5","6","14","7","15","8","10","13","11","4","12","16","9","nan","nan"
"6","1","3","17","5","9","14","2","15","8","10","13","12","4","11","16","7","nan","nan"
"6","1","2","17","5","7","14","4","15","10","9","13","11","3","12","16","8","nan","nan"
"6","1","3","17","5","7","14","2","16","8","10","13","12","4","11","15","9","nan","nan"
"5","1","9","17","3","8","10","4","7","6","13","2","12","11","skipped","skipped","skipped","nan","nan"
"8","1","4","16","5","9","14","3","17","6","10","13","12","2","7","15","11","nan","nan"
"8","2","4","17","5","9","14","3","16","6","10","13","11","1","12","15","7","nan","nan"
"6","1","3","17","4","7","14","2","15","8","11","13","12","5","10","16","9","nan","nan"
"8","1","3","17","4","14","13","2","16","7","6","11","12","5","9","15","10","nan","nan"
"8","1","4","16","5","7","12","2","15","9","11","10","17","3","13","14","6","nan","nan"
"6","2","5","17","4","9","15","3","14","8","12","16","10","1","7","13","11","nan","nan"
"10","1","4","16","3","8","15","2","14","7","12","13","11","6","9","17","5","nan","nan"
"11","1","4","17","5","7","2","10","9","3","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","4","17","5","7","14","3","16","9","10","13","11","2","12","15","8","nan","nan"
"8","1","6","17","4","5","16","3","14","9","12","13","10","2","11","15","7","nan","nan"
"7","1","4","17","5","8","14","3","16","6","10","13","11","2","12","15","9","nan","nan"
"12","1","2","17","5","6","15","3","16","8","10","13","11","4","9","14","7","nan","nan"
"8","1","2","17","5","9","14","3","15","6","12","13","11","4","10","16","7","nan","nan"
"9","1","2","17","4","3","16","6","14","13","7","5","10","15","12","11","8","nan","nan"
"9","1","5","17","6","8","14","2","16","7","10","12","11","3","13","15","4","nan","nan"
"7","1","4","17","5","6","14","3","16","8","10","13","11","2","12","15","9","nan","nan"
"7","1","4","17","6","5","16","2","15","9","12","13","8","3","10","14","11","nan","nan"
"6","1","4","17","5","8","14","2","15","7","10","12","13","3","11","16","9","nan","nan"
"8","2","4","17","5","6","12","3","15","13","9","11","10","1","14","16","7","nan","nan"
"6","1","4","17","5","7","14","2","16","8","10","13","12","3","11","15","9","nan","nan"
"10","2","3","17","5","7","14","4","16","9","8","13","11","1","12","15","6","nan","nan"
"9","1","4","17","5","7","14","2","16","6","10","12","13","3","11","15","8","nan","nan"
"7","1","2","17","5","8","14","3","16","6","10","11","12","4","13","15","9","nan","nan"
"17","1","4","5","7","2","6","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
