"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"8","6","2","4","7","3","1","skipped","skipped","9.0","1.0"
"3","9","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","6","9","3","4","2","8","5","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","4","1","2","5","3","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","2","6","1","9","8","4","7","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","5","9","2","1","4","6","7","nan","nan"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","4","9","3","2","5","6","8","nan","nan"
"9","4","2","1","3","skipped","skipped","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","4","1","2","9","7","3","5","nan","nan"
"5","7","2","3","8","9","6","1","4","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","8","2","9","6","skipped","skipped","skipped","nan","nan"
"9","6","4","7","1","2","5","3","8","nan","nan"
"7","4","3","9","2","5","6","1","8","nan","nan"
"6","9","2","5","4","8","3","1","7","nan","nan"
