rank1,rank2,rank3,numSeats,numCands
0,999,999,Unknown,3.0
0,999,999,Unknown,
999,200,0,Unknown,
2,3,2,Unknown,
800,900,999,Unknown,
80,1,90,Unknown,
100,50,0,Unknown,
500,999,999,Unknown,
0,500,500,Unknown,
80,99,99,Unknown,
400,500,900,Unknown,
99,0,99,Unknown,
1,2,1,Unknown,
900,999,300,Unknown,
999,999,1,Unknown,
999,999,999,Unknown,
99,999,999,Unknown,
5,7,8,Unknown,
0,999,999,Unknown,
8,8,10,Unknown,
1,0,1,Unknown,
20,20,15,Unknown,
350,456,350,Unknown,
3,10,7,Unknown,
0,600,400,Unknown,
50,0,0,Unknown,
1,1,0,Unknown,
999,250,500,Unknown,
99,99,0,Unknown,
501,999,500,Unknown,
200,100,300,Unknown,
50,20,30,Unknown,
