"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"9","1","6","3","4","2","10","11","12","7","5","8","12.0","1.0"
"12","4","1","2","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","2","5","4","11","8","12","3","10","9","6","nan","nan"
"9","12","4","1","3","2","7","11","5","10","6","8","nan","nan"
"3","6","2","9","1","7","4","5","8","10","11","skipped","nan","nan"
"10","6","12","2","8","1","7","4","9","3","5","skipped","nan","nan"
"9","1","2","6","11","8","10","12","skipped","skipped","skipped","skipped","nan","nan"
"1","3","12","4","7","5","6","2","10","9","11","8","nan","nan"
"9","7","3","4","1","5","11","10","2","8","12","6","nan","nan"
"7","3","1","2","12","4","5","6","skipped","skipped","skipped","skipped","nan","nan"
"9","6","7","2","10","1","5","4","3","8","11","12","nan","nan"
"10","3","6","2","5","8","7","1","9","4","12","11","nan","nan"
"5","4","10","1","8","2","7","11","12","9","6","3","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","7","1","3","2","12","9","5","4","8","11","nan","nan"
"12","3","5","2","4","1","10","9","6","11","8","7","nan","nan"
"11","8","9","4","6","2","5","12","3","10","1","7","nan","nan"
"8","9","6","4","1","2","3","10","5","11","12","7","nan","nan"
"8","7","1","3","6","2","4","12","10","9","5","11","nan","nan"
"11","8","4","1","9","2","12","7","5","6","3","10","nan","nan"
"12","4","2","3","5","1","7","8","6","9","skipped","skipped","nan","nan"
"11","12","8","3","6","2","7","4","5","10","9","1","nan","nan"
"11","4","6","2","3","1","8","9","7","12","10","5","nan","nan"
"12","2","5","1","10","8","6","11","9","7","skipped","skipped","nan","nan"
"11","3","4","1","10","2","12","8","6","5","9","7","nan","nan"
"8","3","6","2","5","1","12","9","4","7","skipped","skipped","nan","nan"
"10","3","8","1","4","2","9","12","7","11","6","5","nan","nan"
"11","5","6","2","4","3","7","8","1","9","12","10","nan","nan"
"10","3","11","2","4","1","12","7","8","6","5","9","nan","nan"
