"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"4","2","1","13","3","5","12","11","skipped","skipped","skipped","skipped","skipped","13.0","1.0"
"2","6","4","7","1","13","5","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","7","13","10","3","5","1","9","2","skipped","skipped","skipped","nan","nan"
"1","2","13","5","4","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","12","10","5","6","13","4","9","skipped","skipped","skipped","skipped","nan","nan"
"7","3","2","6","10","11","4","5","1","13","8","12","9","nan","nan"
"6","5","2","8","7","3","1","13","4","skipped","skipped","skipped","skipped","nan","nan"
"10","5","4","7","9","12","8","1","2","13","11","6","3","nan","nan"
"6","7","1","9","4","10","3","5","2","13","11","12","8","nan","nan"
"12","1","13","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","1","9","12","5","4","7","3","11","8","10","13","nan","nan"
"2","7","4","6","5","13","8","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","1","7","12","3","13","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","13","7","12","11","10","1","8","9","skipped","skipped","skipped","skipped","nan","nan"
"6","3","1","4","2","13","12","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","5","6","13","4","2","11","7","12","8","10","nan","nan"
"11","2","8","9","10","5","1","13","12","4","7","6","skipped","nan","nan"
"10","8","1","9","5","4","2","7","6","11","12","13","3","nan","nan"
"4","13","7","6","1","3","11","2","5","skipped","skipped","skipped","skipped","nan","nan"
"3","4","1","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","13","1","2","8","5","12","7","9","skipped","skipped","skipped","skipped","nan","nan"
"4","12","3","10","8","9","7","6","1","13","5","11","2","nan","nan"
"4","7","5","9","10","6","13","2","1","12","8","11","3","nan","nan"
"3","6","2","5","11","9","8","7","13","10","4","1","skipped","nan","nan"
"4","2","1","3","13","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","9","12","11","2","1","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","1","6","4","11","9","2","10","13","8","7","skipped","nan","nan"
"4","9","2","6","12","10","3","1","5","13","8","11","skipped","nan","nan"
"3","9","2","4","5","8","1","11","13","skipped","skipped","skipped","skipped","nan","nan"
"13","6","3","8","4","1","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","5","4","7","1","12","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","5","3","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","6","10","12","11","1","2","3","13","8","9","5","nan","nan"
"2","4","3","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","5","9","6","11","2","1","4","13","10","8","skipped","nan","nan"
"5","11","3","10","7","6","8","1","13","4","9","2","skipped","nan","nan"
"3","10","1","6","9","13","4","2","7","8","5","skipped","skipped","nan","nan"
"1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","3","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","12","10","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","2","6","7","1","13","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","1","7","9","13","12","4","2","11","10","6","3","nan","nan"
"9","5","3","10","6","4","13","1","7","11","2","8","skipped","nan","nan"
"3","10","4","7","1","8","5","2","11","13","6","12","9","nan","nan"
"3","12","1","11","9","10","6","2","7","13","4","8","5","nan","nan"
"4","6","5","13","10","12","1","3","11","skipped","skipped","skipped","skipped","nan","nan"
"4","13","5","7","2","8","3","1","6","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","6","13","4","1","7","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","11","6","2","7","8","1","10","13","3","9","5","nan","nan"
"13","7","6","10","8","5","1","3","2","12","4","9","skipped","nan","nan"
"2","4","1","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","2","9","11","4","10","3","13","12","skipped","skipped","skipped","nan","nan"
"3","8","11","10","6","12","9","2","5","13","7","1","4","nan","nan"
"3","4","2","12","8","5","1","7","6","13","10","9","11","nan","nan"
"11","6","7","8","13","1","5","3","9","12","10","skipped","skipped","nan","nan"
"5","8","1","7","2","3","4","13","6","skipped","skipped","skipped","skipped","nan","nan"
"1","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","4","6","10","11","9","3","1","13","7","8","2","nan","nan"
"13","2","4","3","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","4","3","2","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","7","6","13","8","5","3","2","11","12","9","skipped","nan","nan"
"3","4","6","2","1","13","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","1","3","13","7","4","2","6","12","9","8","11","nan","nan"
"4","6","5","10","7","11","8","1","2","13","9","12","3","nan","nan"
"5","13","2","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","4","8","11","3","5","13","6","1","skipped","skipped","skipped","nan","nan"
"4","8","5","9","2","10","11","1","3","13","7","12","6","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","8","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","13","9","10","6","4","2","8","7","3","skipped","skipped","skipped","nan","nan"
"1","11","10","12","5","4","3","6","13","8","skipped","skipped","skipped","nan","nan"
"11","2","4","10","5","3","6","8","7","13","1","9","12","nan","nan"
"2","11","3","12","10","7","6","1","4","13","9","5","8","nan","nan"
"12","10","2","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","2","8","5","3","1","13","7","skipped","skipped","skipped","skipped","nan","nan"
"10","7","4","8","11","6","12","1","5","13","9","2","3","nan","nan"
"2","8","1","7","12","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","2","4","11","3","1","13","5","skipped","skipped","skipped","skipped","nan","nan"
"6","10","1","4","5","8","2","7","3","13","9","12","11","nan","nan"
"10","5","9","1","13","6","7","8","3","4","2","skipped","skipped","nan","nan"
"2","8","5","10","9","4","12","1","3","13","7","11","6","nan","nan"
"3","9","5","12","8","10","7","1","6","13","11","2","4","nan","nan"
"3","13","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","13","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","1","10","11","9","2","6","3","13","12","4","5","nan","nan"
"2","3","1","4","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","6","9","10","2","7","4","5","13","12","1","11","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","8","10","13","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","12","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","3","6","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","6","5","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","2","11","5","3","1","7","8","13","6","9","10","nan","nan"
"1","5","4","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","7","4","1","3","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","2","1","11","5","6","4","13","skipped","skipped","skipped","skipped","nan","nan"
"8","5","4","9","7","6","11","2","1","12","13","10","3","nan","nan"
"13","2","3","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","5","1","2","13","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","5","4","8","11","1","6","13","12","10","2","skipped","nan","nan"
"3","13","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","5","4","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","1","8","13","4","7","6","3","12","10","9","11","nan","nan"
