"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"7","2","3","9","4","10","1","8","5","6","10.0","1.0"
"8","1","3","5","6","7","2","9","4","10","nan","nan"
"10","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","6","5","3","7","2","10","4","9","nan","nan"
"7","3","1","6","4","8","2","9","5","10","nan","nan"
"9","3","2","7","4","6","1","10","5","8","nan","nan"
"9","3","2","7","4","6","1","10","5","8","nan","nan"
"5","1","7","6","8","2","4","10","3","9","nan","nan"
"8","4","3","6","2","10","1","9","5","7","nan","nan"
"6","1","3","10","5","4","7","skipped","skipped","skipped","nan","nan"
"9","2","4","6","3","7","1","8","5","10","nan","nan"
"10","2","3","9","6","1","8","5","7","skipped","nan","nan"
"10","2","3","5","4","1","skipped","skipped","skipped","skipped","nan","nan"
"7","2","3","5","8","6","1","10","4","9","nan","nan"
"8","3","4","6","2","7","1","9","5","10","nan","nan"
"4","1","3","6","9","8","2","5","7","10","nan","nan"
"6","2","3","5","7","10","1","4","skipped","skipped","nan","nan"
"5","2","4","8","3","9","1","6","7","10","nan","nan"
"6","2","8","3","10","5","1","7","4","9","nan","nan"
"6","1","3","7","8","4","2","9","5","10","nan","nan"
"8","2","3","6","4","7","1","9","5","10","nan","nan"
"6","1","3","7","8","5","2","9","4","10","nan","nan"
"5","6","1","3","4","10","2","skipped","skipped","skipped","nan","nan"
"6","1","4","7","3","10","2","9","5","8","nan","nan"
"5","1","8","4","7","3","6","9","2","10","nan","nan"
"7","4","3","2","5","6","1","8","9","10","nan","nan"
"7","1","4","8","3","9","2","6","5","10","nan","nan"
"5","1","3","7","8","6","2","9","4","10","nan","nan"
"8","4","3","6","2","7","1","9","5","10","nan","nan"
"8","5","2","6","3","7","1","10","4","9","nan","nan"
"7","1","5","4","8","6","2","9","3","10","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","3","6","2","8","1","9","5","10","nan","nan"
"7","1","5","8","6","3","2","10","4","9","nan","nan"
"9","3","4","6","2","10","1","8","5","7","nan","nan"
"8","1","3","5","4","7","2","10","6","9","nan","nan"
"10","3","4","6","2","7","1","8","5","9","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","5","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","3","5","4","1","skipped","skipped","skipped","skipped","nan","nan"
"5","1","3","8","4","7","2","6","9","10","nan","nan"
"6","1","5","10","2","4","9","skipped","skipped","skipped","nan","nan"
"4","2","5","6","7","9","1","8","3","10","nan","nan"
"6","4","3","7","5","9","1","8","2","10","nan","nan"
"8","1","6","4","2","10","3","skipped","skipped","skipped","nan","nan"
"7","2","3","8","4","9","1","10","5","6","nan","nan"
"10","7","3","6","1","4","skipped","skipped","skipped","skipped","nan","nan"
"5","2","4","8","3","6","1","10","7","9","nan","nan"
"7","2","3","6","5","8","1","10","4","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","2","5","4","1","skipped","skipped","skipped","skipped","nan","nan"
"9","3","2","6","4","7","1","10","5","8","nan","nan"
"5","1","7","6","3","10","2","8","4","9","nan","nan"
"8","1","3","7","4","5","2","9","6","10","nan","nan"
"7","1","3","10","4","5","2","8","6","9","nan","nan"
"7","2","3","6","4","8","1","10","5","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","6","2","3","7","1","8","4","10","skipped","nan","nan"
"8","2","4","7","3","5","1","10","6","9","nan","nan"
"8","2","3","5","4","7","1","9","6","10","nan","nan"
"8","2","4","7","3","6","1","10","5","9","nan","nan"
"10","1","3","8","4","9","2","5","6","7","nan","nan"
"3","7","1","6","9","5","8","skipped","skipped","skipped","nan","nan"
"7","1","3","5","8","6","2","10","4","9","nan","nan"
"6","1","5","7","4","2","10","skipped","skipped","skipped","nan","nan"
"6","1","3","8","4","7","2","10","5","9","nan","nan"
"7","2","3","6","4","10","1","5","skipped","skipped","nan","nan"
"7","2","4","5","3","8","1","10","6","9","nan","nan"
"5","2","3","8","4","9","1","10","7","6","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","7","1","8","2","10","6","9","nan","nan"
"10","1","3","4","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","2","6","4","8","1","9","5","10","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","2","7","3","1","10","5","9","skipped","nan","nan"
"8","4","2","3","5","9","1","10","6","7","nan","nan"
"7","3","4","5","2","8","1","6","10","9","nan","nan"
"6","3","2","8","4","5","1","9","7","10","nan","nan"
"5","1","3","8","9","4","2","10","6","7","nan","nan"
"10","1","9","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","10","6","3","8","2","9","5","skipped","nan","nan"
"6","2","3","8","4","5","1","9","7","10","nan","nan"
"8","2","3","6","4","7","1","9","5","10","nan","nan"
"7","2","3","6","4","10","1","9","5","8","nan","nan"
"9","2","4","6","3","7","1","10","5","8","nan","nan"
"7","4","3","6","2","10","1","8","5","9","nan","nan"
"10","2","5","6","9","1","7","8","skipped","skipped","nan","nan"
"9","2","3","4","10","1","8","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","10","2","5","3","4","skipped","skipped","skipped","nan","nan"
"7","2","3","6","4","8","1","10","5","9","nan","nan"
"7","1","4","5","9","3","2","10","6","8","nan","nan"
"10","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","4","6","3","7","2","9","5","10","nan","nan"
"8","2","3","7","4","5","1","9","6","10","nan","nan"
"8","1","3","6","7","4","2","10","5","9","nan","nan"
"8","3","4","5","6","1","9","2","10","skipped","nan","nan"
"7","1","3","5","4","8","2","10","6","9","nan","nan"
"3","1","2","4","9","10","skipped","skipped","skipped","skipped","nan","nan"
"6","1","5","3","8","4","2","9","10","skipped","nan","nan"
"10","6","3","5","4","2","1","9","7","8","nan","nan"
"7","1","3","6","4","8","2","10","5","9","nan","nan"
"8","2","4","6","3","7","1","10","9","skipped","nan","nan"
"4","2","3","6","5","8","1","10","9","skipped","nan","nan"
"8","2","4","5","6","7","1","9","3","10","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","6","4","7","2","9","5","10","nan","nan"
"5","2","3","7","4","8","1","9","6","10","nan","nan"
"5","2","3","6","4","8","1","9","7","10","nan","nan"
"8","1","3","5","4","7","2","9","6","10","nan","nan"
"8","2","3","6","4","7","1","9","5","10","nan","nan"
"9","1","3","7","4","6","2","8","5","10","nan","nan"
"10","1","3","4","7","6","2","8","5","9","nan","nan"
"8","2","3","6","7","5","1","9","4","10","nan","nan"
"8","1","4","6","3","7","2","9","5","10","nan","nan"
