"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"6","7","3","8","1","5","2","4","8.0","1.0"
"7","4","2","6","1","8","3","5","nan","nan"
"5","8","4","1","2","3","6","skipped","nan","nan"
"3","1","5","2","7","4","6","8","nan","nan"
"3","8","5","1","2","4","skipped","skipped","nan","nan"
"3","1","5","2","6","4","7","8","nan","nan"
"2","1","8","3","4","5","7","6","nan","nan"
"3","1","5","2","6","4","8","7","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","2","5","1","6","3","4","nan","nan"
"7","8","5","6","1","3","2","4","nan","nan"
"3","2","8","1","6","4","7","5","nan","nan"
"3","2","7","1","5","4","8","6","nan","nan"
"3","1","4","2","7","5","8","6","nan","nan"
"6","4","3","8","1","7","2","5","nan","nan"
"5","7","2","6","1","8","4","3","nan","nan"
"2","1","8","3","skipped","skipped","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","3","5","1","8","4","2","nan","nan"
"3","2","7","1","5","6","4","8","nan","nan"
"3","2","5","1","6","4","8","7","nan","nan"
"5","6","8","7","1","2","4","3","nan","nan"
"8","3","2","4","1","skipped","skipped","skipped","nan","nan"
"6","8","4","7","1","2","3","5","nan","nan"
"3","2","5","1","7","4","8","6","nan","nan"
"3","2","8","1","4","skipped","skipped","skipped","nan","nan"
"6","7","4","8","2","5","1","3","nan","nan"
"4","6","3","5","1","8","2","7","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","2","1","3","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","3","8","2","5","1","4","nan","nan"
"7","6","3","8","1","5","2","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","5","7","2","6","1","3","nan","nan"
"6","7","3","8","2","5","1","4","nan","nan"
"1","3","8","2","5","4","7","6","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","2","3","skipped","skipped","skipped","nan","nan"
"7","4","2","6","1","5","3","8","nan","nan"
