"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","12.0","1.0"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","5","1","12","10","7","11","4","3","2","8","nan","nan"
"2","9","6","11","12","7","4","1","8","10","3","5","nan","nan"
"2","10","9","12","7","1","5","11","3","6","4","8","nan","nan"
"3","10","9","11","12","2","1","7","4","5","8","6","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","6","9","12","5","8","11","10","1","2","3","nan","nan"
"12","4","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","3","5","1","2","7","8","10","6","11","4","nan","nan"
"2","11","1","7","5","8","6","12","4","10","3","9","nan","nan"
"2","12","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","5","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","11","8","12","4","3","2","9","6","10","1","nan","nan"
"2","5","3","7","12","9","8","10","4","6","1","11","nan","nan"
"12","5","3","1","7","10","4","9","8","11","6","2","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","11","6","12","2","7","4","9","3","10","8","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","10","3","12","9","4","7","2","5","1","11","nan","nan"
"7","6","4","2","3","9","11","12","8","10","1","5","nan","nan"
"10","6","1","11","9","8","12","2","7","4","5","3","nan","nan"
"4","8","9","6","10","1","12","3","5","7","11","2","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","2","9","6","8","10","11","7","4","1","5","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","10","9","12","2","5","7","6","1","8","11","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","11","10","3","12","5","4","6","8","1","9","2","nan","nan"
"12","2","8","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","10","4","6","9","8","1","11","5","skipped","skipped","skipped","nan","nan"
"5","9","3","11","7","6","8","4","2","10","1","12","nan","nan"
"6","1","8","5","12","3","2","11","9","10","4","7","nan","nan"
"2","1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","12","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","12","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
