"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","Num Cands","Num Seats"
"26","6","5","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","26.0","1.0"
"12","20","23","14","26","9","10","22","15","24","4","16","6","19","21","7","3","13","18","11","17","25","8","5","1","2","nan","nan"
"26","23","21","24","19","13","8","16","22","20","4","25","2","6","9","5","10","11","3","1","12","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","10","8","4","2","11","3","5","12","6","1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","22","19","15","4","6","24","5","17","18","7","23","9","3","10","21","2","16","20","14","12","1","11","skipped","skipped","skipped","nan","nan"
"19","20","26","22","2","21","9","16","23","5","24","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","12","2","11","8","5","7","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","13","5","24","12","11","6","18","3","10","4","20","19","7","1","26","9","25","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","16","9","23","25","12","2","5","26","11","15","21","13","7","24","20","14","22","6","10","19","8","3","4","1","18","nan","nan"
"25","12","1","6","19","21","7","3","22","10","13","15","24","9","8","4","26","2","5","20","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","22","18","9","19","4","2","25","26","24","7","6","20","21","14","8","3","16","15","5","10","23","13","12","1","11","nan","nan"
"21","18","7","25","5","20","9","22","26","15","11","13","16","10","8","19","6","4","23","24","3","17","14","12","1","2","nan","nan"
"26","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","3","7","16","6","5","8","9","12","11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","16","9","14","8","26","10","2","12","13","11","3","6","4","15","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","8","3","7","6","13","12","4","20","5","9","15","1","14","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","5","1","23","17","6","7","26","13","10","16","8","19","14","24","15","9","25","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","4","6","16","8","9","14","2","17","11","10","15","5","13","12","1","7","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
