"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"11","10","9","4","13","6","1","5","12","2","3","7","8","13.0","1.0"
"13","10","2","3","6","11","5","8","7","4","1","9","12","nan","nan"
"10","9","6","7","12","3","1","2","13","4","8","11","5","nan","nan"
"4","3","12","6","13","11","7","2","8","9","1","5","10","nan","nan"
"5","11","10","7","12","1","3","2","8","4","9","13","6","nan","nan"
"6","11","8","5","13","2","4","3","10","1","7","12","9","nan","nan"
"13","5","6","2","1","3","4","7","8","skipped","skipped","skipped","skipped","nan","nan"
"10","11","12","9","13","1","4","5","7","8","6","skipped","skipped","nan","nan"
"13","7","6","2","3","1","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","5","2","10","12","11","3","7","1","8","9","13","nan","nan"
"9","6","8","7","11","2","3","4","13","5","12","10","1","nan","nan"
"9","3","5","13","4","6","1","11","2","12","10","skipped","skipped","nan","nan"
"7","8","12","5","13","2","1","3","4","6","skipped","skipped","skipped","nan","nan"
"13","8","2","3","6","5","4","1","7","skipped","skipped","skipped","skipped","nan","nan"
"3","1","6","5","7","11","12","10","9","2","4","8","13","nan","nan"
"9","10","8","6","13","4","2","1","11","3","7","12","5","nan","nan"
"10","6","4","7","13","5","3","1","2","9","8","skipped","skipped","nan","nan"
"11","4","1","5","12","6","7","2","10","3","8","13","9","nan","nan"
"4","6","3","10","13","9","7","8","5","1","2","12","11","nan","nan"
"13","7","4","2","3","6","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","7","5","12","2","4","1","13","3","8","11","6","nan","nan"
"10","9","6","7","13","1","2","4","11","3","8","12","5","nan","nan"
"7","10","11","2","1","5","8","13","3","6","12","4","skipped","nan","nan"
"10","3","9","11","13","1","4","5","8","6","7","12","2","nan","nan"
"11","10","7","5","12","3","2","1","9","4","6","13","8","nan","nan"
"10","9","6","7","12","1","2","5","13","8","11","3","skipped","nan","nan"
"10","9","5","4","12","6","3","1","13","2","8","11","7","nan","nan"
"10","8","6","5","12","1","3","2","9","4","7","13","11","nan","nan"
"7","5","8","6","12","1","3","4","10","2","11","13","9","nan","nan"
"3","2","10","11","8","6","9","4","7","1","5","13","12","nan","nan"
"9","3","1","12","5","7","4","11","6","2","13","10","skipped","nan","nan"
"6","7","9","5","13","4","3","1","11","2","8","12","10","nan","nan"
"7","9","8","3","10","1","6","12","4","2","5","13","11","nan","nan"
"4","1","2","7","12","9","11","10","8","5","3","6","13","nan","nan"
"10","8","5","4","13","6","3","2","12","1","7","11","9","nan","nan"
"2","12","10","8","13","7","5","4","6","3","1","11","9","nan","nan"
"10","8","5","4","12","6","3","2","11","1","7","13","9","nan","nan"
"9","4","12","6","10","1","2","8","3","5","11","13","skipped","nan","nan"
"8","10","6","3","13","7","4","5","12","2","1","11","9","nan","nan"
"8","5","13","2","1","3","4","6","7","skipped","skipped","skipped","skipped","nan","nan"
"2","11","13","1","9","3","12","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","6","5","12","9","8","4","13","2","3","11","10","nan","nan"
"13","6","2","3","1","8","4","5","7","skipped","skipped","skipped","skipped","nan","nan"
