rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,1,6,4,Skipped,Skipped,3,2,Skipped,1.0,15.0
11,Skipped,Skipped,2,6,3,Skipped,1,9,8,4,5,Skipped,10,7,,
Skipped,Skipped,3,Skipped,Skipped,4,5,2,2,9,1,2,Skipped,7,1,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,5,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,7,3,5,4,Skipped,Skipped,2,Skipped,6,9,8,,
8,4,14,2,1,13,5,11,15,6,7,3,9,10,12,,
11,1,12,5,13,14,3,2,7,6,15,10,4,8,9,,
Skipped,1,Skipped,Skipped,4,Skipped,7,3,2,6,Skipped,5,9,8,10,,
Skipped,Skipped,8,Skipped,Skipped,Skipped,1,5,2,3,Skipped,4,15,2,7,,
Skipped,2,5,Skipped,6,9,7,4,13,12,8,11,1,10,3,,
Skipped,Skipped,3,Skipped,Skipped,Skipped,5,2,6,7,Skipped,Skipped,Skipped,4,1,,
Skipped,Skipped,6,9,2,4,5,8,11,12,7,1,Skipped,10,3,,
Skipped,Skipped,6,Skipped,4,Skipped,3,Skipped,Skipped,2,8,Skipped,9,1,5,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,6,1,4,5,Skipped,Skipped,Skipped,Skipped,3,,
3,Skipped,5,Skipped,Skipped,4,2,Skipped,7,Skipped,1,Skipped,Skipped,6,Skipped,,
Skipped,Skipped,2,Skipped,1,Skipped,6,Skipped,4,5,Skipped,Skipped,Skipped,3,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,6,8,10,5,1,15,11,13,12,7,9,14,2,3,,
1,12,9,6,3,5,13,2,14,15,8,10,7,11,4,,
Skipped,Skipped,5,Skipped,Skipped,2,6,4,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,,
Skipped,1,10,3,13,2,4,8,6,12,9,14,7,11,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,5,Skipped,3,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
14,7,9,13,2,Skipped,12,6,5,11,8,1,10,4,3,,
15,15,6,10,7,Skipped,5,9,4,Skipped,3,1,Skipped,2,8,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,1,Skipped,3,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,3,5,Skipped,2,Skipped,Skipped,Skipped,,
Skipped,Skipped,6,Skipped,4,Skipped,10,5,8,5,Skipped,4,3,3,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,5,3,12,4,2,9,7,11,10,13,Skipped,6,8,1,,
14,13,4,11,1,8,9,3,14,10,5,2,15,7,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,5,4,Skipped,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,3,1,Skipped,Skipped,Skipped,5,7,6,Skipped,Skipped,Skipped,2,4,,
12,Skipped,6,3,1,2,8,9,10,11,Skipped,7,4,Skipped,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,4,5,Skipped,2,Skipped,Skipped,3,,
Skipped,6,Skipped,2,Skipped,1,Skipped,7,8,9,5,Skipped,Skipped,3,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,2,11,4,1,6,10,7,9,13,8,3,14,12,5,,
Skipped,Skipped,8,1,6,3,2,9,7,Skipped,Skipped,Skipped,Skipped,5,Skipped,,
11,6,9,15,4,1,7,3,12,13,14,2,8,10,5,,
2,3,8,Skipped,1,6,12,9,10,11,Skipped,5,Skipped,7,4,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,,
6,5,4,9,1,8,12,10,15,13,11,2,14,7,3,,
Skipped,Skipped,7,Skipped,Skipped,1,9,10,6,8,3,Skipped,4,5,2,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,5,4,3,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,4,2,5,9,1,11,8,10,Skipped,3,Skipped,12,7,6,,
15,Skipped,2,Skipped,1,Skipped,Skipped,7,5,Skipped,8,3,Skipped,6,4,,
10,13,5,14,1,6,8,7,11,15,9,12,3,4,2,,
