"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"3","13","12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","13.0","1.0"
"4","13","3","1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","4","5","8","3","10","7","9","11","6","2","skipped","nan","nan"
"10","3","9","2","7","8","11","1","13","6","12","5","4","nan","nan"
"2","11","1","4","10","3","9","5","6","12","7","8","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","2","4","12","5","11","6","10","3","7","skipped","skipped","nan","nan"
"13","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","3","4","6","7","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","3","8","7","5","6","4","11","9","12","10","1","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","2","5","13","9","12","1","10","7","8","6","11","nan","nan"
"13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","4","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","7","9","3","4","8","6","5","skipped","skipped","skipped","nan","nan"
"6","13","2","3","10","9","1","7","5","12","4","8","skipped","nan","nan"
"2","13","1","6","12","10","3","5","4","9","11","7","8","nan","nan"
"1","13","2","3","12","7","4","11","10","6","5","skipped","skipped","nan","nan"
"2","13","1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","13","1","9","8","2","3","4","10","7","6","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","7","10","9","3","5","6","11","12","4","8","nan","nan"
"6","13","5","3","9","12","4","8","7","10","11","2","1","nan","nan"
"2","13","1","4","10","8","5","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","13","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","10","4","5","6","7","8","3","1","skipped","skipped","skipped","nan","nan"
"1","13","2","3","8","4","5","7","11","10","12","9","6","nan","nan"
"11","12","13","3","1","7","10","5","4","9","8","6","2","nan","nan"
"2","13","1","10","12","9","4","3","5","11","skipped","skipped","skipped","nan","nan"
"2","13","1","3","12","4","5","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","13","1","2","12","11","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","10","11","3","5","13","12","7","6","8","2","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","9","10","5","4","11","3","6","12","8","7","nan","nan"
"12","13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","3","4","9","8","5","13","7","11","10","6","2","nan","nan"
"12","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","12","1","5","11","7","2","4","10","6","8","9","skipped","nan","nan"
"5","1","3","4","10","12","6","7","11","9","13","8","2","nan","nan"
"4","9","1","6","10","11","3","2","8","7","5","skipped","skipped","nan","nan"
"13","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","13","10","3","6","5","2","11","8","4","12","9","1","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","1","3","2","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","11","1","12","3","2","4","13","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","1","6","10","9","4","2","5","11","12","7","8","nan","nan"
"2","11","13","4","7","8","10","12","6","5","9","3","1","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","2","6","5","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","9","3","6","8","4","12","5","10","11","7","1","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","11","3","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","9","13","12","10","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","4","12","11","3","5","6","8","7","skipped","skipped","nan","nan"
"3","13","2","6","5","7","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","3","4","11","12","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","6","10","11","3","5","4","9","12","7","8","nan","nan"
"3","13","9","1","10","8","11","12","4","2","skipped","skipped","skipped","nan","nan"
"12","13","1","6","11","7","3","2","4","9","8","5","10","nan","nan"
"8","2","4","7","5","9","11","3","13","12","10","1","skipped","nan","nan"
"13","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","1","3","12","9","5","4","6","10","11","7","8","nan","nan"
"12","2","11","8","7","5","3","1","10","4","9","6","13","nan","nan"
