"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","Num Cands","Num Seats"
"4","27","25","1","2","24","12","26","10","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","27.0","1.0"
"27","7","3","6","9","8","5","10","2","11","1","12","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","22","27","4","16","9","8","18","11","20","15","24","3","14","21","25","12","6","10","7","17","13","2","1","5","skipped","skipped","nan","nan"
"27","1","2","6","4","7","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","10","23","1","24","16","6","27","19","18","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","2","16","13","5","6","9","15","3","4","14","12","11","7","8","17","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","22","27","4","21","6","12","13","7","17","8","2","15","16","18","20","14","19","5","10","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","4","9","7","10","8","1","5","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","2","9","6","10","11","14","4","5","8","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","3","20","15","23","19","22","16","24","17","12","9","13","2","10","7","26","25","18","5","21","14","1","4","11","6","8","nan","nan"
"21","24","8","17","5","10","11","13","22","15","25","3","6","9","18","19","12","16","7","20","14","4","23","2","1","skipped","skipped","nan","nan"
"8","1","4","3","12","25","13","26","14","27","2","20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","25","24","14","11","16","21","15","18","22","19","26","3","10","17","12","20","9","5","4","13","23","8","1","27","2","6","nan","nan"
"16","19","25","5","7","22","18","17","9","24","11","15","1","13","26","14","8","2","6","27","23","21","10","3","20","12","4","nan","nan"
"16","25","27","4","17","10","19","15","20","18","12","26","6","14","13","11","9","22","5","7","21","24","8","1","23","2","3","nan","nan"
"5","26","27","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"22","27","8","21","4","18","20","6","11","3","5","10","15","12","16","13","2","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","7","26","12","13","14","18","23","21","16","6","9","1","4","17","25","22","20","11","15","24","27","5","2","8","10","skipped","nan","nan"
"27","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","4","24","12","19","17","22","16","20","23","5","15","7","1","13","10","14","27","26","11","25","3","2","9","6","8","21","nan","nan"
"25","9","15","14","24","6","22","19","13","21","16","5","18","8","7","10","26","23","27","3","17","20","4","11","12","skipped","skipped","nan","nan"
"27","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
