"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"7","2","10","5","4","1","9","3","8","6","10.0","1.0"
"6","9","7","4","3","8","10","2","5","1","nan","nan"
"6","4","7","3","9","2","8","1","5","10","nan","nan"
"6","5","2","1","4","3","skipped","skipped","skipped","skipped","nan","nan"
"2","5","9","1","3","7","6","10","4","8","nan","nan"
"10","4","9","3","7","1","6","5","2","8","nan","nan"
"2","3","7","1","4","6","9","8","10","5","nan","nan"
"4","10","1","3","5","2","skipped","skipped","skipped","skipped","nan","nan"
"6","7","9","4","5","2","1","8","3","10","nan","nan"
"6","3","5","2","7","9","1","8","10","skipped","nan","nan"
"4","10","2","8","6","1","skipped","skipped","skipped","skipped","nan","nan"
"10","4","8","3","9","1","7","5","2","6","nan","nan"
"4","6","7","2","3","1","5","skipped","skipped","skipped","nan","nan"
"2","9","4","1","3","7","5","8","10","6","nan","nan"
"6","7","4","3","5","2","9","1","10","8","nan","nan"
"6","7","8","2","4","1","9","5","10","3","nan","nan"
"10","1","5","3","2","6","4","skipped","skipped","skipped","nan","nan"
"9","4","10","6","5","3","1","8","2","7","nan","nan"
"5","4","6","7","2","9","1","10","8","skipped","nan","nan"
"7","1","5","8","9","3","10","6","2","4","nan","nan"
"7","2","8","6","9","5","1","4","3","10","nan","nan"
"4","9","10","1","7","3","6","8","5","2","nan","nan"
"10","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","10","4","7","5","3","8","2","9","nan","nan"
"6","1","7","2","9","5","8","3","4","10","nan","nan"
"4","1","6","5","8","3","9","2","7","10","nan","nan"
"3","9","10","1","8","6","2","7","5","4","nan","nan"
"6","5","8","2","1","4","10","7","3","9","nan","nan"
"1","6","2","4","7","5","3","skipped","skipped","skipped","nan","nan"
"10","2","6","5","3","1","9","4","skipped","skipped","nan","nan"
"8","1","7","3","10","6","2","5","4","9","nan","nan"
"9","3","10","4","7","2","6","1","8","skipped","nan","nan"
"6","1","9","2","3","10","4","5","8","7","nan","nan"
"8","3","4","2","6","5","10","1","7","9","nan","nan"
"4","8","6","2","1","3","10","7","5","9","nan","nan"
"8","5","10","1","7","4","6","2","3","9","nan","nan"
"2","5","1","6","3","4","9","10","7","8","nan","nan"
"10","3","6","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","7","5","9","6","4","8","10","nan","nan"
"6","1","9","2","5","8","7","4","10","skipped","nan","nan"
"6","8","7","5","3","9","10","2","4","1","nan","nan"
"7","2","6","8","9","1","10","3","4","5","nan","nan"
"2","6","3","4","5","1","9","7","10","8","nan","nan"
"4","2","6","10","1","3","7","skipped","skipped","skipped","nan","nan"
"8","3","9","2","1","4","6","7","5","10","nan","nan"
"4","2","5","10","1","3","skipped","skipped","skipped","skipped","nan","nan"
"2","6","3","8","5","7","10","1","4","9","nan","nan"
"1","8","2","3","10","6","4","9","7","5","nan","nan"
"5","10","7","2","3","4","1","6","skipped","skipped","nan","nan"
"6","8","9","5","7","3","10","1","4","skipped","nan","nan"
"9","4","10","2","7","1","8","3","6","5","nan","nan"
"7","9","4","1","5","10","2","8","6","3","nan","nan"
"5","4","7","3","6","1","9","2","10","8","nan","nan"
"1","2","6","3","4","5","7","10","9","8","nan","nan"
"5","1","2","3","10","7","6","4","9","8","nan","nan"
"8","3","6","9","5","4","7","1","2","10","nan","nan"
"9","2","10","8","6","4","3","7","1","5","nan","nan"
