"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","Num Cands","Num Seats"
"9","18","6","4","2","1","10","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","18.0","1.0"
"18","5","4","2","3","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","1","6","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","13","15","16","8","9","1","2","6","14","17","12","3","18","skipped","skipped","skipped","nan","nan"
"11","17","6","14","5","7","3","1","12","18","15","8","13","16","10","9","2","4","nan","nan"
"18","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","4","17","2","18","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","5","3","7","6","2","8","9","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","18","9","14","17","12","13","1","11","10","6","16","5","15","2","4","8","3","nan","nan"
"10","9","4","6","12","8","17","18","13","3","14","15","11","1","7","2","5","16","nan","nan"
"7","4","16","9","1","15","11","5","10","2","12","18","3","6","17","13","8","14","nan","nan"
"5","18","2","3","4","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","8","5","6","4","3","7","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","10","13","16","1","5","11","2","15","4","6","14","3","12","8","17","9","7","nan","nan"
"2","3","18","6","7","8","1","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","8","3","7","1","6","2","5","4","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","13","7","18","6","14","11","1","5","3","12","17","4","16","2","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","13","16","6","14","5","8","1","18","12","11","3","9","15","17","4","10","2","nan","nan"
"12","1","11","7","4","17","3","5","14","15","18","9","16","8","13","10","2","6","nan","nan"
"4","16","2","8","13","11","12","9","7","6","5","3","10","17","15","1","18","14","nan","nan"
"4","10","3","13","6","15","7","18","16","8","14","1","12","9","17","2","11","5","nan","nan"
"16","17","7","8","9","15","14","4","3","11","18","13","5","10","2","6","12","1","nan","nan"
"18","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","13","3","12","18","6","2","1","11","17","16","8","5","7","14","15","4","10","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","18","5","6","7","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","14","7","15","6","18","11","13","17","1","10","4","9","8","16","2","12","3","nan","nan"
"18","10","8","2","9","1","12","4","5","6","11","3","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","12","4","18","5","2","1","10","8","11","13","9","6","3","skipped","skipped","skipped","skipped","nan","nan"
"14","8","7","11","4","17","15","1","12","2","16","9","5","18","3","13","10","6","nan","nan"
"9","10","17","5","6","14","1","16","13","12","8","4","15","7","2","11","3","skipped","nan","nan"
"2","18","4","5","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","14","7","11","6","18","16","2","12","8","13","5","9","3","10","17","4","1","nan","nan"
"18","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","18","5","17","1","6","10","4","13","8","14","15","11","7","9","16","12","2","nan","nan"
"7","12","6","11","14","16","2","1","5","17","15","9","18","8","4","10","13","3","nan","nan"
"2","18","1","4","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","8","7","3","1","9","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","16","3","6","4","11","13","1","5","7","12","10","2","17","15","8","14","18","nan","nan"
"10","3","1","8","5","2","4","9","6","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","8","6","4","5","7","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","2","5","16","3","17","6","9","8","18","7","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","4","18","8","16","15","10","13","7","11","3","6","17","12","2","5","14","nan","nan"
"18","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","9","5","17","4","6","11","1","13","2","10","16","8","15","18","12","7","3","nan","nan"
"6","13","3","7","4","5","12","9","14","18","8","16","17","2","11","15","10","1","nan","nan"
"4","10","16","1","11","2","6","12","15","5","14","17","18","3","13","8","7","9","nan","nan"
"14","18","16","8","7","2","15","1","5","13","6","17","12","11","3","9","4","10","nan","nan"
"18","8","2","7","6","9","5","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","8","7","9","5","1","13","2","18","3","11","16","12","17","6","4","10","skipped","nan","nan"
"18","2","4","10","12","8","6","5","9","11","13","7","1","3","skipped","skipped","skipped","skipped","nan","nan"
"18","12","15","7","1","6","4","10","9","14","3","8","11","2","13","5","skipped","skipped","nan","nan"
"18","3","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","13","5","1","3","2","6","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","18","3","9","1","2","6","10","8","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","1","4","7","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","17","6","15","7","9","13","10","18","8","11","2","1","5","12","3","16","14","nan","nan"
"17","1","16","14","18","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","4","1","3","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","12","8","18","6","5","17","13","15","4","3","10","2","14","16","9","11","1","nan","nan"
"13","7","5","18","12","9","1","11","4","8","6","14","2","10","3","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","6","4","1","3","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","11","2","3","14","1","5","15","6","13","12","18","16","9","17","7","4","nan","nan"
"11","7","14","16","17","1","9","2","13","5","12","6","4","15","18","8","10","3","nan","nan"
"2","18","4","11","13","10","9","6","7","3","5","12","1","8","skipped","skipped","skipped","skipped","nan","nan"
"17","6","12","5","14","9","2","1","4","10","15","11","18","8","7","16","3","13","nan","nan"
"16","6","7","13","10","1","8","2","14","4","18","9","15","11","12","5","17","3","nan","nan"
"18","2","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","15","4","18","13","12","14","5","8","9","16","1","10","6","7","2","11","17","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","10","7","12","8","2","14","6","11","4","17","3","5","9","13","18","15","1","nan","nan"
"15","3","14","10","11","17","13","1","9","2","8","16","4","18","7","12","5","6","nan","nan"
"18","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","9","18","10","16","7","1","4","8","15","13","17","3","2","14","11","5","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","18","5","8","10","7","9","2","6","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","5","3","1","4","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","16","17","3","15","5","13","18","12","9","7","11","14","10","6","1","8","nan","nan"
"18","1","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","2","7","1","6","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","15","6","14","5","8","9","1","10","3","4","11","2","16","12","7","18","13","nan","nan"
"18","4","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","18","17","16","6","1","12","4","14","2","5","7","9","13","15","10","8","3","nan","nan"
"18","12","15","4","9","8","3","6","5","14","16","11","10","1","7","13","2","17","nan","nan"
"7","13","17","10","6","16","11","5","8","3","1","15","2","9","4","18","12","14","nan","nan"
"18","9","13","7","14","8","5","4","1","11","6","17","15","2","12","16","10","3","nan","nan"
"18","5","6","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","5","7","3","6","12","16","15","17","9","8","4","13","10","1","18","skipped","nan","nan"
"18","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","11","3","4","9","18","5","2","17","13","8","15","1","14","6","10","7","12","nan","nan"
"18","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","4","2","3","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","4","18","6","1","2","3","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","18","17","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","18","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","17","15","13","14","2","8","4","7","1","3","6","10","12","9","16","11","skipped","nan","nan"
"3","11","14","12","18","16","4","5","9","6","10","15","2","17","13","8","7","1","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","4","3","2","1","6","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","4","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","7","18","4","3","1","5","2","6","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","10","14","3","18","8","7","2","11","5","15","9","6","13","1","skipped","skipped","nan","nan"
"12","17","6","16","9","11","5","4","14","2","15","13","8","18","3","7","10","1","nan","nan"
"14","16","10","18","7","1","12","2","17","11","4","13","9","6","5","8","15","3","nan","nan"
"13","14","11","7","15","4","9","1","17","3","16","6","8","10","18","12","5","2","nan","nan"
"9","16","14","10","8","3","11","1","13","2","6","5","12","17","18","7","15","4","nan","nan"
"2","18","4","3","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","6","17","5","1","8","9","4","12","2","14","11","3","18","13","16","10","7","nan","nan"
"18","3","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","8","11","7","10","9","6","4","18","3","1","12","15","16","17","5","14","2","nan","nan"
"18","7","5","1","2","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","16","18","15","10","17","1","4","2","14","13","8","6","12","5","9","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","13","14","15","11","7","9","8","5","4","3","18","2","10","1","16","12","6","nan","nan"
"3","18","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","11","10","18","12","2","4","3","1","8","13","6","9","5","skipped","skipped","skipped","skipped","nan","nan"
"9","4","8","6","18","11","2","1","10","7","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","3","8","10","12","6","17","16","13","14","2","11","7","15","1","5","18","nan","nan"
"18","2","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","9","10","8","6","5","4","7","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","6","8","5","17","3","11","9","12","15","14","1","16","7","18","13","10","nan","nan"
"17","15","1","9","4","16","2","3","5","18","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","18","7","4","3","17","8","6","5","15","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","8","10","11","3","13","6","1","12","14","16","17","18","4","5","9","7","2","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","4","11","10","7","16","6","8","17","14","3","15","5","12","9","18","1","nan","nan"
"18","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","3","7","6","1","8","9","4","2","10","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","7","8","18","9","1","6","3","4","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","18","2","9","5","8","4","7","3","10","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","10","7","14","6","16","13","1","11","4","2","8","5","17","9","15","3","12","nan","nan"
"18","4","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","16","2","7","5","18","17","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","15","5","3","12","10","7","1","9","11","18","16","14","4","13","2","6","8","nan","nan"
"18","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","10","17","3","1","14","4","5","12","6","11","13","18","7","8","15","16","nan","nan"
