"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"10","4","2","8","9","3","1","skipped","skipped","skipped","10.0","1.0"
"10","9","6","2","8","5","3","4","7","1","nan","nan"
"10","7","6","1","5","8","4","9","3","2","nan","nan"
"10","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","8","2","6","9","3","5","1","4","nan","nan"
"5","10","4","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"10","5","2","3","1","4","skipped","skipped","skipped","skipped","nan","nan"
"10","8","7","5","2","9","3","4","6","1","nan","nan"
"10","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","6","1","9","7","3","4","5","2","nan","nan"
"10","2","1","7","4","3","skipped","skipped","skipped","skipped","nan","nan"
"8","7","2","10","3","1","4","skipped","skipped","skipped","nan","nan"
"10","2","3","1","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","6","3","9","7","4","1","5","2","nan","nan"
"10","5","4","2","8","1","3","skipped","skipped","skipped","nan","nan"
"10","6","2","5","1","4","3","skipped","skipped","skipped","nan","nan"
"10","9","1","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","10","1","6","3","2","5","4","skipped","skipped","nan","nan"
"10","7","6","2","4","3","5","8","1","skipped","nan","nan"
"10","8","3","4","9","6","2","1","5","7","nan","nan"
"4","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","5","1","8","7","9","4","2","3","nan","nan"
"10","6","2","5","1","4","skipped","skipped","skipped","skipped","nan","nan"
"10","7","2","5","4","1","3","6","skipped","skipped","nan","nan"
"10","7","6","3","8","2","1","4","5","skipped","nan","nan"
"10","8","1","3","4","5","2","9","skipped","skipped","nan","nan"
"10","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","8","2","5","6","4","9","1","3","nan","nan"
"10","4","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","1","2","10","3","skipped","skipped","skipped","skipped","nan","nan"
"7","10","6","5","2","1","4","3","skipped","skipped","nan","nan"
"10","7","6","3","2","9","1","4","5","skipped","nan","nan"
"10","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","5","4","9","7","2","6","1","3","nan","nan"
"10","9","7","1","6","8","4","3","5","2","nan","nan"
"6","10","7","5","3","2","4","1","skipped","skipped","nan","nan"
"10","4","1","5","2","3","skipped","skipped","skipped","skipped","nan","nan"
"10","8","6","1","7","2","4","3","5","skipped","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","8","5","9","6","2","1","7","4","nan","nan"
"10","3","4","2","8","7","1","5","6","skipped","nan","nan"
"10","9","6","1","2","8","3","5","7","4","nan","nan"
"1","6","7","10","9","8","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","10","2","5","3","6","4","1","skipped","skipped","nan","nan"
"10","7","5","1","8","9","3","4","6","2","nan","nan"
"10","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","7","2","6","8","1","4","5","3","nan","nan"
"10","9","7","1","6","8","3","2","5","4","nan","nan"
"10","4","9","2","8","5","3","7","6","1","nan","nan"
"10","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","2","4","10","7","6","1","5","3","nan","nan"
"10","8","6","1","9","7","3","4","5","2","nan","nan"
"10","3","5","9","1","4","7","8","6","2","nan","nan"
"10","8","7","2","5","9","3","6","4","1","nan","nan"
"10","1","2","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
