"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","Num Cands","Num Seats"
"12","7","9","8","1","16","4","3","14","11","6","10","2","15","17","5","13","17.0","1.0"
"6","1","16","11","17","8","9","5","12","4","2","7","14","10","13","3","15","nan","nan"
"1","17","6","2","4","5","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","2","13","3","14","9","17","15","6","4","10","16","12","11","7","8","nan","nan"
"5","3","17","10","9","4","1","6","7","2","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","7","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","12","6","8","1","10","14","4","16","17","9","5","13","11","15","3","7","nan","nan"
"8","7","12","10","14","9","1","11","17","6","2","5","15","13","4","3","16","nan","nan"
"8","6","2","17","5","1","3","7","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","1","8","4","3","7","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","5","2","1","4","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","3","5","4","2","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","11","15","7","12","5","8","13","4","1","10","16","14","17","3","9","nan","nan"
"13","4","7","16","12","17","2","1","10","15","14","6","9","8","5","3","11","nan","nan"
"3","2","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","16","11","3","14","7","1","13","9","4","17","10","6","15","2","8","nan","nan"
"17","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","17","1","6","3","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","14","15","16","8","12","4","10","2","6","7","13","9","17","3","11","nan","nan"
"6","3","17","7","12","9","8","1","10","13","11","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","17","7","4","3","6","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","17","6","1","2","8","7","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","14","15","12","11","3","1","16","5","4","10","13","8","17","6","9","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","16","14","12","3","1","7","4","15","6","5","8","10","11","17","2","13","nan","nan"
"7","13","1","12","11","3","10","17","16","8","9","4","6","5","2","14","15","nan","nan"
"4","16","3","1","2","5","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","17","10","2","14","5","7","8","15","12","16","9","11","13","3","6","nan","nan"
"17","4","2","3","5","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","12","15","11","7","14","17","10","16","13","5","3","4","1","6","2","nan","nan"
"17","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","17","15","11","16","8","1","13","9","2","5","12","10","14","6","4","nan","nan"
"14","6","2","12","13","17","15","3","7","4","1","16","9","5","8","skipped","skipped","nan","nan"
"17","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","17","14","2","12","13","8","15","11","1","16","7","10","4","5","skipped","nan","nan"
"16","5","3","11","14","1","12","15","8","6","4","2","7","17","10","9","13","nan","nan"
"17","7","2","3","1","5","4","8","9","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","1","12","15","16","6","14","3","10","11","17","7","9","5","13","4","nan","nan"
"15","13","5","17","9","8","2","3","14","16","10","1","6","11","4","7","skipped","nan","nan"
"5","2","17","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","13","14","3","12","9","2","17","5","1","6","11","15","16","7","10","nan","nan"
"5","11","10","2","8","12","4","16","6","3","15","17","7","14","13","1","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","17","2","9","1","6","3","5","10","8","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","14","4","3","13","15","12","1","5","9","6","17","16","10","7","8","11","nan","nan"
"17","2","4","6","5","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","13","1","2","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
