"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","8.0","1.0"
"6","7","8","1","2","3","5","4","nan","nan"
"1","8","3","2","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"3","1","8","2","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","8","1","2","4","7","3","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","1","3","4","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","2","1","3","4","6","5","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","8","1","4","3","2","5","nan","nan"
"6","1","5","4","8","2","7","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"7","6","8","1","2","4","3","5","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","8","1","2","3","7","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","3","2","5","4","nan","nan"
"7","8","2","1","3","4","6","5","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","2","1","5","4","3","6","nan","nan"
"7","1","6","5","2","3","8","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"4","6","8","1","3","7","5","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","5","6","2","3","4","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"4","6","8","1","7","2","3","5","nan","nan"
"3","2","1","4","5","6","7","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","2","1","4","3","6","5","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","4","3","6","2","7","1","nan","nan"
"1","6","4","5","7","2","8","3","nan","nan"
"3","5","2","1","8","7","4","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","8","1","4","5","2","3","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","2","1","4","5","6","3","nan","nan"
"4","8","1","5","7","6","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","1","8","2","6","skipped","skipped","nan","nan"
"3","7","5","4","1","6","8","2","nan","nan"
"8","6","2","1","5","3","4","7","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"7","8","1","3","4","6","5","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
"6","7","8","1","2","3","5","4","nan","nan"
