rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,numSeats,numCands
6,3,5,Skipped,8,10,9,4,1,7,Skipped,Skipped,2,11,1.0,14.0
Skipped,3,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
14,11,9,12,4,8,3,10,2,13,6,7,1,5,,
10,9,5,2,8,1,4,12,6,3,11,13,7,14,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,,
4,12,1,Skipped,3,8,2,Skipped,9,11,10,6,5,7,,
7,9,1,6,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,5,4,8,,
6,12,8,14,3,2,13,5,4,7,11,10,1,9,,
4,7,2,Skipped,1,Skipped,Skipped,8,Skipped,Skipped,Skipped,5,3,6,,
Skipped,5,9,7,Skipped,1,Skipped,Skipped,4,Skipped,2,6,3,8,,
Skipped,1,5,9,6,Skipped,Skipped,Skipped,8,Skipped,7,Skipped,4,3,,
Skipped,Skipped,2,4,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,6,Skipped,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,3,,
1,5,Skipped,10,3,Skipped,7,Skipped,4,6,9,8,2,Skipped,,
Skipped,Skipped,Skipped,14,3,Skipped,5,4,1,Skipped,6,10,7,Skipped,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,4,1,5,Skipped,3,Skipped,,
Skipped,Skipped,1,6,4,5,Skipped,Skipped,3,2,7,Skipped,Skipped,Skipped,,
2,4,7,1,Skipped,6,Skipped,8,5,9,Skipped,11,3,10,,
10,11,4,7,6,1,3,9,2,13,5,8,6,12,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,Skipped,4,2,7,Skipped,8,10,3,Skipped,Skipped,9,5,1,,
5,5,3,Skipped,2,Skipped,3,3,Skipped,2,4,1,2,1,,
Skipped,Skipped,3,6,Skipped,Skipped,5,7,2,Skipped,Skipped,4,Skipped,1,,
3,5,4,2,4,Skipped,Skipped,5,1,2,5,1,1,1,,
Skipped,6,5,Skipped,2,4,Skipped,Skipped,Skipped,7,3,Skipped,1,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,,
5,9,8,Skipped,7,4,10,6,1,13,12,2,3,11,,
Skipped,Skipped,1,4,Skipped,2,6,Skipped,8,7,Skipped,3,Skipped,5,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,,
3,Skipped,Skipped,5,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,2,6,,
6,8,9,Skipped,4,1,Skipped,7,3,5,Skipped,Skipped,2,Skipped,,
12,6,5,3,11,1,?,13,4,2,8,9,7,10,,
