"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"3","5","2","4","7","1","8","9","6","9.0","1.0"
"3","4","8","6","9","1","5","2","7","nan","nan"
"3","9","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","5","7","3","4","6","9","1","nan","nan"
"5","1","6","3","4","7","9","8","2","nan","nan"
"9","6","7","5","2","3","4","8","1","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"1","6","3","7","2","9","8","5","4","nan","nan"
"5","4","8","6","9","1","skipped","skipped","skipped","nan","nan"
"8","9","6","7","5","1","3","2","4","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","7","8","9","5","2","4","1","nan","nan"
"1","4","6","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","7","4","9","1","8","2","6","nan","nan"
"9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","7","4","8","9","3","5","1","nan","nan"
"3","8","4","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","6","3","7","8","4","9","1","nan","nan"
"2","6","7","1","4","3","5","skipped","skipped","nan","nan"
"3","2","7","9","6","5","8","1","skipped","nan","nan"
"8","4","5","6","2","7","9","3","1","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"5","4","6","3","2","7","8","9","1","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","4","3","2","7","8","9","1","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","6","3","2","9","8","7","5","nan","nan"
"1","5","7","2","9","4","6","3","skipped","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"1","9","5","6","2","8","skipped","skipped","skipped","nan","nan"
"1","4","2","3","5","6","skipped","skipped","skipped","nan","nan"
"9","5","4","2","3","1","skipped","skipped","skipped","nan","nan"
"5","4","6","2","3","9","1","skipped","skipped","nan","nan"
"1","5","2","7","3","9","8","4","6","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","2","7","5","1","6","4","3","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"3","6","8","5","9","1","2","4","skipped","nan","nan"
"2","6","1","5","9","4","7","8","3","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","4","6","7","3","2","skipped","skipped","nan","nan"
"4","8","6","1","2","3","7","9","5","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","2","4","3","5","6","9","8","nan","nan"
"1","9","7","8","3","2","5","4","6","nan","nan"
"2","3","5","9","1","skipped","skipped","skipped","skipped","nan","nan"
"3","6","4","7","8","1","2","5","9","nan","nan"
"5","4","6","3","1","9","2","skipped","skipped","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"5","4","8","3","2","6","7","9","1","nan","nan"
"2","7","9","4","5","1","3","6","8","nan","nan"
"4","5","2","8","1","9","7","6","3","nan","nan"
"9","5","4","3","1","2","skipped","skipped","skipped","nan","nan"
"7","2","1","4","6","8","9","3","5","nan","nan"
"6","4","9","1","2","3","8","7","5","nan","nan"
"4","8","6","3","1","5","7","9","2","nan","nan"
"7","2","6","4","1","9","3","8","5","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"4","9","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"1","5","4","3","2","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","4","3","6","5","2","skipped","skipped","nan","nan"
"2","3","8","5","6","7","4","9","1","nan","nan"
"9","7","5","8","6","1","2","4","3","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","6","9","1","5","2","3","8","nan","nan"
"1","8","3","7","2","6","5","9","4","nan","nan"
"1","7","8","5","3","4","9","6","2","nan","nan"
"5","4","6","3","2","9","1","skipped","skipped","nan","nan"
"4","5","7","3","1","9","8","6","2","nan","nan"
"2","3","9","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","6","2","3","9","1","skipped","skipped","nan","nan"
"4","2","8","5","7","9","6","1","3","nan","nan"
"3","9","2","6","1","8","7","5","4","nan","nan"
"1","8","7","5","2","6","4","9","3","nan","nan"
"5","2","6","7","4","9","8","1","skipped","nan","nan"
"5","3","4","7","2","6","9","8","1","nan","nan"
"4","9","7","8","6","1","2","3","5","nan","nan"
"1","5","9","2","4","8","3","6","7","nan","nan"
"5","9","3","6","1","2","4","skipped","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","4","3","5","9","2","skipped","skipped","nan","nan"
