"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"7","1","2","6","5","8","4","skipped","8.0","1.0"
"6","8","5","3","4","2","7","1","nan","nan"
"7","2","3","4","6","5","8","1","nan","nan"
"7","4","2","3","5","1","8","6","nan","nan"
"7","6","4","2","5","1","8","3","nan","nan"
"6","8","3","1","4","2","7","5","nan","nan"
"8","5","6","3","skipped","skipped","skipped","skipped","nan","nan"
"4","1","3","7","5","2","8","6","nan","nan"
"4","7","1","2","8","6","3","5","nan","nan"
"6","3","1","5","7","8","2","4","nan","nan"
"7","8","3","6","1","2","5","4","nan","nan"
"6","2","5","1","7","8","3","4","nan","nan"
"7","8","2","1","5","4","3","skipped","nan","nan"
"6","3","8","7","2","5","1","4","nan","nan"
"1","5","2","7","6","4","8","3","nan","nan"
"7","4","2","3","1","skipped","skipped","skipped","nan","nan"
"2","4","5","7","6","8","3","1","nan","nan"
"6","8","3","2","4","5","1","skipped","nan","nan"
"4","8","6","7","3","1","5","2","nan","nan"
"6","3","2","5","8","1","7","4","nan","nan"
"6","7","4","5","1","2","8","3","nan","nan"
"2","7","1","6","3","5","8","4","nan","nan"
"6","8","5","3","1","2","7","4","nan","nan"
"6","7","2","1","3","4","8","5","nan","nan"
"4","6","1","3","7","2","8","skipped","nan","nan"
"3","8","1","6","4","2","7","5","nan","nan"
"1","3","4","2","7","5","8","6","nan","nan"
"8","1","5","2","6","4","3","7","nan","nan"
"5","2","1","7","6","3","8","skipped","nan","nan"
"5","1","4","2","3","skipped","skipped","skipped","nan","nan"
"6","4","1","5","7","3","8","2","nan","nan"
"2","8","1","6","4","3","7","5","nan","nan"
"2","6","8","3","7","5","4","skipped","nan","nan"
"2","7","6","1","8","3","4","5","nan","nan"
"2","5","7","1","6","4","8","3","nan","nan"
"5","3","4","1","8","6","2","7","nan","nan"
"8","5","1","6","4","3","7","2","nan","nan"
"8","4","1","6","5","2","3","7","nan","nan"
"5","1","4","8","2","3","6","7","nan","nan"
"5","8","2","4","1","6","7","3","nan","nan"
"6","5","2","3","8","1","7","4","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","3","1","skipped","skipped","skipped","skipped","nan","nan"
