"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"10","2","4","1","5","3","skipped","skipped","skipped","skipped","10.0","1.0"
"10","5","3","2","1","4","skipped","skipped","skipped","skipped","nan","nan"
"9","4","10","2","1","3","skipped","skipped","skipped","skipped","nan","nan"
"8","7","3","6","1","4","5","10","9","skipped","nan","nan"
"9","4","8","2","3","7","1","10","5","6","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","6","10","5","9","7","1","3","2","nan","nan"
"4","9","6","8","2","3","7","10","5","1","nan","nan"
"3","6","7","9","8","1","10","5","4","2","nan","nan"
"4","2","6","1","10","5","3","8","7","9","nan","nan"
"6","8","4","3","7","9","1","2","10","5","nan","nan"
"10","2","1","4","5","3","6","skipped","skipped","skipped","nan","nan"
"10","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","10","4","5","1","skipped","skipped","skipped","nan","nan"
"4","10","3","6","9","7","5","1","8","2","nan","nan"
"6","5","8","10","2","1","3","7","4","skipped","nan","nan"
"10","1","5","4","3","2","6","7","9","8","nan","nan"
"10","4","6","1","2","3","5","skipped","skipped","skipped","nan","nan"
"2","3","1","10","9","4","skipped","skipped","skipped","skipped","nan","nan"
"5","2","4","8","1","3","9","10","skipped","skipped","nan","nan"
"1","10","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","1","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","2","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","2","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","2","5","3","1","skipped","skipped","skipped","skipped","nan","nan"
"8","7","3","5","1","2","10","4","6","9","nan","nan"
"5","6","4","1","9","8","10","3","7","2","nan","nan"
"5","3","6","2","4","7","1","9","10","8","nan","nan"
"4","10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","7","3","4","5","10","8","6","nan","nan"
"4","10","5","3","1","6","9","2","skipped","skipped","nan","nan"
"2","4","3","8","5","9","6","1","10","7","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","9","6","5","4","7","3","1","10","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","10","6","7","4","8","2","5","1","nan","nan"
"9","3","1","2","4","10","7","5","8","6","nan","nan"
"7","5","9","10","3","8","2","1","6","skipped","nan","nan"
"10","2","1","3","4","6","5","skipped","skipped","skipped","nan","nan"
"5","10","4","7","3","9","8","6","2","1","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","4","2","5","7","10","1","8","9","nan","nan"
"6","10","1","2","7","9","3","4","8","5","nan","nan"
"9","1","10","6","3","5","7","8","4","skipped","nan","nan"
"5","3","9","8","6","2","10","1","7","4","nan","nan"
"10","1","5","2","4","3","skipped","skipped","skipped","skipped","nan","nan"
"9","8","7","1","4","3","2","6","10","5","nan","nan"
"6","3","10","8","9","1","7","2","4","5","nan","nan"
"2","7","4","5","1","6","10","3","9","skipped","nan","nan"
"3","7","2","5","10","6","9","1","4","8","nan","nan"
"2","1","6","10","8","5","3","9","4","7","nan","nan"
"10","1","3","7","2","4","6","5","skipped","skipped","nan","nan"
