rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
1,5,7,4,3,10,9,8,6,2,11,1.0,11.0
Skipped,5,Skipped,3,1,8,7,4,2,6,Skipped,,
5,Skipped,Skipped,Skipped,1,6,Skipped,3,Skipped,2,4,,
4,Skipped,5,3,1,Skipped,2,Skipped,Skipped,6,Skipped,,
7,Skipped,5,Skipped,1,3,2,8,4,6,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,1,Skipped,,
Skipped,4,8,5,3,2,7,6,1,10,9,,
Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,Skipped,3,2,2,Skipped,6,Skipped,5,1,7,,
6,4,11,10,1,7,5,9,8,3,Skipped,,
3,11,11,11,2,11,11,1,11,11,11,,
7,Skipped,6,Skipped,2,3,8,4,5,1,9,,
Skipped,4,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,3,Skipped,,
7,5,6,1,2,9,4,3,8,10,11,,
6,Skipped,2,4,1,Skipped,3,Skipped,5,7,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,Skipped,1,,
6,7,4,1,3,5,Skipped,8,10,2,9,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,Skipped,3,Skipped,,
6,4,Skipped,7,8,Skipped,Skipped,5,3,2,1,,
6,Skipped,1,5,4,3,2,Skipped,9,7,8,,
9,6,10,4,8,5,7,2,1,3,11,,
Skipped,7,3,Skipped,1,5,2,4,6,8,Skipped,,
9,8,6,Skipped,5,2,4,7,3,1,10,,
Skipped,3,Skipped,Skipped,4,1,Skipped,6,7,2,5,,
Skipped,4,6,Skipped,5,2,Skipped,8,3,1,7,,
4,Skipped,Skipped,3,1,Skipped,8,5,6,2,7,,
6,Skipped,Skipped,5,2,Skipped,3,7,Skipped,1,8,,
6,Skipped,5,Skipped,7,Skipped,Skipped,4,3,2,1,,
3,Skipped,2,1,4,Skipped,Skipped,5,6,7,Skipped,,
9,7,5,8,11,4,10,6,3,2,1,,
Skipped,Skipped,Skipped,6,5,Skipped,Skipped,4,2,1,3,,
5,3,8,4,6,2,Skipped,7,10,1,9,,
Skipped,Skipped,1,7,3,4,8,2,5,6,Skipped,,
9,Skipped,4,6,8,2,7,Skipped,3,1,5,,
Skipped,Skipped,3,4,5,Skipped,Skipped,2,Skipped,Skipped,1,,
?,4,?,9,8,6,7,3,2,5,1,,
