"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"4","5","10","9","1","3","7","6","8","2","10.0","1.0"
"2","5","10","3","1","4","skipped","skipped","skipped","skipped","nan","nan"
"3","10","1","2","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","8","1","9","3","4","5","7","2","nan","nan"
"1","9","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","6","3","2","8","7","9","1","skipped","nan","nan"
"10","7","6","2","3","5","4","1","skipped","skipped","nan","nan"
"4","5","10","8","2","3","6","9","7","1","nan","nan"
"5","9","10","7","6","4","2","8","3","1","nan","nan"
"1","2","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","10","5","7","4","3","1","2","skipped","nan","nan"
"3","10","7","2","4","6","5","1","skipped","skipped","nan","nan"
"5","9","7","6","1","10","skipped","skipped","skipped","skipped","nan","nan"
"1","9","10","3","8","7","2","skipped","skipped","skipped","nan","nan"
"5","9","1","8","2","7","10","3","6","skipped","nan","nan"
"1","8","9","7","10","2","3","skipped","skipped","skipped","nan","nan"
"9","6","10","7","2","3","5","4","8","1","nan","nan"
"4","10","3","1","5","2","skipped","skipped","skipped","skipped","nan","nan"
"8","9","10","6","4","5","3","2","7","1","nan","nan"
"6","10","5","2","3","4","1","skipped","skipped","skipped","nan","nan"
"5","6","10","4","8","9","2","7","3","1","nan","nan"
"3","2","10","9","4","7","5","1","6","8","nan","nan"
"6","9","10","4","8","3","2","7","5","1","nan","nan"
"1","2","10","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","9","10","2","3","4","8","6","1","nan","nan"
"3","9","10","7","2","1","8","6","5","4","nan","nan"
"3","6","10","4","2","5","1","7","skipped","skipped","nan","nan"
"2","8","9","4","3","6","10","5","1","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","7","10","2","3","5","1","6","8","nan","nan"
"8","6","10","7","3","2","5","1","9","4","nan","nan"
"3","9","10","8","4","1","2","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","10","1","5","9","8","6","2","7","nan","nan"
"3","2","10","9","7","8","6","5","1","4","nan","nan"
"5","9","10","7","1","3","6","8","4","2","nan","nan"
"10","5","1","4","3","2","skipped","skipped","skipped","skipped","nan","nan"
"4","9","10","6","2","1","5","3","7","8","nan","nan"
"8","5","10","4","6","9","2","7","3","1","nan","nan"
"2","10","6","1","3","4","skipped","skipped","skipped","skipped","nan","nan"
"5","7","8","3","1","2","10","4","6","skipped","nan","nan"
"10","6","4","5","7","1","8","9","2","skipped","nan","nan"
"4","9","10","1","2","3","5","skipped","skipped","skipped","nan","nan"
"3","9","10","4","5","1","7","2","6","8","nan","nan"
"4","7","8","3","2","1","5","9","6","10","nan","nan"
"7","10","4","5","2","6","3","8","1","skipped","nan","nan"
"1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","10","5","4","7","8","3","6","2","nan","nan"
"4","10","5","1","3","2","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","4","1","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","10","4","2","3","9","skipped","skipped","skipped","nan","nan"
"5","1","10","7","3","6","4","2","skipped","skipped","nan","nan"
"4","8","10","2","9","7","6","3","5","1","nan","nan"
"5","9","10","3","7","6","4","2","8","1","nan","nan"
"3","10","9","1","6","5","4","2","8","7","nan","nan"
"7","4","2","5","3","10","9","6","8","skipped","nan","nan"
"5","3","8","7","4","2","10","6","1","skipped","nan","nan"
"1","9","10","3","4","2","skipped","skipped","skipped","skipped","nan","nan"
"4","5","10","7","1","8","3","2","skipped","skipped","nan","nan"
"3","7","10","6","8","1","4","2","9","5","nan","nan"
"4","5","10","9","2","1","6","8","7","3","nan","nan"
"4","10","5","3","1","2","skipped","skipped","skipped","skipped","nan","nan"
"3","10","6","4","1","5","skipped","skipped","skipped","skipped","nan","nan"
"8","5","9","10","4","1","3","7","6","2","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","8","9","2","1","4","10","5","3","nan","nan"
