"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","Num Cands","Num Seats"
"1","6","11","12","8","17","2","16","3","10","14","15","9","13","4","5","7","17.0","1.0"
"3","10","2","1","17","16","9","4","5","14","15","13","12","8","6","7","11","nan","nan"
"17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","5","4","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","11","12","17","14","6","1","8","15","13","3","7","10","4","2","5","skipped","nan","nan"
"2","3","17","7","4","6","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","6","17","4","9","8","10","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","17","4","2","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","17","5","6","7","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","16","13","7","5","9","4","2","11","6","10","17","3","12","1","15","14","nan","nan"
"9","4","8","14","7","16","10","17","3","2","15","11","6","12","13","5","1","nan","nan"
"9","3","7","4","8","17","10","5","1","12","6","11","2","skipped","skipped","skipped","skipped","nan","nan"
"17","10","6","11","15","16","7","14","8","13","1","12","4","5","3","2","9","nan","nan"
"2","9","3","11","1","15","10","16","5","17","14","7","8","4","12","13","6","nan","nan"
"7","17","4","10","12","5","2","15","16","1","3","9","11","8","13","6","14","nan","nan"
"3","17","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","17","7","5","4","8","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","3","14","17","5","1","2","4","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","1","17","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","7","17","2","11","12","16","8","10","9","15","4","14","6","5","skipped","nan","nan"
"4","1","3","17","2","6","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","6","10","11","5","13","15","4","14","17","12","8","7","16","9","nan","nan"
"4","7","5","16","8","15","6","11","10","9","3","13","12","17","2","1","14","nan","nan"
"7","8","2","11","17","1","9","3","10","6","12","5","4","skipped","skipped","skipped","skipped","nan","nan"
"7","9","3","8","6","17","4","1","5","2","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","11","14","9","17","10","5","13","4","6","16","1","12","15","7","3","nan","nan"
"3","16","8","13","17","11","1","4","5","9","6","12","7","10","2","15","14","nan","nan"
"17","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","5","4","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","5","3","7","10","14","1","15","11","9","4","8","12","16","13","2","nan","nan"
"1","4","7","8","15","17","2","13","3","12","11","5","14","16","9","6","10","nan","nan"
"17","3","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","13","9","4","1","14","10","17","5","12","2","8","3","6","11","skipped","skipped","nan","nan"
"2","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","6","15","11","3","16","8","12","2","5","4","7","14","17","10","13","nan","nan"
"17","15","1","16","13","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","17","6","4","7","8","2","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","6","2","1","7","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","15","7","11","12","8","14","16","17","5","3","10","13","9","2","1","4","nan","nan"
"8","3","15","7","1","5","6","16","9","10","4","17","2","skipped","skipped","skipped","skipped","nan","nan"
"17","5","2","1","6","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","13","11","16","4","10","17","3","12","15","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","17","5","1","10","4","16","8","13","15","3","14","12","9","11","6","nan","nan"
"6","9","5","17","4","1","8","3","7","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","17","4","5","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","16","3","5","2","13","15","6","12","14","1","9","10","7","4","11","8","nan","nan"
"17","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","16","14","9","12","3","6","13","10","8","17","15","7","2","1","11","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","6","7","9","17","1","16","3","5","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","17","7","13","10","9","6","11","4","8","3","15","12","14","1","16","5","nan","nan"
"16","1","17","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","17","1","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","2","4","1","16","11","5","9","15","10","13","8","14","12","17","7","nan","nan"
"17","14","4","10","15","12","5","9","13","8","3","11","16","7","2","1","6","nan","nan"
"1","17","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","8","6","14","17","7","10","12","4","5","13","3","9","11","skipped","skipped","nan","nan"
"17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","8","11","9","10","17","1","16","15","3","7","5","14","13","4","6","2","nan","nan"
"17","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","4","1","2","3","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","16","12","1","11","9","4","17","8","13","5","7","15","6","10","14","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","9","5","11","2","17","1","8","16","7","10","12","14","13","3","6","4","nan","nan"
"17","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","2","17","12","15","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","5","1","13","3","14","7","6","4","2","15","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","3","17","5","7","15","6","4","9","8","14","16","2","10","11","12","nan","nan"
"3","2","4","16","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","17","5","1","2","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","8","1","17","5","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","15","13","1","17","7","8","6","14","12","16","2","11","9","10","3","nan","nan"
"3","2","9","11","1","16","5","13","12","14","8","15","17","10","7","4","6","nan","nan"
"6","14","2","9","17","4","16","3","7","8","1","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","16","6","17","7","5","3","8","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","13","1","17","3","4","7","10","15","6","8","5","16","12","2","11","9","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","1","17","3","6","5","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","3","17","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","2","4","6","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","9","10","5","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","17","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","10","8","17","11","5","13","1","3","14","4","2","12","6","16","15","nan","nan"
"6","12","11","16","5","13","9","10","17","8","3","15","1","14","4","2","7","nan","nan"
"6","2","11","10","14","13","4","7","12","9","8","17","1","16","3","15","5","nan","nan"
"17","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","17","9","7","11","6","1","4","8","12","5","10","skipped","skipped","skipped","skipped","nan","nan"
"5","1","12","17","2","7","6","8","10","11","15","9","3","14","16","13","4","nan","nan"
"9","5","6","14","16","17","4","12","10","11","3","8","13","7","2","1","15","nan","nan"
"7","2","9","8","5","17","6","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","1","14","7","2","10","3","6","17","12","9","16","11","8","13","skipped","nan","nan"
"11","9","6","16","14","3","13","5","17","2","7","1","10","4","12","8","15","nan","nan"
"17","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","17","2","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
