rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
12,Skipped,7,10,8,9,5,6,3,1,2,4,1.0,12.0
9,2,2,4,7,10,4,Skipped,10,2,7,4,,
Skipped,10,6,2,11,7,5,8,12,3,9,4,,
1,10,11,3,7,2,7,7,7,Skipped,7,8,,
11,1,9,5,10,6,9,3,12,7,9,8,,
12,12,12,12,12,12,12,12,12,12,12,12,,
Skipped,3,3,10,1,3,3,3,3,3,10,1,,
1,5,5,3,5,3,5,2,3,Skipped,4,2,,
12,10,6,Skipped,7,3,11,8,5,2,9,4,,
5,1,8,10,3,7,2,6,9,6,3,4,,
5,7,6,Skipped,3,10,8,4,2,9,1,11,,
1,8,5,2,9,4,10,Skipped,12,7,11,6,,
4,3,11,11,4,5,11,11,Skipped,1,11,2,,
3,7,4,12,Skipped,11,1,10,12,11,8,8,,
1,Skipped,Skipped,2,2,Skipped,2,2,Skipped,Skipped,Skipped,Skipped,,
1,10,10,12,10,12,12,12,12,12,12,12,,
1,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,,
1,5,4,6,5,7,Skipped,6,4,3,3,3,,
Skipped,1,5,11,2,10,3,4,9,6,8,7,,
8,7,11,2,4,10,3,12,9,Skipped,1,5,,
4,9,11,3,7,2,6,5,3,8,1,10,,
1,2,6,Skipped,7,7,7,7,7,4,3,5,,
12,12,12,12,Skipped,12,12,12,2,12,1,12,,
12,10,4,8,1,10,12,12,4,4,Skipped,4,,
1,Skipped,7,2,6,7,6,3,7,5,7,5,,
12,10,3,Skipped,8,5,11,6,2,4,9,7,,
12,12,12,12,2,12,12,12,12,12,12,1,,
1,11,4,3,8,Skipped,7,2,10,10,6,5,,
4,8,11,12,Skipped,12,1,11,7,9,11,4,,
4,Skipped,8,5,1,12,6,2,10,9,7,11,,
2,3,7,4,12,10,11,6,9,1,5,8,,
1,9,11,Skipped,4,8,6,2,12,5,7,3,,
5,2,1,11,7,3,9,4,10,12,6,8,,
11,5,9,4,1,9,8,12,10,8,?,2,,
