"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"5","1","2","7","8","4","3","6","8.0","1.0"
"3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","5","2","4","skipped","skipped","skipped","nan","nan"
"3","6","7","4","1","2","5","skipped","nan","nan"
"5","2","7","3","6","8","1","4","nan","nan"
"3","6","5","4","2","7","1","8","nan","nan"
"2","3","5","8","6","7","1","4","nan","nan"
"3","1","5","6","7","4","8","2","nan","nan"
"2","4","5","7","1","3","6","8","nan","nan"
"2","4","7","6","5","8","1","3","nan","nan"
"2","1","4","6","7","8","5","3","nan","nan"
"1","4","7","2","6","8","5","3","nan","nan"
"2","4","5","7","8","3","6","1","nan","nan"
"1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","5","2","8","6","7","4","nan","nan"
"1","2","7","4","6","3","8","5","nan","nan"
"1","3","8","4","5","6","7","2","nan","nan"
"1","6","2","4","5","3","skipped","skipped","nan","nan"
"1","5","8","4","6","3","2","7","nan","nan"
"2","6","5","7","8","4","3","1","nan","nan"
"6","7","1","5","2","8","3","4","nan","nan"
"6","2","8","4","5","1","3","7","nan","nan"
"5","8","2","4","6","7","1","3","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","4","3","skipped","skipped","skipped","skipped","nan","nan"
"1","4","2","5","3","skipped","skipped","skipped","nan","nan"
"1","8","6","3","5","4","7","2","nan","nan"
"1","4","5","2","7","6","8","3","nan","nan"
"2","5","6","3","1","7","8","4","nan","nan"
"4","8","5","3","2","1","7","6","nan","nan"
"1","8","5","4","7","2","3","6","nan","nan"
"5","2","8","1","6","4","7","3","nan","nan"
"4","8","1","7","2","6","3","5","nan","nan"
"3","1","5","7","8","6","4","2","nan","nan"
"5","2","7","6","1","3","8","4","nan","nan"
"2","3","1","4","5","skipped","skipped","skipped","nan","nan"
"7","2","4","8","6","3","5","1","nan","nan"
"8","5","7","6","2","1","4","3","nan","nan"
"6","4","8","3","2","5","1","7","nan","nan"
"1","2","6","5","7","4","8","3","nan","nan"
"1","5","8","7","4","2","6","3","nan","nan"
"1","2","5","7","8","3","6","4","nan","nan"
"2","7","8","1","4","3","skipped","skipped","nan","nan"
"2","3","8","1","6","7","4","5","nan","nan"
"1","3","8","2","6","4","5","7","nan","nan"
"5","1","7","6","2","3","8","4","nan","nan"
"4","8","1","7","2","6","3","5","nan","nan"
"2","1","5","4","7","6","8","3","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","4","6","3","7","5","skipped","nan","nan"
"3","2","5","7","8","4","6","1","nan","nan"
"1","4","2","5","6","3","skipped","skipped","nan","nan"
"5","4","2","6","7","1","8","3","nan","nan"
"1","2","5","8","6","4","7","3","nan","nan"
"2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","1","8","6","7","3","2","nan","nan"
