"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"2","1","3","9","skipped","skipped","skipped","skipped","skipped","9.0","1.0"
"8","3","9","2","1","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","7","9","1","skipped","skipped","skipped","nan","nan"
"8","1","3","9","4","2","skipped","skipped","skipped","nan","nan"
"2","7","6","8","3","4","9","1","5","nan","nan"
"6","1","8","7","9","skipped","skipped","skipped","skipped","nan","nan"
"9","1","5","6","7","3","8","2","4","nan","nan"
"8","3","7","9","5","1","2","4","6","nan","nan"
"5","4","7","8","3","6","9","2","skipped","nan","nan"
"3","1","9","7","8","2","skipped","skipped","skipped","nan","nan"
"4","2","9","3","1","skipped","skipped","skipped","skipped","nan","nan"
"7","1","4","9","6","8","3","2","5","nan","nan"
"9","1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","9","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","4","9","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","6","9","8","5","1","3","4","nan","nan"
"4","2","5","7","6","9","1","3","skipped","nan","nan"
"7","1","3","9","8","6","2","4","5","nan","nan"
"3","1","9","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","9","7","3","8","2","6","nan","nan"
"9","1","5","2","4","3","skipped","skipped","skipped","nan","nan"
"1","8","3","2","9","skipped","skipped","skipped","skipped","nan","nan"
"5","1","9","2","3","skipped","skipped","skipped","skipped","nan","nan"
"4","2","9","1","3","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","8","9","5","7","2","1","3","nan","nan"
"9","1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","9","4","5","1","skipped","skipped","skipped","nan","nan"
"9","2","8","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","9","8","5","4","skipped","skipped","nan","nan"
"3","1","9","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","4","9","3","5","7","2","8","nan","nan"
"7","3","8","9","2","5","6","1","4","nan","nan"
"3","2","4","9","6","8","7","1","5","nan","nan"
"4","6","1","9","7","8","3","2","5","nan","nan"
"5","1","2","9","7","6","8","4","3","nan","nan"
"9","1","5","4","3","2","skipped","skipped","skipped","nan","nan"
"2","6","8","3","9","4","skipped","skipped","skipped","nan","nan"
"6","1","3","9","5","7","8","2","4","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","2","8","6","5","9","skipped","skipped","nan","nan"
"9","4","7","8","6","5","1","3","2","nan","nan"
"3","1","4","9","2","skipped","skipped","skipped","skipped","nan","nan"
"4","6","7","9","2","3","1","5","skipped","nan","nan"
"7","9","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","8","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","5","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","7","9","2","1","5","skipped","skipped","nan","nan"
