"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","Num Cands","Num Seats"
"2","11","5","9","13","7","8","10","12","1","4","6","3","14","14.0","1.0"
"6","3","14","11","5","9","10","8","4","1","7","2","skipped","skipped","nan","nan"
"1","9","7","6","12","10","13","11","8","3","5","4","2","14","nan","nan"
"2","12","7","11","3","8","13","9","10","6","5","4","1","skipped","nan","nan"
"1","4","3","5","8","7","14","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","10","11","14","9","4","1","6","5","3","skipped","skipped","skipped","nan","nan"
"2","11","6","10","12","7","13","9","5","8","4","1","3","skipped","nan","nan"
"2","10","7","11","8","1","9","4","6","3","5","skipped","skipped","skipped","nan","nan"
"1","12","14","4","3","2","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","8","3","7","5","4","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","5","13","4","7","8","6","3","2","12","skipped","skipped","skipped","nan","nan"
"2","4","11","6","13","7","12","8","10","5","9","3","1","14","nan","nan"
"1","5","11","4","12","9","14","7","10","6","8","3","2","13","nan","nan"
"1","7","8","3","13","14","6","2","11","5","9","4","10","12","nan","nan"
"1","7","6","5","14","8","12","11","9","4","3","2","13","skipped","nan","nan"
"1","4","14","2","8","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","3","10","4","14","6","12","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","3","5","12","7","13","11","10","8","2","1","4","14","nan","nan"
"4","8","3","10","13","12","7","11","1","2","6","5","14","skipped","nan","nan"
"4","7","9","8","5","13","14","11","10","3","12","2","1","6","nan","nan"
"3","6","4","7","2","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","14","3","7","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","12","8","5","11","4","13","9","1","10","6","3","14","nan","nan"
"4","5","9","8","14","13","12","6","7","2","1","3","skipped","skipped","nan","nan"
"3","14","5","6","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","12","11","13","5","7","2","6","9","10","3","1","14","nan","nan"
"4","6","7","8","14","3","11","9","10","5","1","2","13","skipped","nan","nan"
"2","14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","14","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
