"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"10","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","10.0","1.0"
"6","10","3","1","4","5","2","skipped","skipped","skipped","nan","nan"
"5","6","3","7","4","9","10","8","1","2","nan","nan"
"1","7","5","2","3","10","8","6","4","9","nan","nan"
"3","9","8","2","7","6","10","4","1","5","nan","nan"
"5","7","2","6","3","8","10","9","1","4","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","2","5","3","1","9","6","10","4","nan","nan"
"7","10","2","3","1","5","8","9","4","6","nan","nan"
"7","5","10","3","1","4","8","skipped","skipped","skipped","nan","nan"
"6","8","2","4","5","10","9","1","3","skipped","nan","nan"
"5","7","2","6","4","10","1","3","skipped","skipped","nan","nan"
"2","10","5","7","3","8","4","9","6","1","nan","nan"
"7","10","3","1","4","2","8","9","6","5","nan","nan"
"7","10","9","1","3","4","8","5","2","skipped","nan","nan"
"6","5","9","7","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","10","3","1","7","2","8","6","5","4","nan","nan"
"5","7","2","6","3","9","10","8","1","4","nan","nan"
"4","10","3","1","5","8","7","9","2","6","nan","nan"
"6","8","4","1","3","7","10","9","2","5","nan","nan"
"2","10","4","5","7","1","9","8","6","3","nan","nan"
"5","7","3","6","2","10","9","8","1","4","nan","nan"
"5","10","3","2","8","9","1","skipped","skipped","skipped","nan","nan"
"8","9","2","1","3","7","10","5","4","6","nan","nan"
"5","10","3","9","6","4","8","2","1","7","nan","nan"
"4","9","1","3","2","7","8","10","6","skipped","nan","nan"
"10","7","2","1","5","4","8","9","3","6","nan","nan"
"5","10","3","4","1","2","6","skipped","skipped","skipped","nan","nan"
"10","6","3","2","7","8","9","5","1","4","nan","nan"
"4","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","10","1","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","10","7","9","5","6","4","skipped","skipped","nan","nan"
"2","7","1","4","8","10","5","6","3","9","nan","nan"
"4","10","1","6","5","2","3","skipped","skipped","skipped","nan","nan"
"1","9","10","4","2","3","7","8","5","6","nan","nan"
"9","4","1","2","6","7","10","5","3","8","nan","nan"
"10","9","2","3","4","7","8","5","1","skipped","nan","nan"
"9","7","1","2","3","5","8","10","4","6","nan","nan"
"5","9","4","6","1","3","2","8","10","7","nan","nan"
"2","9","5","7","1","4","10","8","6","3","nan","nan"
"2","8","10","3","5","9","7","4","1","skipped","nan","nan"
"7","9","2","3","1","4","10","8","5","6","nan","nan"
"4","8","10","2","5","6","9","7","3","1","nan","nan"
"4","8","7","2","1","6","10","9","3","skipped","nan","nan"
"3","10","7","6","2","4","8","9","1","5","nan","nan"
"9","5","7","1","8","4","10","6","2","3","nan","nan"
"4","2","1","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","2","5","3","7","9","6","1","8","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","4","3","2","6","9","8","1","5","nan","nan"
"6","9","3","2","5","7","8","10","4","1","nan","nan"
"6","9","2","1","5","3","10","8","7","4","nan","nan"
"3","10","6","1","5","4","9","8","7","2","nan","nan"
"3","9","1","4","2","6","10","8","7","5","nan","nan"
"5","7","2","6","4","9","8","10","1","3","nan","nan"
"4","10","3","2","1","8","7","9","5","6","nan","nan"
"5","7","9","2","3","6","10","8","4","1","nan","nan"
"6","7","2","5","1","9","10","8","3","4","nan","nan"
"5","10","7","3","1","2","6","9","8","4","nan","nan"
"7","8","10","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","3","4","8","1","2","6","7","5","nan","nan"
"6","9","1","2","3","5","10","8","7","4","nan","nan"
"3","10","1","8","9","2","skipped","skipped","skipped","skipped","nan","nan"
"4","9","1","2","3","7","10","8","6","5","nan","nan"
