"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"4","8","3","1","2","skipped","skipped","skipped","8.0","1.0"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","8","3","5","6","1","skipped","nan","nan"
"3","4","8","2","5","1","skipped","skipped","nan","nan"
"4","8","3","1","2","skipped","skipped","skipped","nan","nan"
"2","3","7","4","5","6","8","1","nan","nan"
"7","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","4","5","7","2","3","8","nan","nan"
"5","6","2","4","7","1","8","3","nan","nan"
"5","8","1","3","skipped","skipped","skipped","skipped","nan","nan"
"6","5","7","4","2","8","1","3","nan","nan"
"5","4","6","3","2","8","7","1","nan","nan"
"5","3","6","2","4","8","7","1","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"1","4","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","8","3","1","5","skipped","skipped","nan","nan"
"6","4","5","2","1","7","3","skipped","nan","nan"
"5","3","7","4","8","2","1","skipped","nan","nan"
"5","4","7","6","3","2","8","1","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"6","7","1","8","skipped","skipped","skipped","skipped","nan","nan"
"6","3","2","7","1","skipped","skipped","skipped","nan","nan"
"2","6","5","4","3","8","1","7","nan","nan"
"4","3","6","2","5","8","1","skipped","nan","nan"
"8","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","4","1","skipped","skipped","skipped","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","6","5","3","8","1","4","nan","nan"
"8","3","5","6","2","4","1","skipped","nan","nan"
"4","5","8","3","2","7","6","1","nan","nan"
"4","2","3","5","1","8","6","7","nan","nan"
"6","8","5","2","1","7","skipped","skipped","nan","nan"
"3","2","7","4","6","8","1","5","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","4","8","1","5","3","6","nan","nan"
"5","4","7","3","2","6","8","1","nan","nan"
"4","5","3","7","6","2","8","1","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"4","5","2","3","6","8","7","1","nan","nan"
"5","6","2","4","3","8","7","1","nan","nan"
"3","5","6","2","4","8","7","1","nan","nan"
"5","4","6","2","3","8","7","1","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","3","8","1","2","skipped","skipped","nan","nan"
"8","3","1","2","skipped","skipped","skipped","skipped","nan","nan"
"5","7","8","1","skipped","skipped","skipped","skipped","nan","nan"
"4","5","1","2","6","7","8","3","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"8","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"6","5","7","4","3","1","8","2","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"2","8","4","3","1","skipped","skipped","skipped","nan","nan"
"3","7","5","6","2","8","1","4","nan","nan"
