"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"2","8","1","skipped","skipped","skipped","skipped","skipped","8.0","1.0"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","8","7","5","4","3","6","nan","nan"
"3","2","8","1","6","5","4","7","nan","nan"
"3","1","8","2","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","7","2","skipped","skipped","skipped","nan","nan"
"3","2","8","7","6","5","1","4","nan","nan"
"1","5","8","4","7","6","2","3","nan","nan"
"2","1","8","4","3","skipped","skipped","skipped","nan","nan"
"2","1","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","8","5","4","7","1","3","nan","nan"
"3","8","7","6","4","1","2","skipped","nan","nan"
"6","7","8","1","4","3","5","2","nan","nan"
"1","2","8","6","5","4","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","2","3","skipped","skipped","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","8","1","4","skipped","skipped","nan","nan"
"1","4","8","2","3","skipped","skipped","skipped","nan","nan"
"3","1","7","8","6","4","2","5","nan","nan"
"3","7","8","6","4","5","1","2","nan","nan"
"1","7","8","5","2","6","3","4","nan","nan"
"3","2","8","7","5","6","4","1","nan","nan"
"2","3","8","4","5","7","1","6","nan","nan"
"1","2","8","5","6","7","3","4","nan","nan"
"2","8","5","3","1","4","skipped","skipped","nan","nan"
"6","5","8","4","7","3","1","2","nan","nan"
"3","7","8","6","2","5","1","4","nan","nan"
"3","5","8","6","4","7","1","2","nan","nan"
"2","1","8","5","skipped","skipped","skipped","skipped","nan","nan"
"2","8","1","4","3","5","skipped","skipped","nan","nan"
"3","1","7","8","2","skipped","skipped","skipped","nan","nan"
"2","1","8","7","6","3","4","5","nan","nan"
"8","1","7","6","skipped","skipped","skipped","skipped","nan","nan"
"1","2","8","6","4","7","5","3","nan","nan"
"5","1","8","7","6","2","3","4","nan","nan"
"5","4","8","1","skipped","skipped","skipped","skipped","nan","nan"
"8","3","1","2","skipped","skipped","skipped","skipped","nan","nan"
"2","4","8","5","1","3","skipped","skipped","nan","nan"
"3","1","8","7","6","5","4","2","nan","nan"
"5","1","6","8","2","3","4","skipped","nan","nan"
"6","1","8","7","5","3","4","2","nan","nan"
"8","2","4","3","1","6","7","skipped","nan","nan"
"2","1","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","2","3","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","2","6","7","3","5","nan","nan"
"3","1","7","8","2","skipped","skipped","skipped","nan","nan"
"1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","8","4","3","skipped","skipped","skipped","nan","nan"
"3","1","7","8","6","2","skipped","skipped","nan","nan"
"1","4","8","7","5","6","2","3","nan","nan"
