"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"9","1","3","2","4","skipped","skipped","skipped","skipped","9.0","1.0"
"1","5","9","6","2","3","4","8","7","nan","nan"
"1","3","5","7","2","6","4","8","9","nan","nan"
"2","6","1","9","5","3","4","skipped","skipped","nan","nan"
"9","8","1","2","3","skipped","skipped","skipped","skipped","nan","nan"
"1","5","4","7","2","9","skipped","skipped","skipped","nan","nan"
"7","5","2","3","6","8","9","1","4","nan","nan"
"6","3","1","2","8","7","5","4","9","nan","nan"
"9","4","3","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","1","5","6","2","7","3","9","nan","nan"
"9","3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","7","8","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","1","6","8","2","3","7","skipped","skipped","nan","nan"
"1","2","9","8","7","5","4","6","skipped","nan","nan"
"5","4","8","3","7","9","2","6","1","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","1","6","5","9","2","3","7","nan","nan"
"8","2","6","7","4","1","9","5","3","nan","nan"
"2","4","9","6","8","3","7","5","1","nan","nan"
"7","2","6","8","3","1","9","5","4","nan","nan"
"9","2","6","5","8","1","4","7","3","nan","nan"
"9","3","4","2","1","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","4","1","5","skipped","skipped","skipped","nan","nan"
"9","8","1","7","3","6","5","2","4","nan","nan"
"5","2","3","6","8","1","7","9","4","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","4","9","6","1","8","5","3","nan","nan"
"4","9","2","1","3","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","3","4","6","8","7","5","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","1","5","3","7","4","2","9","nan","nan"
"3","2","9","4","1","6","8","7","5","nan","nan"
"2","4","9","1","3","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","6","8","4","7","5","3","nan","nan"
"9","6","2","3","5","1","4","8","7","nan","nan"
"5","4","8","3","2","1","7","6","9","nan","nan"
"9","6","3","7","8","1","5","4","2","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","3","1","4","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","4","5","3","skipped","skipped","skipped","nan","nan"
"4","7","9","6","5","1","2","8","3","nan","nan"
"2","4","9","6","1","7","5","8","3","nan","nan"
"7","2","6","8","4","1","9","5","3","nan","nan"
"1","4","6","2","5","3","skipped","skipped","skipped","nan","nan"
"9","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","4","5","3","8","9","2","7","nan","nan"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","4","2","7","5","8","3","1","9","nan","nan"
"2","5","8","6","1","7","4","9","3","nan","nan"
"2","4","9","6","1","3","5","8","7","nan","nan"
"1","3","9","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","4","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","7","1","4","3","6","8","2","5","nan","nan"
"9","4","1","5","7","2","8","6","3","nan","nan"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
