"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","Num Cands","Num Seats"
"16","14","3","11","10","18","1","5","7","15","17","9","4","2","6","8","12","13","19","20","20.0","1.0"
"7","15","11","3","1","4","13","14","5","9","10","12","6","2","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","3","17","13","8","19","12","11","5","10","1","14","6","7","18","4","9","20","2","16","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"20","11","14","18","5","12","4","13","9","3","7","15","17","1","8","2","10","19","6","16","nan","nan"
"8","12","10","1","14","6","15","2","16","9","3","11","20","4","19","17","5","7","13","skipped","nan","nan"
"7","20","16","14","6","1","2","19","18","17","4","11","12","13","9","10","15","5","3","8","nan","nan"
"1","6","8","5","2","3","7","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","20","2","1","6","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","15","1","12","9","10","5","14","20","18","16","19","4","13","7","6","11","17","2","nan","nan"
"13","15","6","12","2","7","1","17","5","10","16","9","4","3","18","11","20","19","8","14","nan","nan"
"17","19","15","16","2","11","5","10","18","8","1","4","9","6","20","3","14","12","7","13","nan","nan"
"20","1","3","9","8","2","4","7","5","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","19","12","7","1","4","20","18","16","5","9","10","11","15","13","14","2","3","8","nan","nan"
"3","1","4","5","2","8","7","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
